lemma_syntag	F
branchoie_N	1
Brandis_N	1
brandon_N	1
branle_N	1
brant_N	20
braon_N	2
bras_N	12
brasier_N	1
brassée_N	1
brebis_N	17
brebisette_N	1
brèche_N	1
bref_Adj	24
bref_N	11
Brehier_Adj	1
Brehier_N	1
Brendan_N	19
bret_Adj	1
bret_N	1
Bretagne_N	7
bretèche_N	1
breton_N	6
breuil_N	1
breuillet_N	2
breuvage_N	1
brevet_N	1
Brias_N	1
Brichemer_N	1
bricon_N	4
bride_N	2
brièvement_N	1
brigandine_N	1
broc_N	1
brocart_N	1
brochette_N	1
broigne_N	1
brouillis_N	1
brubeille_N	1
Bruiant_N	3
bruit_N	7
brun_Adj	4
Brun_N	4
Brunel_N	3
brunette_Adj	1
brunette_N	2
Brutus_N	3
Bruxelles_N	1
bruyère_N	1
Bruyères_N	1
bruyeroi_N	1
bûche_N	2
Bucifal_N	1
Buckingham_N	1
Buesard_N	1
Buesart_N	2
buffe_N	1
buffet_N	2
bugle_Adj	1
bugle_N	2
buie2_N	1
Buiemon_N	1
buisnart_N	1
Bulgarie_N	2
bureau_N	2
buse_N	1
butin_N	2
buveur_N	1
cage_N	2
Caifas_N	2
caille_N	2
caïmant_N	1
Caïn_N	3
Caïphe_N	1
caisil_N	1
Calabre_N	12
calcul_N	1
calice_N	1
Calvaire_N	1
camaïeu_N	1
Cambresis_N	1
Cambrésis_N	7
Camdiobras_N	4
camelot_N	1
camocas_N	1
campagne_N	1
campane_N	1
camuset_Adj	1
canal_N	1
Candres_N	1
canebutin_N	1
canon_N	3
cape_N	3
capitaine_N	3
caquet_N	1
carcan_N	1
Cardeuil_N	1
cardinal_N	1
carême_N	2
Caribdis_N	1
Caridès_N	3
Carloman_N	1
carme_N	1
Carmeli_N	1
carole_N	3
caroler_N	1
carquois_N	1
carré_Adj	1
carre_N	1
carreau_N	2
carrefour_N	1
carregnon_N	1
carte_N	1
Carthage_N	3
cas_Adj	2
cas_N	28
Cassandre_N	1
Castelfort_N	1
Castille_N	2
Catalogne_N	1
catholique_Adj	1
Caton_N	1
Caulus_N	4
cause_N	16
cautèle_N	1
cave_N	1
caverne_N	2
Cayeulx_N	1
Cayeux_N	2
Cécile_N	1
ceinture_N	7
céleste_Adj	8
célestiel_Adj	8
célestien_Adj	3
célestin_Adj	1
célestin_N	1
cembel_N	1
cendal_N	4
cendre_N	3
cène_N	3
centre_N	1
cep_N	1
cercle_N	1
cercueil_N	1
cerf_N	26
certain_Adj	21
cerveau_N	2
cervelle_N	4
César_N	11
ceste_N	1
chaînon_N	1
chainse_N	1
chair_N	50
chaire_N	3
chaise_N	1
chalemastre_N	1
chaleur_N	6
chaline_N	2
challenge_N	2
Cham_N	1
chambellan_N	1
chambre_N	51
chambrière_N	6
Chameau_N	1
Chamel_N	27
Chamois_N	6
champ_N	31
champanois_N	1
champel2_Adj	3
champêtre_Adj	5
champion_N	8
chance_N	1
chancel_N	1
chandelier_N	1
chandelle_N	9
change_N	3
changeable_Adj	1
changement_N	2
changer_N	2
chanoine_N	2
chanoinie_N	1
chanson_N	26
chant_N	9
Chantecler_N	1
chanteur_N	2
chantier_N	1
chantre_N	1
chape_N	5
chapeau_N	9
chapelain_N	3
chapelier_N	1
chapelle_N	12
chaperon_N	6
chapitre_N	4
chaple_N	1
chappin_N	1
char_N	4
charbon_N	2
charbonnée_N	2
charbonnier_N	1
chardon_N	3
charge_N	6
charitable_Adj	1
charité_N	14
Charlemagne_N	10
Charles_N	36
Charlot_N	4
charme_N	2
charnage_N	1
charnel_Adj	6
charneux_Adj	1
charretée_N	1
charretier_N	1
charreton_N	1
charrette_N	5
charretterie_N	1
charrière_N	2
charroi_N	1
Charruau_N	1
charrue_N	1
charte_N	4
Chartes_N	1
chartre_N	3
Chartres_N	1
chartreux_N	1
chasement_N	3
chasse_N	2
chasseur_N	1
chaste_Adj	1
chasté_N	1
chasteté_N	2
chasti_N	2
chat_N	4
châtaigne_N	1
château_N	55
Château_N	1
chatel_N	2
châtelain_N	1
chaud_Adj	14
chaud_N	10
chaudeau_N	1
chaudière_N	7
chausse_N	2
chaussée_N	1
chaussement_N	1
chausse-trappe_N	1
chaussier2_N	1
chef_N	87
chemin_N	34
cheminée_N	1
chemise_N	9
chêne_N	9
chenu_Adj	9
Chenue_N	1
cher_Adj	128
chère_N	34
chérir_Adj	1
cherté_N	4
chérubin_N	1
chétif_Adj	35
chétif_N	1
chétivaille_Adj	1
chétivaison_N	1
cheval_N	79
chevaleresse_N	1
chevalereux_Adj	3
chevalerie_N	23
chevalier_N	222
chevance_N	5
chevelier_N	3
chevet_N	1
cheveu_N	13
cheveux_N	1
chevillette_N	1
chevir_N	1
chèvre_N	3
chevron_N	1
chiche_Adj	2
chiche_N	1
Chichester_N	3
chien_N	34
chiennet_N	1
chirurgienne_N	1
choite_N	1
Cholet_N	2
chômer_N	1
chose_N	215
chrême_N	2
chrétien_Adj	41
chrétien_N	5
chrétienté_N	16
Christ_N	37
Christofle_N	1
Christus_N	4
ciel_N	92
cierge_N	2
cimetière_N	1
cinq_N	1
cinquième_Adj	1
circonstance_N	1
circuité_N	1
cire_N	1
Cirencester_N	1
cit_N	2
cité_N	70
Cîteaux_N	1
cithariste_N	1
claim_N	1
clair_Adj	62
clair_N	1
clamer_N	1
clameur_N	2
claquedent_N	1
claré_N	2
Clari_N	1
clarté_N	6
clémence_N	2
clément_Adj	1
Clément_N	2
clerc_N	103
clergé_N	2
clergeâtre_N	1
clergeon_N	3
clergie_N	21
clergise_N	1
Clermont_N	2
Cléry_N	2
Cliçon_N	5
Clin_N	5
clique_N	1
cloche_N	1
clochette_N	2
cloître_N	1
clou_N	6
Clovis_N	2
Cluny_N	2
cochon_N	2
cocu_Adj	1
cocu_N	1
coeur_N	428
cogitation_N	3
cognée_N	2
coi_Adj	15
coi_N	1
coiffe_N	2
coin_N	3
cointe_Adj	9
Cointerel_N	4
coite_N	1
Colart_N	2
cole_N	1
Cole_N	1
colée_N	4
coleiz_N	1
Colin_N	2
collateur_N	1
collet_N	2
Cologne_N	1
Colognois_N	1
colombe_N	1
colonne_N	1
combatteur_N	1
combattre_N	1
combe_N	1
comble_Adj	2
comble_N	1
command_N	15
commandement_N	37
commencement_N	6
commère_N	2
commission_N	1
commun_Adj	18
communal_Adj	1
commune_Adj	1
communiement_N	1
compagne_N	13
compagnie_N	35
compagnion_N	1
compagnon_N	62
comparaison_N	1
compas_N	6
compassion_N	1
compatient_Adj	1
compe_N	1
compère_N	2
complainte_N	3
complexion_N	2
complie_N	1
composition_N	1
compte_N	6
comte_N	153
comté_N	6
comtesse_N	13
con_N	2
conception_N	1
conchiement_N	1
concile_N	1
conclusion_N	1
concorde_N	1
concurrent_Adj	1
condition_N	5
conducteur_N	1
conduit_N	4
conduite_N	1
confermement_N	1
confès_Adj	6
confès_N	2
confession_N	4
confine_N	1
confort_N	26
Confrécourt_N	1
confrère_N	1
confrérie_N	1
confus_Adj	2
confusion_N	3
congé_N	38
congéer_N	1
conjecture_N	1
connaissable_Adj	1
connaissance_N	11
connard_N	1
connétable_N	1
connétablie_N	1
conquête_N	1
conroi_N	13
conroie_N	1
conscience_N	6
conseil_N	75
conseiller_N	3
conseiller2_N	1
conseillère_N	1
conseilleur_N	3
consentement_N	1
conséquence_N	1
conservage_N	1
consolation_N	2
constance_N	1
Constantinople_N	2
Constentin_N	1
consul_N	1
conte_N	10
contemplatif_Adj	1
contemplation_N	1
contenance_N	7
contenant_N	2
content_Adj	5
content_N	1
contrainte_N	2
contraire_Adj	28
contrarieux_Adj	1
contredit_N	9
contrée_N	19
contrefait_Adj	1
contrepoids_N	3
contrition_N	1
convenable_Adj	3
convenance_N	2
convenant_N	9
convénient_Adj	1
convent_N	16
convers_N	2
conversation_N	1
convertissement_N	1
convine_N	2
convoiteux_Adj	4
convoitise_N	5
coq_N	5
coq2_N	1
coquebert_N	1
coquemar_N	1
coquillard_N	1
coquin_Adj	2
coquinaille_N	1
cor_N	5
cor2_N	1
coraille_N	3
Corbas_N	1
corbeau_N	6
Corberias_N	1
corbillon_N	1
corde_N	13
cordouan_N	3
Cordroés_N	2
corine_N	1
corlieu_N	1
cornardie_N	1
cornet_N	2
cornette_N	2
cornière_N	1
Cornouaille_N	2
cornu_Adj	3
Cornuel_N	1
Cornuiaus_N	1
corps_N	243
corpus_N	1
corrompable_Adj	1
corruption_N	2
corsage_N	1
Corsolt_N	2
corvée_N	1
Cosiel_N	1
costil_N	1
Cotart_N	1
côte_N	9
côté_N	10
cotel_N	1
