lemma	F	
locher	1	
loger	10	
loigner	1	
loisir	1	
loisir2	1	
losanger	1	
losenger	1	
louer	66	
loyer	1	
luire	14	
luisant	1	
lutter	1	
mâcher	2	
maigrir	2	
mailler	4	
maintenir	37	
maiseler	1	
maîtrier	2	
maléir	5	
malfaire	2	
malmettre	7	
manchier	1	
mander	59	
manger	129	
manoeuvrer	1	
manoir	4	
manoir2	20	
marchander	3	
marcher	2	
marchir	1	
marier	17	
marrir	15	
martyrer	2	
martyriser	1	
marvoyer	2	
mater	6	
maubaillir	4	
maudire	23	
maugréer	1	
méchoir	7	
mécompter	2	
mécroire	8	
médiciner	1	
médire	10	
méfaire	31	
mêler	12	
membrer	12	
mémener	1	
menacer	8	
mendier	8	
mener	120	
mentir	47	
méparler	2	
méprendre	9	
mercier	14	
mercier2	1	
mérir	5	
merveiller	15	
mésavenir	2	
mésentendre	1	
méserrer	1	
mésesmer	1	
mettre	400	
meurtrir	4	
mévenir	2	
miner	1	
mirer	3	
moissonner	1	
molester	1	
monnayer2	2	
monter	94	
montrer	99	
moquer	3	
mordre	8	
morfondre	1	
morigéner	1	
mort	2	
moucher	1	
mouiller	3	
moulteplier	4	
mourir	265	
mouvoir	55	
moyenner	1	
muer	27	
muir	1	
muire	2	
multiplier	6	
murer	1	
murmurer	1	
muser	12	
musser	13	
nager	7	
naître	92	
nantir	1	
navrer	17	
négligent	3	
neiger	2	
nier	6	
noer	9	
noircir	6	
noiser	1	
nom	1	
nombrer	2	
nommée	2	
nommer	59	
noncer	7	
nonchaloir	4	
noter	3	
noueler	1	
nourrir	32	
nouveler	1	
noyer	7	
noyer2	4	
nuer	1	
nuire	12	
obéir	31	
obicer	1	
obliger	1	
observer	2	
obster	1	
obstiner	2	
obtenir	2	
occire	95	
ochoisonner	1	
octroyer	50	
oeuvrer	23	
offendre	2	
offenser	2	
offrir	28	
oindre	6	
omblier	1	
ombrayer	1	
opposer	1	
ordiner	3	
ordonner	33	
oreiller	1	
orer	14	
organer	1	
orgueillir	1	
orner	1	
oser	75	
ostoyer	1	
ôter	40	
oublier	28	
ouiller	1	
ouïr	302	
ourdir	1	
outrager	1	
outrepasser	1	
outrer	4	
ouvrer	1	
ouvrir	33	
paître	16	
paler	1	
pâlir	1	
pâmer	14	
par.fleurir	1	
parachever	1	
paraimer	1	
paraître	1	
parconter	1	
parcroître	2	
pardire	2	
pardonner	26	
pardurer	1	
parer	14	
parfaire	23	
parler	228	
paroir	21	
partenir	1	
partir	79	
parvenir	9	
passer	106	
pâtir	1	
patronner	1	
paumoyer	2	
payer	34	
pécher	4	
peçoyer	2	
peindre	3	
peiner	28	
peler	2	
pendre	65	
pener	19	
penser	172	
percer	8	
percevoir	15	
percogiter	2	
perdre	149	
périller	3	
périr	14	
permettre	2	
persécuter	2	
persévérer	1	
peser	23	
peupler	1	
piler	1	
piller	1	
pilorier	1	
pincer	1	
pisser	2	
plaider	9	
plaindre	35	
plaire	175	
plaisser	1	
planter	5	
plasmer	2	
player	7	
pleurer	67	
pleuvoir	2	
plevir	17	
plier	3	
plomber	1	
plonger	4	
plumer	1	
pocher	1	
poier	1	
poindre	30	
poirre	1	
polir	1	
pondre	2	
porter	153	
portraire	5	
poser	4	
posséder	1	
pourchasser	11	
