wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
144,26,1,au,au,126,Pre+Det,Pre+Det,à.le,7s,---,/V\,"ConBeth, chanson 1, v. 26"
145,26,2,descovrir,descovrir,126,Vinf,Vinf,découvrir,7s,---,C/V\.C/V\.'C/V\,"ConBeth, chanson 1, v. 26"
146,26,3,mon,mon,126,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 26"
147,26,4,talent,talent,126,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 26"
148,27,1,se,se,127,Prn,Prn$$,se,7s,---,C/(e)\,"ConBeth, chanson 1, v. 27"
149,27,2,gart,gart,127,Vfin,Vfin,garder,7s,---,C/V\,"ConBeth, chanson 1, v. 27"
150,27,3,bien,bien,127,Adv,Adv,bien,7s,---,C/V\,"ConBeth, chanson 1, v. 27"
151,27,4,de,de,127,Pre,Pre,de,7s,---,C/(e)\,"ConBeth, chanson 1, v. 27"
152,27,5,l',l',127,Det,Det,le,7s,---,C/\,"ConBeth, chanson 1, v. 27"
153,27,6,escondire,escondire,127,Vinf,Vinf,escondire,7s,---,/V\.C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 27"
154,27,7,",",",",127,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 27"
155,28,1,s',s',128,Sub,Sub,si3,7s,---,C/\,"ConBeth, chanson 1, v. 28"
156,28,2,ele,ele,128,Prn,Prn$,elle,7s,---,'/V\.C/(e)\,"ConBeth, chanson 1, v. 28"
157,28,3,ne,ne,128,Neg,Neg,ne,7s,---,C/(e)\,"ConBeth, chanson 1, v. 28"
158,28,4,me,me,128,Prn,Prn$$,me,7s,---,C/(e)\,"ConBeth, chanson 1, v. 28"
159,28,5,velt,velt,128,Vfin,Vfin,vouloir,7s,---,C/V\,"ConBeth, chanson 1, v. 28"
160,28,6,ochirre,ochirre,128,Vinf,Vinf,occire,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 28"
161,28,7,.,.,128,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 28"
162,29,1,fols,fols,129,Adj,Adj,fou,7s,---,C/V\,"ConBeth, chanson 1, v. 29"
163,29,2,sui,sui,129,Vfin,Vfin,être,7s,---,C/V\,"ConBeth, chanson 1, v. 29"
164,29,3,ki,ki,129,Qux,Qux,qui,7s,---,C/V\,"ConBeth, chanson 1, v. 29"
165,29,4,ne,ne,129,Neg,Neg,ne,7s,---,C/(e)\,"ConBeth, chanson 1, v. 29"
166,29,5,li,li,129,Prn,Prn$$,li,7s,---,C/V\,"ConBeth, chanson 1, v. 29"
167,29,6,ai,ai,129,Vfin,Vfin,avoir,7s,---,/V\,"ConBeth, chanson 1, v. 29"
168,29,7,dite,dite,129,Vpp,Vpp,dire,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 29"
169,30,1,ma,ma,130,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 30"
170,30,2,dolor,dolor,130,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 30"
171,30,3,",",",",130,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 30"
172,30,4,ki,ki,130,Qux,Qux,qui,7s,---,C/V\,"ConBeth, chanson 1, v. 30"
173,30,5,est,est,130,Vfin,Vfin,être,7s,---,/V\,"ConBeth, chanson 1, v. 30"
174,30,6,si,si,130,Adv,Adv,si4,7s,---,C/V\,"ConBeth, chanson 1, v. 30"
175,30,7,grans,grans,130,Adj,Adj,grand,7s,---,C/V\,"ConBeth, chanson 1, v. 30"
176,30,8,.,.,130,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 30"
177,31,1,bien,bien,131,Adv,Adv,bien,7s,---,C/V\,"ConBeth, chanson 1, v. 31"
178,31,2,deust,deust,131,Vfin,Vfin,devoir2,7s,---,C/(V)\.'/V\,"ConBeth, chanson 1, v. 31"
179,31,3,estre,estre,131,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,"ConBeth, chanson 1, v. 31"
180,31,4,petite,petite,131,Adj,Adj,petit,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 31"
181,32,1,par,par,132,Pre,Pre,par,7s,---,C/V\,"ConBeth, chanson 1, v. 32"
182,32,2,droit,droit,132,N,N,droit,7s,---,C/V\,"ConBeth, chanson 1, v. 32"
183,32,3,",",",",132,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 32"
184,32,4,tant,tant,132,QIs,QIs,tant,7s,---,C/V\,"ConBeth, chanson 1, v. 32"
185,32,5,sui,sui,132,Vfin,Vfin,être,7s,---,C/V\,"ConBeth, chanson 1, v. 32"
186,32,6,fins,fins,132,Adj,Adj,fin2,7s,---,C/V\,"ConBeth, chanson 1, v. 32"
187,32,7,amans,amans,132,Vprs,Vprs,aimer,7s,---,/V\.'C/V\,"ConBeth, chanson 1, v. 32"
188,32,8,;,;,132,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 32"
189,33,1,mais,mais,133,Crd,Crd,mais,7s,---,C/V\,"ConBeth, chanson 1, v. 33"
