wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
104,19,1,en,en,2619,Pre,Pre,en,7s,---,/V\,"AdHaleChans, chanson 26, v. 19"
105,19,2,vous,vous,2619,Prn,Prn,vous,7s,---,C/V\,"AdHaleChans, chanson 26, v. 19"
106,19,3,ai,ai,2619,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 19"
107,19,4,mis,mis,2619,Vpp,Vpp,mettre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 19"
108,19,5,de,de,2619,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 19"
109,19,6,ravine,ravine,2619,N,N,ravine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 19"
110,20,1,cuer,cuer,2620,N,N,coeur,7s,---,C/V\,"AdHaleChans, chanson 26, v. 20"
111,20,2,et,et,2620,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 20"
112,20,3,cors,cors,2620,N,N,corps,7s,---,C/V\,"AdHaleChans, chanson 26, v. 20"
113,20,4,",",",",2620,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 20"
114,20,5,vie,vie,2620,N,N,vie,7s,---,'C/V\./(e)\,"AdHaleChans, chanson 26, v. 20"
115,20,6,et,et,2620,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 20"
116,20,7,renon,renon,2620,N,N,renom,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 20"
117,20,8,:,:,2620,Pnc,Pnc,:,7s,---,,"AdHaleChans, chanson 26, v. 20"
118,21,1,coi,coi,2621,Qux,Qux,quoi,7s,---,C/V\,"AdHaleChans, chanson 26, v. 21"
119,21,2,que,que,2621,Qux,Qux,que,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 21"
120,21,3,soit,soit,2621,Vfin,Vfin,être,7s,---,C/V\,"AdHaleChans, chanson 26, v. 21"
121,21,4,de,de,2621,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 21"
122,21,5,gerredon,gerredon,2621,N,N,guerdon,7s,---,C/V\.C/e\.'C/V\,"AdHaleChans, chanson 26, v. 21"
123,21,6,",",",",2621,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 21"
124,22,1,jou,jou,2622,Prn,Prn$,je,7s,---,C/V\,"AdHaleChans, chanson 26, v. 22"
125,22,2,n',n',2622,Neg,Neg$$,ne,7s,---,C/\,"AdHaleChans, chanson 26, v. 22"
126,22,3,ai,ai,2622,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 22"
127,22,4,mais,mais,2622,Adv,Adv,mais,7s,---,C/V\,"AdHaleChans, chanson 26, v. 22"
128,22,5,qui,qui,2622,Qux,Qux,qui,7s,---,C/V\,"AdHaleChans, chanson 26, v. 22"
129,22,6,pour,pour,2622,Pre,Pre,pour,7s,---,C/V\,"AdHaleChans, chanson 26, v. 22"
130,22,7,mi,mi,2622,Prn,Prn,moi,7s,---,C/V\,"AdHaleChans, chanson 26, v. 22"
131,22,8,fine,fine,2622,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 22"
132,22,9,.,.,2622,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 22"
133,23,1,tout,tout,2623,QIs,QIs,tout,7s,---,C/V\,"AdHaleChans, chanson 26, v. 23"
134,23,2,ai,ai,2623,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 23"
135,23,3,mis,mis,2623,Vpp,Vpp,mettre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 23"
136,23,4,en,en,2623,Pre,Pre,en,7s,---,/V\,"AdHaleChans, chanson 26, v. 23"
137,23,5,abandon,abandon,2623,N,N,abandon,7s,---,/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 23"
138,23,6,",",",",2623,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 23"
139,24,1,et,et,2624,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 24"
140,24,2,s',s',2624,Adv,Adv,si,7s,---,C/\,"AdHaleChans, chanson 26, v. 24"
141,24,3,iestes,iestes,2624,Vfin,Vfin,être,7s,---,'/V\.C/e\,"AdHaleChans, chanson 26, v. 24"
142,24,4,aillours,aillours,2624,Adv,Adv,ailleurs,7s,---,/V\.'C/V\,"AdHaleChans, chanson 26, v. 24"
143,24,5,encline,encline,2624,Adj,Adj,enclin,7s,---,/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 24"
144,24,6,",",",",2624,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 24"
145,25,1,car,car,2625,Crd,Crd,car,7s,---,C/V\,"AdHaleChans, chanson 26, v. 25"
146,25,2,jou,jou,2625,Prn,Prn$,je,7s,---,C/V\,"AdHaleChans, chanson 26, v. 25"
147,25,3,truis,truis,2625,Vfin,Vfin,trouver,7s,---,C/V\,"AdHaleChans, chanson 26, v. 25"
148,25,4,samblant,samblant,2625,N,N,semblant,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 25"
149,25,5,felon,felon,2625,Adj,Adj,félon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 25"
150,26,1,et,et,2626,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 26"
151,26,2,oevre,oevre,2626,N,N,oeuvre,7s,---,'/V\.C/e\,"AdHaleChans, chanson 26, v. 26"
152,26,3,de,de,2626,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 26"
153,26,4,guenelon,guenelon,2626,N,N,Guenelon,7s,---,C/V\.C/e\.'C/V\,"AdHaleChans, chanson 26, v. 26"
154,26,5,:,:,2626,Pnc,Pnc,:,7s,---,,"AdHaleChans, chanson 26, v. 26"
155,27,1,autres,autres,2627,Adj,Adj,autre,7s,---,'/V\.C/e\,"AdHaleChans, chanson 26, v. 27"
