wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
191,29,6,estre,être,estre,29,Vinf,Vinf,'/V\.C/(e)\,"Brendan, v. 29"
192,29,7,vil,vil,vil,29,Adj,Adj,C/V\,"Brendan, v. 29"
193,30,1,En,en,en,30,Pre,Pre,/V\,"Brendan, v. 30"
194,30,2,cest,cist,cest,30,Dem,Dem,C/V\,"Brendan, v. 30"
195,30,3,secle,siècle,secle,30,N,N,'C/V\.C/(e)\,"Brendan, v. 30"
196,30,4,cum,comme,cum,30,Sub,Sub,C/V\,"Brendan, v. 30"
197,30,5,en,en,en,30,Pre,Pre,/V\,"Brendan, v. 30"
198,30,6,eisil,aisil,eisil,30,N,N,/V\.'C/V\,"Brendan, v. 30"
199,30,7,",",",",",",30,Pnc,Pnc,,"Brendan, v. 30"
200,31,1,Prist,prendre,prist,31,Vfin,Vfin,C/V\,"Brendan, v. 31"
201,31,2,e,et,e,31,Crd,Crd,/V\,"Brendan, v. 31"
202,31,3,l',le,l',31,Det,Det,C/\,"Brendan, v. 31"
203,31,4,ordre,ordre,ordre,31,N,N,'/V\.C/(e)\,"Brendan, v. 31"
204,31,5,e,et,e,31,Crd,Crd,/V\,"Brendan, v. 31"
205,31,6,les,le,les,31,Det,Det,C/V\,"Brendan, v. 31"
206,31,7,habiz,habit,habiz,31,N,N,C/V\.'C/V\,"Brendan, v. 31"
207,31,8,",",",",",",31,Pnc,Pnc,,"Brendan, v. 31"
208,32,1,Puis,puis,puis,32,PrA,PrA,C/V\,"Brendan, v. 32"
209,32,2,fud,être,fud,32,Vfin,Vfin,C/V\,"Brendan, v. 32"
210,32,3,abes,abbé,abes,32,N,N,'/V\.C/e\,"Brendan, v. 32"
211,32,4,par,par,par,32,Pre,Pre,C/V\,"Brendan, v. 32"
212,32,5,force,force,force,32,N,N,'C/V\.C/(e)\,"Brendan, v. 32"
213,32,6,esliz,élire,esliz,32,Vpp,Vpp,/V\.'C/V\,"Brendan, v. 32"
214,32,7,.,.,.,32,Pnc,Pnc,,"Brendan, v. 32"
215,33,1,Par,par,par,33,Pre,Pre,C/V\,"Brendan, v. 33"
216,33,2,art,art,art,33,N,N,/V\,"Brendan, v. 33"
217,33,3,de,de,de,33,Pre,Pre,C/(e)\,"Brendan, v. 33"
218,33,4,lui,lui,lui,33,Prn,Prn,C/V\,"Brendan, v. 33"
219,33,5,mult,moult,mult,33,QIs,QIs,C/V\,"Brendan, v. 33"
220,33,6,i,y,i,33,Prn,Prn$$,/V\,"Brendan, v. 33"
221,33,7,vindrent,venir,vindrent,33,Vfin,Vfin,'C/V\.C/e\,"Brendan, v. 33"
222,34,1,Qui,qui,qui,34,Qux,Qux,C/V\,"Brendan, v. 34"
223,34,2,a,à,a,34,Pre,Pre,/V\,"Brendan, v. 34"
224,34,3,le,le,le,34,Det,Det,C/(e)\,"Brendan, v. 34"
225,34,4,ordre,ordre,ordre,34,N,N,'/V\.C/(e)\,"Brendan, v. 34"
226,34,5,bein,bien,bein,34,Adv,Adv,C/V\,"Brendan, v. 34"
227,34,6,se,se,se,34,Prn,Prn$$,C/(e)\,"Brendan, v. 34"
228,34,7,tindrent,tenir,tindrent,34,Vfin,Vfin,'C/V\.C/e\,"Brendan, v. 34"
229,34,8,.,.,.,34,Pnc,Pnc,,"Brendan, v. 34"
230,35,1,Tres,trois,tres,35,QIs,QIs,C/V\,"Brendan, v. 35"
231,35,2,mil,mille,mil,35,QIs,QIs,C/V\,"Brendan, v. 35"
232,35,3,suz,sous,suz,35,PrA,PrA,C/V\,"Brendan, v. 35"
233,35,4,lui,lui,lui,35,Prn,Prn,C/V\,"Brendan, v. 35"
234,35,5,par,par,par,35,Pre,Pre,C/V\,"Brendan, v. 35"
235,35,6,divers,divers,divers,35,QIs,QIs,C/V\.'C/V\,"Brendan, v. 35"
236,35,7,leus,lieu,leus,35,N,N,C/V\,"Brendan, v. 35"
237,36,1,Munies,munir,munies,36,N,N,'C/V\./e\,"Brendan, v. 36"
238,36,2,aveit,avoir,aveit,36,Vfin,Vfin,/V\.'C/V\,"Brendan, v. 36"
239,36,3,Brandan,Brendan,brandan,36,N,N,C/V\.'C/V\,"Brendan, v. 36"
240,36,4,li,le,li,36,Det,Det,C/V\,"Brendan, v. 36"
241,36,5,pius,piu,pius,36,Adj,Adj,C/V\,"Brendan, v. 36"
242,36,6,",",",",",",36,Pnc,Pnc,,"Brendan, v. 36"
243,37,1,De,de,de,37,Pre,Pre,C/(e)\,"Brendan, v. 37"
244,37,2,lui,lui,lui,37,Prn,Prn,C/V\,"Brendan, v. 37"
245,37,3,pernanz,prendre,pernanz,37,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 37"
246,37,4,tuz,tout,tuz,37,QIs,QIs,C/V\,"Brendan, v. 37"
247,37,5,ensample,exemple,ensample,37,N,N,/V\.'C/V\.C/(e)\,"Brendan, v. 37"
248,38,1,Par,par,par,38,Pre,Pre,C/V\,"Brendan, v. 38"
249,38,2,sa,son,sa,38,Det,Det,C/V\,"Brendan, v. 38"
250,38,3,vertud,vertu,vertud,38,N,N,C/V\.'C/V\,"Brendan, v. 38"
251,38,4,que,que,que,38,Qux,Qux,C/(e)\,"Brendan, v. 38"
252,38,5,ert,être,ert,38,Vfin,Vfin,/V\,"Brendan, v. 38"
253,38,6,ample,ample,ample,38,Adj,Adj,'/V\.C/(e)\,"Brendan, v. 38"
254,38,7,.,.,.,38,Pnc,Pnc,,"Brendan, v. 38"
255,39,1,Li,le,li,39,Det,Det,C/V\,"Brendan, v. 39"
256,39,2,abes,abbé,abes,39,N,N,'/V\.C/e\,"Brendan, v. 39"
257,39,3,Brendan,Brendan,brendan,39,N,N,C/V\.'C/V\,"Brendan, v. 39"
258,39,4,prist,prendre,prist,39,Vfin,Vfin,C/V\,"Brendan, v. 39"
259,39,5,en,en,en,39,Pre,Pre,/V\,"Brendan, v. 39"
260,39,6,purpens,pourpens,purpens,39,N,N,C/V\.'C/V\,"Brendan, v. 39"
261,39,7,",",",",",",39,Pnc,Pnc,,"Brendan, v. 39"
262,40,1,Cum,comme,cum,40,Sub,Sub,C/V\,"Brendan, v. 40"
263,40,2,hom,homme,hom,40,N,N,/V\,"Brendan, v. 40"
264,40,3,qui,qui,qui,40,Qux,Qux,C/V\,"Brendan, v. 40"
265,40,4,ert,être,ert,40,Vfin,Vfin,/V\,"Brendan, v. 40"
266,40,5,de,de,de,40,Pre,Pre,C/(e)\,"Brendan, v. 40"
267,40,6,mult,moult,mult,40,QIs,QIs,C/V\,"Brendan, v. 40"
268,40,7,grant,grand,grant,40,Adj,Adj,C/V\,"Brendan, v. 40"
269,40,8,sens,sens,sens,40,N,N,C/V\,"Brendan, v. 40"
270,40,9,",",",",",",40,Pnc,Pnc,,"Brendan, v. 40"
271,41,1,De,de,de,41,Pre,Pre,C/(e)\,"Brendan, v. 41"
272,41,2,granz,grand,granz,41,Adj,Adj,C/V\,"Brendan, v. 41"
273,41,3,cunseilz,conseil,cunseilz,41,N,N,C/V\.'C/V\,"Brendan, v. 41"
274,41,4,e,et,e,41,Crd,Crd,/V\,"Brendan, v. 41"
275,41,5,de,de,de,41,Pre,Pre,C/(e)\,"Brendan, v. 41"
276,41,6,rustes,rustre,rustes,41,Adj,Adj,'C/V\.C/e\,"Brendan, v. 41"
277,41,7,",",",",",",41,Pnc,Pnc,,"Brendan, v. 41"
278,42,1,Cum,comme,cum,42,Sub,Sub,C/V\,"Brendan, v. 42"
279,42,2,cil,cil,cil,42,Dem,Dem,C/V\,"Brendan, v. 42"
280,42,3,qui,qui,qui,42,Qux,Qux,C/V\,"Brendan, v. 42"
281,42,4,ert,être,ert,42,Vfin,Vfin,/V\,"Brendan, v. 42"
282,42,5,forment,fortement,forment,42,Adv,Adv,C/V\.'C/V\,"Brendan, v. 42"
283,42,6,justes,juste,justes,42,Adj,Adj,'C/V\.C/e\,"Brendan, v. 42"
284,42,7,",",",",",",42,Pnc,Pnc,,"Brendan, v. 42"
285,43,1,De,de,de,43,Pre,Pre,C/(e)\,"Brendan, v. 43"
286,43,2,Deu,Dieu,deu,43,N,N,C/V\,"Brendan, v. 43"
287,43,3,prïer,prier,prier,43,Vinf,Vinf,C/V\.'C/V\,"Brendan, v. 43"
288,43,4,ne,ne,ne,43,Neg,Neg$$,C/(e)\,"Brendan, v. 43"
289,43,5,fereit,faire,fereit,43,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 43"
290,43,6,fin,fin,fin,43,N,N,C/V\,"Brendan, v. 43"
291,44,1,Pur,pour,pur,44,Pre,Pre,C/V\,"Brendan, v. 44"
292,44,2,sei,soi,sei,44,Prn,Prn,C/V\,"Brendan, v. 44"
293,44,3,e,et,e,44,Crd,Crd,/V\,"Brendan, v. 44"
294,44,4,pur,pour,pur,44,Pre,Pre,C/V\,"Brendan, v. 44"
