wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
222,34,4,vile,vile,34,N,N,'C/V\.C/(e)\,ville
223,34,5,remeindra,remeindra,34,Vfin,Vfin,C/V\.C/V\.'C/V\,remanoir
224,34,6,:,:,34,Pnc,Pnc,,:
225,35,1,molt,molt,35,QIs,QIs,C/V\,moult
226,35,2,redoutoit,redoutoit,35,Vfin,Vfin,C/e\.C/V\.'C/V\,redouter
227,35,3,la,la,35,Det,Det,C/V\,le
228,35,4,male,male,35,Adj,Adj,'C/V\.C/(e)\,mal
229,35,5,gent,gent,35,N,N,C/V\,gent
230,35,6,",",",",35,Pnc,Pnc,,","
231,36,1,que,que,36,Sub,Sub,C/(e)\,que
232,36,2,ne,ne,36,Neg,Neg$$,C/(e)\,ne
233,36,3,li,li,36,Prn,Prn$$,C/V\,li
234,36,4,toillent,toillent,36,Vfin,Vfin,'C/V\.C/e\,tolir
235,36,5,son,son,36,Det,Det,C/V\,son
236,36,6,argent,argent,36,N,N,/V\.'C/V\,argent
237,36,7,",",",",36,Pnc,Pnc,,","
238,37,1,dont,dont,37,Qux,Qux,C/V\,dont
239,37,2,il,il,37,Prn,Prn$,/V\,il
240,37,3,avoit,avoit,37,Vfin,Vfin,/V\.'C/V\,avoir
241,37,4,a,a,37,Pre,Pre,/V\,à
242,37,5,grant,grant,37,Adj,Adj,C/V\,grand
243,37,6,foison,foison,37,N,N,C/V\.'C/V\,foison
244,37,7,.,.,37,Pnc,Pnc,,.
245,38,1,a,a,38,Pre,Pre,/V\,à
246,38,2,l',l',38,Det,Det,C/\,le
247,38,3,entree,entree,38,N,N,/V\.'C/V\./(e)\,entrée
248,38,4,d',d',38,Pre,Pre,C/\,de
249,38,5,une,une,38,QIs,QIs,'/V\.C/(e)\,un
250,38,6,meson,meson,38,N,N,C/V\.'C/V\,maison
251,39,1,vit,vit,39,Vfin,Vfin,C/V\,voir
252,39,2,une,une,39,QIs,QIs,'/V\.C/(e)\,un
253,39,3,preudefame,preudefame,39,N,N,C/V\.C/e\.'C/V\.C/(e)\,prudefemme
254,39,4,estant,estant,39,Vprs,Vprs,/V\.'C/V\,être
255,39,5,;,;,39,Pnc,Pnc,,;
256,40,1,si,si,40,Adv,Adv,C/V\,si
257,40,2,li,li,40,Prn,Prn$$,C/V\,li
258,40,3,demanda,demanda,40,Vfin,Vfin,C/V\.C/V\.'C/V\,demander
259,40,4,et,et,40,Crd,Crd,/V\,et
260,40,5,dist,dist,40,Vfin,Vfin,C/V\,dire
261,40,6,tant,tant,40,QIs,QIs,C/V\,tant
262,40,7,:,:,40,Pnc,Pnc,,:
263,41,1,"""","""",41,Pnc,Pnc,,""""
264,41,2,a,a,41,Vfin,Vfin,/V\,avoir
265,41,3,il,il,41,Prn,Prn%,/V\,il
266,41,4,en,en,41,Pre,Pre,/V\,en
267,41,5,ceste,ceste,41,Dem,Dem,'C/V\.C/(e)\,cist
268,41,6,vile,vile,41,N,N,'C/V\.C/(e)\,ville
269,41,7,a,a,41,Pre,Pre,/V\,à
270,41,8,vendre,vendre,41,Vinf,Vinf,'C/V\.C/(e)\,vendre
271,42,1,nule,nule,42,QIs,QIs,'C/V\.C/(e)\,nul
272,42,2,rien,rien,42,N,N,C/V\,rien
273,42,3,",",",",42,Pnc,Pnc,,","
274,42,4,c',c',42,Sub,Sub,C/\,que
275,42,5,on,on,42,Prn,Prn$,/V\,on
276,42,6,i,i,42,Prn,Prn$$,/V\,y
277,42,7,puist,puist,42,Vfin,Vfin,C/V\,pouvoir
278,42,8,despendre,despendre,42,Vinf,Vinf,C/V\.'C/V\.C/(e)\,dépendre
279,43,1,du,du,43,Pre+Det,Pre+Det,C/V\,de.le
280,43,2,soen,soen,43,Adj,Adj,C/V\,son
281,43,3,por,por,43,Pre,Pre,C/V\,pour
282,43,4,son,son,43,Det,Det,C/V\,son
283,43,5,cors,cors,43,N,N,C/V\,corps
284,43,6,aesier,aesier,43,Vinf,Vinf,/(V)\./V\.'C/V\,aaiser
285,43,7,?,?,43,Pnc,Pnc,,?
286,44,1,c',c',44,Sub,Sub,C/\,que
287,44,2,onques,onques,44,Adv,Adv,'/V\.C/e\,onques
288,44,3,n',n',44,Neg,Neg$$,C/\,ne
289,44,4,amai,amai,44,Vfin,Vfin,/V\.'C/V\,aimer
290,44,5,autri,autri,44,Adj,Adj,/V\.'C/V\,autrui
291,44,6,dangier,dangier,44,N,N,C/V\.C/<V>\.'/V\,danger
292,44,7,.,.,44,Pnc,Pnc,,.
293,44,8,"""","""",44,Pnc,Pnc,,""""
294,45,1,la,la,45,Det,Det,C/V\,le
295,45,2,preude,preude,45,Adj,Adj,'C/V\.C/(e)\,preux
296,45,3,fame,fame,45,N,N,'C/V\.C/(e)\,femme
297,45,4,li,li,45,Prn,Prn$$,C/V\,li
