wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,ref
202,34,2,vraie,vraie,34,ADJ:obj:femi:sg,Adj,Adj,vrai,'C/V\./(e)\,"JPriorat, v. 34"
203,34,3,et,et,34,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 34"
204,34,4,qui,qui,34,PROCON,Qux,Qux,qui,C/V\,"JPriorat, v. 34"
205,34,5,a,a,34,PRE,Pre,Pre,à,/V\,"JPriorat, v. 34"
206,34,6,gros,gros,34,ADJ:obj:masc:sg,Adj,Adj,gros,C/V\,"JPriorat, v. 34"
207,34,7,monte,monte,34,VER:pres:3:sg,Vfin,Vfin,monter,'C/V\.C/(e)\,"JPriorat, v. 34"
208,34,8,",",",",34,PON,Pnc,Pnc,",",,"JPriorat, v. 34"
209,35,1,car,car,35,CON:coord,Crd,Crd,car,C/V\,"JPriorat, v. 35"
210,35,2,il,il,35,PRO:pers:suj:3:masc:sg:unb,Prn,Prn,il,/V\,"JPriorat, v. 35"
211,35,3,toz,toz,35,DET:ind:obj:masc:pl,QIs,QIs,tout,C/V\,"JPriorat, v. 35"
212,35,4,estrumanz,estrumanz,35,NOM:obj:masc:pl,N,N,estrument,/V\.C/V\.'C/V\,"JPriorat, v. 35"
213,35,5,devise,devise,35,VER:pres:3:sg,Vfin,Vfin,deviser,C/V\.'C/V\.C/(e)\,"JPriorat, v. 35"
214,36,1,et,et,36,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 36"
215,36,2,toz,toz,36,DET:ind:obj:masc:pl,QIs,QIs,tout,C/V\,"JPriorat, v. 36"
216,36,3,engins,engins,36,NOM:obj:masc:pl,N,N,engin,/V\.'C/V\,"JPriorat, v. 36"
217,36,4,et,et,36,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 36"
218,36,5,per,per,36,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 36"
219,36,6,quel,quel,36,ADJ:obj:femi:sg,Qux,Qux,quel,C/V\,"JPriorat, v. 36"
220,36,7,guise,guise,36,NOM:obj:femi:sg,N,N,guise,'C/V\.C/(e)\,"JPriorat, v. 36"
221,37,1,lon,lon,37,PRO:invar,Prn,Prn$,on,C/V\,"JPriorat, v. 37"
222,37,2,puet,puet,37,VER:pres:3:sg,Vfin,Vfin,pouvoir2,C/V\,"JPriorat, v. 37"
223,37,3,citez,citez,37,NOM:obj:femi:pl,N,N,cité,C/V\.'C/V\,"JPriorat, v. 37"
224,37,4,et,et,37,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 37"
225,37,5,chastiax,chastiax,37,NOM:obj:masc:pl,N,N,château,C/V\.'C/V\,"JPriorat, v. 37"
226,37,6,prandre,prandre,37,VER:infi,Vinf,Vinf,prendre,'C/V\.C/(e)\,"JPriorat, v. 37"
227,37,7,",",",",37,PON,Pnc,Pnc,",",,"JPriorat, v. 37"
228,38,1,comant,comant,38,ADV,Qux,Qux,comment,C/V\.'C/V\,"JPriorat, v. 38"
229,38,2,on,on,38,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 38"
230,38,3,las,las,38,PRO:pers:acc:3:masc:pl,Prn,Prn$$,le,C/V\,"JPriorat, v. 38"
231,38,4,repuet,repuet,38,VER:pres:3:sg,Vfin,Vfin,repouvoir,C/V\.'C/V\,"JPriorat, v. 38"
232,38,5,deffandre,deffandre,38,VER:infi,Vinf,Vinf,défendre,C/V\.'C/V\.C/(e)\,"JPriorat, v. 38"
