wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
221,29,9,ay,ay,29,Vfin,Vfin,/V\,avoir,"ChrPisTroisJug, v. 29"
222,29,10,recort,recort,29,N,N,C/V\.'C/V\,recort,"ChrPisTroisJug, v. 29"
223,29,11,",",",",29,Pnc,Pnc,,",","ChrPisTroisJug, v. 29"
224,30,1,et,et,30,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 30"
225,30,2,a,a,30,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 30"
226,30,3,voz,voz,30,Det,Det,C/V\,votre,"ChrPisTroisJug, v. 30"
227,30,4,dis,dis,30,N,N,C/V\,dit,"ChrPisTroisJug, v. 30"
228,30,5,en,en,30,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 30"
229,30,6,tous,tous,30,QIs,QIs,C/V\,tout,"ChrPisTroisJug, v. 30"
230,30,7,cas,cas,30,N,N,C/V\,cas,"ChrPisTroisJug, v. 30"
231,30,8,je,je,30,Prn,Prn$,C/(e)\,je,"ChrPisTroisJug, v. 30"
232,30,9,m',m',30,Prn,Prn$$,C/\,me,"ChrPisTroisJug, v. 30"
233,30,10,acort,acort,30,Vfin,Vfin,/V\.'C/V\,accorder,"ChrPisTroisJug, v. 30"
234,30,11,;,;,30,Pnc,Pnc,,;,"ChrPisTroisJug, v. 30"
235,31,1,si,si,31,Adv,Adv,C/V\,si,"ChrPisTroisJug, v. 31"
236,31,2,feront,feront,31,Vfin,Vfin,C/V\.'C/V\,faire,"ChrPisTroisJug, v. 31"
237,31,3,ilz,ilz,31,Prn,Prn%,/V\,il,"ChrPisTroisJug, v. 31"
238,31,4,",",",",31,Pnc,Pnc,,",","ChrPisTroisJug, v. 31"
239,31,5,car,car,31,Crd,Crd,C/V\,car,"ChrPisTroisJug, v. 31"
240,31,6,vostre,vostre,31,Det,Det,'C/V\.C/(e)\,votre,"ChrPisTroisJug, v. 31"
241,31,7,bon,bon,31,Adj,Adj,C/V\,bon,"ChrPisTroisJug, v. 31"
242,31,8,recort,recort,31,N,N,C/V\.'C/V\,recort,"ChrPisTroisJug, v. 31"
243,32,1,doit,doit,32,Vfin,Vfin,C/V\,devoir,"ChrPisTroisJug, v. 32"
244,32,2,bien,bien,32,Adv,Adv,C/V\,bien,"ChrPisTroisJug, v. 32"
245,32,3,souffire,souffire,32,Vinf,Vinf,C/V\.'C/V\.C/(e)\,suffire,"ChrPisTroisJug, v. 32"
246,32,4,.,.,32,Pnc,Pnc,,.,"ChrPisTroisJug, v. 32"
