wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
131,21,2,cui,cui,BA521,Qux,Qux,qui,7s,---,C/V\,"FroissPoés, ballade 5, v. 21"
132,21,3,ma,ma,BA521,Det,Det,mon,7s,---,C/V\,"FroissPoés, ballade 5, v. 21"
133,21,4,dolour,dolour,BA521,N,N,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 21"
134,21,5,afiere,afiere,BA521,Vfin,Vfin,afférir,7s,---,/V\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 21"
135,21,6,.,.,BA521,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 21"
136,22,1,et,et,BA522,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 22"
137,22,2,m',m',BA522,Prn,Prn$$,me,7s,---,C/\,"FroissPoés, ballade 5, v. 22"
138,22,3,en,en,BA522,Prn,Prn$$,en,7s,---,/V\,"FroissPoés, ballade 5, v. 22"
139,22,4,tieng,tieng,BA522,Vfin,Vfin,tenir,7s,---,C/V\,"FroissPoés, ballade 5, v. 22"
140,22,5,pour,pour,BA522,Pre,Pre,pour,7s,---,C/V\,"FroissPoés, ballade 5, v. 22"
141,22,6,euwireus,euwireus,BA522,Adj,Adj,,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 22"
142,23,1,quant,quant,BA523,Sub,Sub,quand,7s,---,C/V\,"FroissPoés, ballade 5, v. 23"
143,23,2,uns,uns,BA523,QIs,QIs,un,7s,---,/V\,"FroissPoés, ballade 5, v. 23"
144,23,3,douls,douls,BA523,Adj,Adj,doux,7s,---,C/V\,"FroissPoés, ballade 5, v. 23"
145,23,4,coers,coers,BA523,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 23"
146,23,5,gratieus,gratieus,BA523,Adj,Adj,,7s,---,C/V\.C/{V}\.'/V\,"FroissPoés, ballade 5, v. 23"
147,23,6,",",",",BA523,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 23"
148,24,1,qui,qui,BA524,Qux,Qux,qui,7s,---,C/V\,"FroissPoés, ballade 5, v. 24"
149,24,2,poet,poet,BA524,Vfin,Vfin,pouvoir,7s,---,C/V\,"FroissPoés, ballade 5, v. 24"
150,24,3,tout,tout,BA524,QIs,QIs,tout,7s,---,C/V\,"FroissPoés, ballade 5, v. 24"
151,24,4,ce,ce,BA524,Prn,Prn,ce,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 24"
152,24,5,amender,amender,BA524,Vinf,Vinf,amender,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 24"
153,24,6,",",",",BA524,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 24"
154,25,1,me,me,BA525,Prn,Prn$$,me,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 25"
155,25,2,fait,fait,BA525,Vfin,Vfin,faire,7s,---,C/V\,"FroissPoés, ballade 5, v. 25"
156,25,3,ensi,ensi,BA525,Adv,Adv,ainsi,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 25"
157,25,4,aleuer,aleuer,BA525,Vinf,Vinf,allouer,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 25"
158,26,1,le,le,BA526,Det,Det,le,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 26"
159,26,2,tamps,tamps,BA526,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 26"
160,26,3,",",",",BA526,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 26"
161,26,4,et,et,BA526,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 26"
162,26,5,pensers,pensers,BA526,Vinf,Vinf,penser,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 26"
163,26,6,m',m',BA526,Prn,Prn$$,me,7s,---,C/\,"FroissPoés, ballade 5, v. 26"
164,26,7,envoie,envoie,BA526,Vfin,Vfin,envoyer,7s,---,/V\.'C/V\./(e)\,"FroissPoés, ballade 5, v. 26"
165,27,1,ou,ou,BA527,Qux,Qux,où,7s,---,/V\,"FroissPoés, ballade 5, v. 27"
166,27,2,il,il,BA527,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 27"
167,27,3,n',n',BA527,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 27"
168,27,4,ont,ont,BA527,Vfin,Vfin,avoir,7s,---,/V\,"FroissPoés, ballade 5, v. 27"
169,27,5,solas,solas,BA527,N,N,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 27"
170,27,6,ne,ne,BA527,Crd,Crd,ne2,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 27"
171,27,7,joie,joie,BA527,N,N,,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 27"
172,27,8,.,.,BA527,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 27"
173,28,1,maniere,maniere,BA2101,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"FroissPoés, ballade 21, v. 1"
174,28,2,en,en,BA2101,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 21, v. 1"
175,28,3,plaisant,plaisant,BA2101,Vprs,Vprs,plaire,7s,---,C/V\.'C/V\,"FroissPoés, ballade 21, v. 1"
176,28,4,arroi,arroi,BA2101,N,N,,7s,---,/V\.'C/V\,"FroissPoés, ballade 21, v. 1"
177,29,1,est,est,BA2102,Vfin,Vfin,être,7s,---,/V\,"FroissPoés, ballade 21, v. 2"
178,29,2,forment,forment,BA2102,Adv,Adv,fortement,7s,---,C/V\.'C/V\,"FroissPoés, ballade 21, v. 2"
179,29,3,recommendee,recommendee,BA2102,Vpp,Vpp,recommander,7s,---,C/V\.C/V\.C/V\.'C/V\./(e)\,"FroissPoés, ballade 21, v. 2"
180,30,1,en,en,BA2103,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 21, v. 3"
181,30,2,fame,fame,BA2103,N,N,,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 21, v. 3"
182,30,3,",",",",BA2103,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 21, v. 3"
183,30,4,et,et,BA2103,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 21, v. 3"
184,30,5,fust,fust,BA2103,Vfin,Vfin,être,7s,---,C/V\,"FroissPoés, ballade 21, v. 3"
185,30,6,fille,fille,BA2103,N,N,,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 21, v. 3"
186,30,7,a,a,BA2103,Pre,Pre,à,7s,---,/V\,"FroissPoés, ballade 21, v. 3"
187,30,8,roi,roi,BA2103,N,N,,7s,---,C/V\,"FroissPoés, ballade 21, v. 3"
188,30,9,;,;,BA2103,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 21, v. 3"
189,31,1,car,car,BA2104,Crd,Crd,car,7s,---,C/V\,"FroissPoés, ballade 21, v. 4"
190,31,2,",",",",BA2104,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 21, v. 4"
191,31,3,quant,quant,BA2104,Sub,Sub,quand,7s,---,C/V\,"FroissPoés, ballade 21, v. 4"
