wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
100,15,5,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 15"
101,16,1,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 16"
102,16,2,donc,donc,Adv,Adv,donc,C/V\,"MirNDPers, Miracle de la nonne, v. 16"
103,16,3,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 16"
104,16,4,aviengne,aviengne,Vfin,Vfin,avenir,/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 16"
105,16,5,qu',qu',Qux,Qux,que,C/\,"MirNDPers, Miracle de la nonne, v. 16"
106,16,6,aviengne,aviengne,Vfin,Vfin,avenir,/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 16"
107,16,7,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 16"
108,17,1,noz,noz,Det,Det,notre,C/V\,"MirNDPers, Miracle de la nonne, v. 17"
109,17,2,places,places,N,N,place,'C/V\.C/e\,"MirNDPers, Miracle de la nonne, v. 17"
110,17,3,prendre,prendre,Vinf,Vinf,prendre,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 17"
111,17,4,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 17"
112,17,5,nous,nous,Prn,Prn$$,nous,C/V\,"MirNDPers, Miracle de la nonne, v. 17"
113,17,6,seons,seons,Vfin,Vfin,seoir,C/V\,"MirNDPers, Miracle de la nonne, v. 17"
114,17,7,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 17"
115,18,1,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 18"
116,18,2,noz,noz,Det,Det,notre,C/V\,"MirNDPers, Miracle de la nonne, v. 18"
117,18,3,heures,heures,N,N,heure,'/V\.C/e\,"MirNDPers, Miracle de la nonne, v. 18"
118,18,4,tout,tout,QIs,QIs,tout,C/V\,"MirNDPers, Miracle de la nonne, v. 18"
119,18,5,bas,bas,Adj,Adj,bas,C/V\,"MirNDPers, Miracle de la nonne, v. 18"
120,18,6,disons,disons,Vfin,Vfin,dire,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 18"
121,19,1,en,en,Pre,Pre,en,/V\,"MirNDPers, Miracle de la nonne, v. 19"
122,19,2,l',l',Prn,Prn$$,le,C/\,"MirNDPers, Miracle de la nonne, v. 19"
123,19,3,attendant,attendant,Vprs,Vprs,attendre,/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 19"
124,19,4,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 19"
125,20,1,dame,dame,N,N,dame,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 20"
