wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,tei_notes
2440,376,4,aiez,aiez,VER:impe:2:pl,541,Vfin,Vfin,avoir,/V\.'C/V\,
2441,376,5,de,de,PRE,541,Pre,Pre,de,C/(e)\,
2442,376,6,moi,moi,PRO:pers:obj:1:sg:bet,541,Prn,Prn,moi,C/V\,
2443,376,7,merci,merci,NOM:obj:femi:sg,541,N,N,merci,C/V\.'C/V\,
2444,376,8,!,!,PON,541,Pnc,Pnc,!,,
2445,377,1,c',c',PRO:invar,542,Prn,Prn,ce,C/\,
2446,377,2,est,est,VER:pres:3:sg,542,Vfin,Vfin,être,/V\,
2447,377,3,li,li,DET:def:suj:masc:sg,542,Det,Det,le,C/V\,
2448,377,4,chetis,chetis,ADJ:suj:masc:sg,542,Adj,Adj,chétif,C/V\.'C/V\,
2449,378,1,theophile,theophile,NPR:suj:masc:sg,543,N,N,Théophile,C/(V)\./V\.'C/V\.C/(e)\,
2450,378,2,li,li,DET:def:suj:masc:sg,543,Det,Det,le,C/V\,
2451,378,3,entrepris,entrepris,VER:pper:masc:sg,543,Vpp,Vpp,entreprendre,/V\.C/e\.'C/V\,
2452,379,1,que,que,PROCON,544,Qux,Qux,que,C/(e)\,
2453,379,2,maufé,maufé,NOM:suj:masc:pl,544,N,N,maufé,C/V\.'C/V\,
2454,379,3,ont,ont,VER:pres:3:pl,544,Vfin,Vfin,avoir,/V\,
2455,379,4,loié,loié,VER:pper:masc:sg,544,Vpp,Vpp,lier,C/V\.'C/V\,
2456,379,5,et,et,CON:coord,544,Crd,Crd,et,/V\,
2457,379,6,pris,pris,VER:pper:masc:sg,544,Vpp,Vpp,prendre,C/V\,
2458,379,7,.,.,PON,544,Pnc,Pnc,.,,
2459,380,1,or,or,ADV,545,Adv,Adv,or2,/V\,
2460,380,2,vieng,vieng,VER:pres:1:sg,545,Vfin,Vfin,venir,C/V\,
2461,380,3,proier,proier,VER:infi,545,Vinf,Vinf,prier,C/V\.'C/V\,
2462,381,1,a,a,PRE,546,Pre,Pre,à,/V\,
2463,381,2,vous,vous,PRO:pers:2:pl,546,Prn,Prn,vous,C/V\,
2464,381,3,dame,dame,NOM:suj:femi:sg,546,N,N,dame,'C/V\.C/(e)\,
2465,381,4,et,et,CON:coord,546,Crd,Crd,et,/V\,
2466,381,5,merci,merci,NOM:obj:femi:sg,546,N,N,merci,C/V\.'C/V\,
2467,381,6,crier,crier,VER:infi,546,Vinf,Vinf,crier,C/V\.'C/V\,
