wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
135,21,7,mande,mande,mander,5539,Vfin,Vfin,'C/V\.C/(e)\,"GautArrEr, v. 5539"
136,21,8,",",",",",",5539,Pnc,Pnc,,"GautArrEr, v. 5539"
137,22,1,ne,ne,ne,5540,Crd,Crd,C/(e)\,"GautArrEr, v. 5540"
138,22,2,je,je,je,5540,Prn,Prn,C/(e)\,"GautArrEr, v. 5540"
139,22,3,",",",",",",5540,Pnc,Pnc,,"GautArrEr, v. 5540"
140,22,4,des,des,dès,5540,Pre,Pre,C/V\,"GautArrEr, v. 5540"
141,22,5,puis,puis,puis,5540,PrA,PrA,C/V\,"GautArrEr, v. 5540"
142,22,6,qu',qu',que,5540,Sub,Sub,C/\,"GautArrEr, v. 5540"
143,22,7,il,il,il,5540,Prn,Prn$,/V\,"GautArrEr, v. 5540"
144,22,8,ne,ne,ne,5540,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5540"
145,22,9,conmande,conmande,commander,5540,Vfin,Vfin,C/V\.'C/V\.C/(e)\,"GautArrEr, v. 5540"
146,22,10,",",",",",",5540,Pnc,Pnc,,"GautArrEr, v. 5540"
147,23,1,ne,ne,ne,5541,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5541"
148,23,2,te,te,te,5541,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5541"
149,23,3,voel,voel,vouloir,5541,Vfin,Vfin,C/V\,"GautArrEr, v. 5541"
150,23,4,mie,mie,mie,5541,Neg,Neg,'C/V\./(e)\,"GautArrEr, v. 5541"
151,23,5,saluer,saluer,saluer,5541,Vinf,Vinf,C/V\.C/V\.'C/V\,"GautArrEr, v. 5541"
152,23,6,",",",",",",5541,Pnc,Pnc,,"GautArrEr, v. 5541"
153,24,1,car,car,car,5542,Crd,Crd,C/V\,"GautArrEr, v. 5542"
154,24,2,tu,tu,tu,5542,Prn,Prn$,C/V\,"GautArrEr, v. 5542"
155,24,3,viens,viens,venir,5542,Vfin,Vfin,C/V\,"GautArrEr, v. 5542"
156,24,4,occire,occire,occire,5542,Vinf,Vinf,/V\.'C/V\.C/(e)\,"GautArrEr, v. 5542"
157,24,5,et,et,et,5542,Crd,Crd,/V\,"GautArrEr, v. 5542"
158,24,6,tuer,tuer,tuer,5542,Vinf,Vinf,C/V\.'C/V\,"GautArrEr, v. 5542"
159,25,1,et,et,et,5543,Crd,Crd,/V\,"GautArrEr, v. 5543"
160,25,2,lui,lui,lui,5543,Prn,Prn,C/V\,"GautArrEr, v. 5543"
161,25,3,et,et,et,5543,Crd,Crd,/V\,"GautArrEr, v. 5543"
162,25,4,se,se,son,5543,Det,Det,C/(e)\,"GautArrEr, v. 5543"
