wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
155,24,7,amé,amé,624,Vpp,Vpp,aimer,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 24"
156,24,8,.,.,624,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 24"
157,25,1,pour,pour,625,Pre,Pre,pour,7s,---,C/V\,"BlondNesle, chanson 6, v. 25"
158,25,2,moi,moi,625,Prn,Prn,moi,7s,---,C/V\,"BlondNesle, chanson 6, v. 25"
159,25,3,grever,grever,625,Vinf,Vinf,grever,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 25"
160,25,4,la,la,625,Prn,Prn$$,le,7s,---,C/V\,"BlondNesle, chanson 6, v. 25"
161,25,5,fist,fist,625,Vfin,Vfin,faire,7s,---,C/V\,"BlondNesle, chanson 6, v. 25"
162,25,6,nee,nee,625,Vpp,Vpp,naître,7s,---,'C/V\./(e)\,"BlondNesle, chanson 6, v. 25"
163,26,1,et,et,626,Crd,Crd,et,7s,---,/V\,"BlondNesle, chanson 6, v. 26"
164,26,2,pour,pour,626,Pre,Pre,pour,7s,---,C/V\,"BlondNesle, chanson 6, v. 26"
165,26,3,li,li,626,Prn,Prn,li,7s,---,C/V\,"BlondNesle, chanson 6, v. 26"
166,26,4,amer,amer,626,Vinf,Vinf,aimer,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 26"
167,26,5,moi,moi,626,Prn,Prn,moi,7s,---,C/V\,"BlondNesle, chanson 6, v. 26"
168,26,6,né,né,626,Vpp,Vpp,naître,7s,---,C/V\,"BlondNesle, chanson 6, v. 26"
169,26,7,.,.,626,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 26"
170,27,1,avoir,avoir,627,Vinf,N,avoir2,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 27"
171,27,2,me,me,627,Prn,Prn$$,me,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 27"
172,27,3,cuide,cuide,627,Vfin,Vfin,cuider,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 27"
173,27,4,engané,engané,627,Vpp,Vpp,enganer,7s,---,/V\.C/V\.'C/V\,"BlondNesle, chanson 6, v. 27"
174,27,5,",",",",627,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 27"
175,28,1,maiz,maiz,628,Crd,Crd,mais,7s,---,C/V\,"BlondNesle, chanson 6, v. 28"
176,28,2,pluz,pluz,628,Adv,Adv,plus,7s,---,C/V\,"BlondNesle, chanson 6, v. 28"
177,28,3,m',m',628,Prn,Prn$$,me,7s,---,C/\,"BlondNesle, chanson 6, v. 28"
178,28,4,a,a,628,Vfin,Vfin,avoir,7s,---,/V\,"BlondNesle, chanson 6, v. 28"
179,28,5,joie,joie,628,N,N,,7s,---,'C/V\./(e)\,"BlondNesle, chanson 6, v. 28"
180,28,6,dounee,dounee,628,Vpp,Vpp,donner,7s,---,C/V\.'C/V\./e\,"BlondNesle, chanson 6, v. 28"
181,29,1,que,que,629,Sub,Sub,que,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 29"
182,29,2,li,li,629,Det,Det,le,7s,---,C/V\,"BlondNesle, chanson 6, v. 29"
183,29,3,meemëz,meemëz,629,N,Adj,même,7s,---,C/(V)\.'/V\.C/e\,"BlondNesle, chanson 6, v. 29"
184,29,4,doné,doné,629,Vpp,Vpp,donner,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 29"
185,30,1,et,et,630,Crd,Crd,et,7s,---,/V\,"BlondNesle, chanson 6, v. 30"
186,30,2,ma,ma,630,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 30"
187,30,3,dame,dame,630,N,N,,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 30"
188,30,4,pluz,pluz,630,Adv,Adv,plus,7s,---,C/V\,"BlondNesle, chanson 6, v. 30"
189,30,5,biauté,biauté,630,N,N,,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 30"
190,30,6,.,.,630,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 30"
191,31,1,doucement,doucement,631,Adv,Adv,,7s,---,C/V\.C/e\.'C/V\,"BlondNesle, chanson 6, v. 31"
192,31,2,fu,fu,631,Vfin,Vfin,être,7s,---,C/V\,"BlondNesle, chanson 6, v. 31"
193,31,3,comperee,comperee,631,Vpp,Vpp,comparer,7s,---,C/V\.C/e\.'C/V\./e\,"BlondNesle, chanson 6, v. 31"
194,32,1,l',l',632,Det,Det,le,7s,---,C/\,"BlondNesle, chanson 6, v. 32"
195,32,2,amours,amours,632,N,N,,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 32"
196,32,3,u,u,632,Qux,Qux,où,7s,---,/V\,"BlondNesle, chanson 6, v. 32"
197,32,4,j',j',632,Prn,Prn$,je,7s,---,C/\,"BlondNesle, chanson 6, v. 32"
198,32,5,ai,ai,632,Vfin,Vfin,avoir,7s,---,/V\,"BlondNesle, chanson 6, v. 32"
199,32,6,tant,tant,632,QIs,QIs,tant,7s,---,C/V\,"BlondNesle, chanson 6, v. 32"
200,32,7,pensé,pensé,632,Vpp,Vpp,penser,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 32"
201,32,8,.,.,632,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 32"
202,33,1,bien,bien,633,Adv,Adv,bien,7s,---,C/V\,"BlondNesle, chanson 6, v. 33"
203,33,2,doi,doi,633,Vfin,Vfin,devoir2,7s,---,C/V\,"BlondNesle, chanson 6, v. 33"
204,33,3,amer,amer,633,Vinf,Vinf,aimer,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 33"
205,33,4,ma,ma,633,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 33"
206,33,5,pensee,pensee,633,N,N,,7s,---,C/V\.'C/V\./(e)\,"BlondNesle, chanson 6, v. 33"
207,33,6,",",",",633,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 33"
208,34,1,quel,quel,634,QIs,QIs,quel,7s,---,C/V\,"BlondNesle, chanson 6, v. 34"
209,34,2,mal,mal,634,N,N,mal,7s,---,C/V\,"BlondNesle, chanson 6, v. 34"
210,34,3,qu',qu',634,Qux,Qux,que,7s,---,C/\,"BlondNesle, chanson 6, v. 34"
211,34,4,en,en,634,Prn,Prn$$,en2,7s,---,/V\,"BlondNesle, chanson 6, v. 34"
212,34,5,aie,aie,634,Vfin,Vfin,avoir,7s,---,'/V\./(e)\,"BlondNesle, chanson 6, v. 34"
213,34,6,enduré,enduré,634,Vpp,Vpp,endurer,7s,---,/V\.C/V\.'C/V\,"BlondNesle, chanson 6, v. 34"
214,34,7,.,.,634,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 34"
215,35,1,se,se,635,Sub,Sub,si3,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 35"
216,35,2,ma,ma,635,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 35"
217,35,3,dame,dame,635,N,N,,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 35"
218,35,4,bien,bien,635,Adv,Adv,bien,7s,---,C/V\,"BlondNesle, chanson 6, v. 35"
219,35,5,amee,amee,635,Vpp,Vpp,aimer,7s,---,/V\.'C/V\./(e)\,"BlondNesle, chanson 6, v. 35"
220,36,1,eust,eust,636,Vfin,Vfin,avoir,7s,---,/(V)\.'/V\,"BlondNesle, chanson 6, v. 36"
221,36,2,moi,moi,636,Prn,Prn,moi,7s,---,C/V\,"BlondNesle, chanson 6, v. 36"
222,36,3,tant,tant,636,QIs,QIs,tant,7s,---,C/V\,"BlondNesle, chanson 6, v. 36"
223,36,4,desirré,desirré,636,Vpp,Vpp,désirer,7s,---,C/V\.C/V\.'C/V\,"BlondNesle, chanson 6, v. 36"
224,37,1,com,com,637,Sub,Sub,comme,7s,---,C/V\,"BlondNesle, chanson 6, v. 37"
225,37,2,j',j',637,Prn,Prn$,je,7s,---,C/\,"BlondNesle, chanson 6, v. 37"
226,37,3,ai,ai,637,Vfin,Vfin,avoir,7s,---,/V\,"BlondNesle, chanson 6, v. 37"
227,37,4,li,li,637,Prn,Prn,li,7s,---,C/V\,"BlondNesle, chanson 6, v. 37"
228,37,5,—,—,637,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 37"
229,37,6,ce,ce,637,Prn,Prn$,ce,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 37"
230,37,7,m',m',637,Prn,Prn$$,me,7s,---,C/\,"BlondNesle, chanson 6, v. 37"
231,37,8,a,a,637,Vfin,Vfin,avoir,7s,---,/V\,"BlondNesle, chanson 6, v. 37"
232,37,9,grevé,grevé,637,Vpp,Vpp,grever,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 37"
233,37,10,—,—,637,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 37"
234,37,11,",",",",637,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 37"
235,38,1,ne,ne,638,Neg,Neg,ne,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 38"
236,38,2,se,se,638,Prn,Prn$$,se,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 38"
237,38,3,fust,fust,638,Vfin,Vfin,être,7s,---,C/V\,"BlondNesle, chanson 6, v. 38"
238,38,4,pas,pas,638,Neg,Neg,pas,7s,---,C/V\,"BlondNesle, chanson 6, v. 38"
239,38,5,consirree,consirree,638,Vpp,Vpp,consirer,7s,---,C/V\.C/V\.'C/V\./e\,"BlondNesle, chanson 6, v. 38"
240,39,1,de,de,639,Pre,Pre,de,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 39"
241,39,2,ce,ce,639,Prn,Prn,ce,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 39"
242,39,3,donc,donc,639,Qux,Qux,dont,7s,---,C/V\,"BlondNesle, chanson 6, v. 39"
243,39,4,m',m',639,Prn,Prn$$,me,7s,---,C/\,"BlondNesle, chanson 6, v. 39"
