wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
113,15,2,nuit,nuit,NOM:obj:femi:sg,310,N,N,nuit,C/V\,"RCambr, v. 310"
114,15,3,oscure,oscure,ADJ:obj:femi:sg,310,Adj,Adj,obscur,/V\.'C/V\.C/(e)\,"RCambr, v. 310"
115,15,4,en,en,PRO:clit,310,Prn,Prn$$,en2,/V\,"RCambr, v. 310"
116,15,5,voit,voit,VER:pres:3:sg,310,Vfin,Vfin,voir,C/V\,"RCambr, v. 310"
117,15,6,on,on,PRO:invar,310,Prn,Prn%,on,/V\,"RCambr, v. 310"
118,15,7,le,le,DET:def:obj:masc:sg,310,Det,Det,le,C/(e)\,"RCambr, v. 310"
119,15,8,chemin,chemin,NOM:obj:masc:sg,310,N,N,chemin,C/V\.'C/V\,"RCambr, v. 310"
120,16,1,li,li,DET:def:suj:masc:sg,311,Det,Det,le,C/V\,"RCambr, v. 311"
121,16,2,rois,rois,NOM:suj:masc:sg,311,N,N,roi,C/V\,"RCambr, v. 311"
122,16,3,li,li,PRO:pers:suj:3:masc:sg:bet,311,Prn,Prn$$,li,C/V\,"RCambr, v. 311"
123,16,4,cainst,cainst,VER:simp:3:sg,311,Vfin,Vfin,ceindre,C/V\,"RCambr, v. 311"
124,16,5,l,l',DET:def:obj:femi:sg,311,Det,Det,le,C/\,"RCambr, v. 311"
125,16,6,espee,espee,NOM:obj:femi:sg,311,N,N,épée,/V\.'C/V\./(e)\,"RCambr, v. 311"
126,16,7,fort,fort,ADJ:obj:femi:sg,311,Adj,Adj,fort,C/V\,"RCambr, v. 311"
127,16,8,et,et,CON:coord,311,Crd,Crd,et,/V\,"RCambr, v. 311"
128,16,9,dure,dure,ADJ:obj:femi:sg,311,Adj,Adj,dur,'C/V\.C/(e)\,"RCambr, v. 311"
129,17,1,d,d',PRE,312,Pre,Pre,de,C/\,"RCambr, v. 312"
130,17,2,or,or,NOM:obj:masc:sg,312,N,N,or,/V\,"RCambr, v. 312"
131,17,3,fu,fu,VER:simp:3:sg,312,Vfin,Vfin,être,C/V\,"RCambr, v. 312"
132,17,4,li,li,DET:def:suj:masc:sg,312,Det,Det,le,C/V\,"RCambr, v. 312"
133,17,5,pons,pons,NOM:suj:masc:sg,312,N,N,poing,C/V\,"RCambr, v. 312"
134,17,6,et,et,CON:coord,312,Crd,Crd,et,/V\,"RCambr, v. 312"
135,17,7,toute,toute,DET:ind:suj:femi:sg,312,QIs,QIs,tout,'C/V\.C/(e)\,"RCambr, v. 312"
136,17,8,la,la,DET:def:suj:femi:sg,312,Det,Det,le,C/V\,"RCambr, v. 312"
137,17,9,heudure,heudure,NOM:suj:femi:sg,312,N,N,heudure,C/V\.'C/V\.C/(e)\,"RCambr, v. 312"
138,18,1,et,et,CON:coord,313,Crd,Crd,et,/V\,"RCambr, v. 313"
139,18,2,fu,fu,VER:simp:3:sg,313,Vfin,Vfin,être,C/V\,"RCambr, v. 313"
140,18,3,forgie,forgie,VER:pper:femi:sg,313,Vpp,Vpp,forger,C/V\.'C/V\./(e)\,"RCambr, v. 313"
141,18,4,en,en,PRO:clit,313,Pre,Pre,en,/V\,"RCambr, v. 313"
142,18,5,une,une,DET:ndf:obj:femi:sg,313,QIs,QIs,un,'/V\.C/(e)\,"RCambr, v. 313"
143,18,6,combe,combe,NOM:obj:femi:sg,313,N,N,combe,'C/V\.C/(e)\,"RCambr, v. 313"
144,18,7,oscure,oscure,ADJ:obj:femi:sg,313,Adj,Adj,obscur,/V\.'C/V\.C/(e)\,"RCambr, v. 313"
145,19,1,galans,galans,NPR:suj:masc:sg,314,N,N,Galan,C/V\.'C/V\,"RCambr, v. 314"
146,19,2,la,la,PRO:pers:acc:3:femi:sg,314,Prn,Prn$$,le,C/V\,"RCambr, v. 314"
147,19,3,fist,fist,VER:simp:3:sg,314,Vfin,Vfin,faire,C/V\,"RCambr, v. 314"
148,19,4,qi,qi,PROCON,314,Qux,Qux,qui,C/V\,"RCambr, v. 314"
149,19,5,toute,toute,PRO:ind:obj:femi:sg,314,QIs,QIs,tout,'C/V\.C/(e)\,"RCambr, v. 314"
150,19,6,i,i,PRO:clit,314,Prn,Prn$$,y2,/V\,"RCambr, v. 314"
151,19,7,mist,mist,VER:simp:3:sg,314,Vfin,Vfin,mettre,C/V\,"RCambr, v. 314"
152,19,8,sa,sa,DET:poss:obj:femi:sg,314,Det,Det,son4,C/V\,"RCambr, v. 314"
153,19,9,cure,cure,NOM:obj:femi:sg,314,N,N,cure,'C/V\.C/(e)\,"RCambr, v. 314"
154,20,1,fors,fors,ADV,315,PrA,PrA,hors,C/V\,"RCambr, v. 315"
155,20,2,durendal,durendal,NPR:obj:masc:sg,315,N,N,Durandal,C/V\.C/V\.'C/V\,"RCambr, v. 315"
156,20,3,qi,qi,PROCON,315,Qux,Qux,qui,C/V\,"RCambr, v. 315"
157,20,4,fu,fu,VER:simp:3:sg,315,Vfin,Vfin,être,C/V\,"RCambr, v. 315"
158,20,5,li,li,DET:def:suj:femi:sg,315,Det,Det,le,C/V\,"RCambr, v. 315"
159,20,6,esliture,esliture,NOM:suj:femi:sg,315,N,N,éliture,/V\.C/V\.'C/V\.C/(e)\,"RCambr, v. 315"
160,21,1,de,de,PRE,316,Pre,Pre,de,C/(e)\,"RCambr, v. 316"
161,21,2,toutes,toutes,DET:ind:obj:femi:pl,316,QIs,QIs,tout,'C/V\.C/e\,"RCambr, v. 316"
162,21,3,autres,autres,ADJ:obj:femi:pl,316,Adj,Adj,autre,'/V\.C/e\,"RCambr, v. 316"
163,21,4,fu,fu,VER:simp:3:sg,316,Vfin,Vfin,être,C/V\,"RCambr, v. 316"
164,21,5,eslite,eslite,VER:pper:femi:sg,316,Vpp,Vpp,élire,/V\.'C/V\.C/(e)\,"RCambr, v. 316"
165,21,6,la,la,DET:def:suj:femi:sg,316,Det,Det,le,C/V\,"RCambr, v. 316"
166,21,7,pure,pure,ADJ:suj:femi:sg,316,Adj,Adj,pur,'C/V\.C/(e)\,"RCambr, v. 316"
167,22,1,arme,arme,NOM:suj:femi:sg,317,N,N,arme,'/V\.C/(e)\,"RCambr, v. 317"
168,22,2,en,en,PRE,317,Pre,Pre,en,/V\,"RCambr, v. 317"
169,22,3,cest,cest,DET:demo:obj:masc:sg,317,Dem,Dem,cist,C/V\,"RCambr, v. 317"
170,22,4,mont,mont,NOM:obj:masc:sg,317,N,N,monde,C/V\,"RCambr, v. 317"
171,22,5,contre,contre,PRE,317,PrA,PrA,contre3,'C/V\.C/(e)\,"RCambr, v. 317"
172,22,6,li,li,PRO:pers:acc:3:femi:sg:bet,317,Prn,Prn,li,C/V\,"RCambr, v. 317"
173,22,7,rien,rien,ADV,317,N,N,rien,C/V\,"RCambr, v. 317"
174,22,8,ne,ne,PRO:clit,317,Neg,Neg$$,ne,C/(e)\,"RCambr, v. 317"
175,22,9,dure,dure,VER:pres:3:sg,317,Vfin,Vfin,durer,'C/V\.C/(e)\,"RCambr, v. 317"
176,23,1,iteles,iteles,ADJ:obj:femi:pl,318,Adj,Adj,tel,/V\.'C/V\.C/e\,"RCambr, v. 318"
177,23,2,armes,armes,NOM:obj:femi:pl,318,N,N,arme,'/V\.C/e\,"RCambr, v. 318"
178,23,3,font,font,VER:pres:3:pl,318,Vfin,Vfin,faire,C/V\,"RCambr, v. 318"
179,23,4,bien,bien,ADV,318,Adv,Adv,bien,C/V\,"RCambr, v. 318"
180,23,5,a,a,PRE,318,Pre,Pre,à,/V\,"RCambr, v. 318"
181,23,6,sa,sa,DET:poss:obj:femi:sg,318,Det,Det,son4,C/V\,"RCambr, v. 318"
182,23,7,mesure,mesure,NOM:obj:femi:sg,318,N,N,mesure,C/V\.'C/V\.C/(e)\,"RCambr, v. 318"
183,24,1,biax,biax,ADJ:suj:masc:sg,319,Adj,Adj,beau,C/V\,"RCambr, v. 319"
184,24,2,fu,fu,VER:simp:3:sg,319,Vfin,Vfin,être,C/V\,"RCambr, v. 319"
185,24,3,raous,raous,NPR:suj:masc:sg,319,N,N,Raoul,C/(V)\.'/V\,"RCambr, v. 319"
186,24,4,et,et,CON:coord,319,Crd,Crd,et,/V\,"RCambr, v. 319"
187,24,5,de,de,PRE,319,Pre,Pre,de,C/(e)\,"RCambr, v. 319"
188,24,6,gente,gente,ADJ:obj:femi:sg,319,Adj,Adj,gent2,'C/V\.C/(e)\,"RCambr, v. 319"
189,24,7,faiture,faiture,NOM:obj:femi:sg,319,N,N,faiture,C/V\.'C/V\.C/(e)\,"RCambr, v. 319"
190,25,1,s,s,PROCON,320,Sub,Sub,si3,C/\,"RCambr, v. 320"
191,25,2,en,en,PRO:clit,320,Pre,Pre,en,/V\,"RCambr, v. 320"
192,25,3,lui,lui,PRO:pers:obj:3:masc:sg:bet,320,Prn,Prn,lui,C/V\,"RCambr, v. 320"
193,25,4,n,n,PRO:clit,320,Neg,Neg$$,ne,C/\,"RCambr, v. 320"
194,25,5,eust,eust,VER:subi:3:sg,320,Vfin,Vfin,avoir,/(V)\.'/V\,"RCambr, v. 320"
195,25,6,un,un,DET:ndf:obj:masc:sg,320,QIs,QIs,un,/V\,"RCambr, v. 320"
196,25,7,poi,poi,ADV,320,N,N,peu,C/V\,"RCambr, v. 320"
197,25,8,de,de,PRE,320,Pre,Pre,de,C/(e)\,"RCambr, v. 320"
198,25,9,desmesure,desmesure,NOM:obj:femi:sg,320,N,N,démesure,C/V\.C/V\.'C/V\.C/(e)\,"RCambr, v. 320"
199,26,1,mieudres,mieudres,ADJ:suj:masc:sg,321,Adj,Adj,meilleur,'C/V\.C/e\,"RCambr, v. 321"
200,26,2,vasals,vasals,NOM:suj:masc:sg,321,N,N,vassal,C/V\.'C/V\,"RCambr, v. 321"
201,26,3,ne,ne,PRO:clit,321,Neg,Neg$$,ne,C/(e)\,"RCambr, v. 321"
202,26,4,tint,tint,VER:simp:3:sg,321,Vfin,Vfin,tenir,C/V\,"RCambr, v. 321"
203,26,5,onques,onques,ADV,321,Adv,Adv,onques,'/V\.C/e\,"RCambr, v. 321"
204,26,6,droiture,droiture,NOM:obj:femi:sg,321,N,N,droiture,C/V\.'C/V\.C/(e)\,"RCambr, v. 321"
205,27,1,mais,mais,CON:coord,322,Crd,Crd,mais,C/V\,"RCambr, v. 322"
206,27,2,de,de,PRE,322,Pre,Pre,de,C/(e)\,"RCambr, v. 322"
207,27,3,ce,ce,PRO:invar,322,Prn,Prn,ce,C/(e)\,"RCambr, v. 322"
208,27,4,fu,fu,VER:simp:3:sg,322,Vfin,Vfin,être,C/V\,"RCambr, v. 322"
209,27,5,molt,molt,ADV,322,QIs,QIs,moult,C/V\,"RCambr, v. 322"
210,27,6,pesans,pesans,VER:ppre:pl,322,Vprs,Vprs,peser,C/V\.'C/V\,"RCambr, v. 322"
211,27,7,l,l',DET:def:suj:femi:sg,322,Det,Det,le,C/\,"RCambr, v. 322"
212,27,8,aventure,aventure,NOM:suj:femi:sg,322,N,N,aventure,/V\.C/V\.'C/V\.C/(e)\,"RCambr, v. 322"
213,28,1,hom,hom,NOM:suj:masc:sg,323,N,N,homme,/V\,"RCambr, v. 323"
214,28,2,desreez,desreez,VER:pper:masc:pl,323,Vpp,Vpp,desroyer,C/V\.C/(V)\.'/V\,"RCambr, v. 323"
215,28,3,a,a,PRE,323,Vfin,Vfin,avoir,/V\,"RCambr, v. 323"
216,28,4,molt,molt,ADV,323,QIs,QIs,moult,C/V\,"RCambr, v. 323"
217,28,5,grant,grant,ADJ:obj:femi:sg,323,Adj,Adj,grand,C/V\,"RCambr, v. 323"
218,28,6,painne,painne,NOM:obj:femi:sg,323,N,N,peine,'C/V\.C/(e)\,"RCambr, v. 323"
219,28,7,dure,dure,VER:pres:3:sg,323,Vfin,Vfin,durer,'C/V\.C/(e)\,"RCambr, v. 323"
220,29,1,li,li,DET:def:suj:masc:sg,324,Det,Det,le,C/V\,"RCambr, v. 324"
221,29,2,rois,rois,NOM:suj:masc:sg,324,N,N,roi,C/V\,"RCambr, v. 324"
222,29,3,li,li,PRO:pers:suj:3:masc:sg:bet,324,Prn,Prn$$,li,C/V\,"RCambr, v. 324"
223,29,4,donne,donne,VER:pres:3:sg,324,Vfin,Vfin,donner,'C/V\.C/(e)\,"RCambr, v. 324"
224,29,5,son,son,DET:poss:obj:masc:sg,324,Det,Det,son4,C/V\,"RCambr, v. 324"
225,29,6,bon,bon,ADJ:obj:masc:sg,324,Adj,Adj,bon,C/V\,"RCambr, v. 324"
226,29,7,destrier,destrier,NOM:obj:masc:sg,324,N,N,destrier,C/V\.'C/V\,"RCambr, v. 324"
227,29,8,corant,corant,VER:ppre,324,Vprs,Vprs,courir,C/V\.'C/V\,"RCambr, v. 324"
228,30,1,la,la,DET:def:suj:femi:sg,325,Det,Det,le,C/V\,"RCambr, v. 325"
229,30,2,cele,cele,NOM:suj:femi:sg,325,N,N,selle,'C/V\.C/(e)\,"RCambr, v. 325"
230,30,3,est,est,VER:pres:3:sg,325,Vfin,Vfin,être,/V\,"RCambr, v. 325"
231,30,4,d,d',PRE,325,Pre,Pre,de,C/\,"RCambr, v. 325"
232,30,5,or,or,NOM:obj:masc:sg,325,N,N,or,/V\,"RCambr, v. 325"
