wd_id,line_id,linewd,word,lex_id,pos_nca,syntag,syntag2,syllabified,lemma,ref,tei_right,tei_left
130,20,4,plus,plus,ADV,Adv,Adv,C/V\,plus,"Coincy, II Mir 22, v. 20",,
131,20,5,tost,tost,ADV,Adv,Adv,C/V\,tôt,"Coincy, II Mir 22, v. 20",,
132,20,6,s,s,PROCON,Prn,Prn$$,C/\,se,"Coincy, II Mir 22, v. 20",,
133,20,7,i,i,PRO:clit,Prn,Prn$$,/V\,y,"Coincy, II Mir 22, v. 20",,
134,20,8,raplie,raplie,VER:pres:3:sg,Vfin,Vfin,C/V\.'C/V\./(e)\,reployer,"Coincy, II Mir 22, v. 20",</l>,
135,21,1,pour,pour,PRE,Pre,Pre,C/V\,pour,"Coincy, II Mir 22, v. 21",,<l n=&quot;21&quot;>
136,21,2,ce,ce,PRO:invar,Prn,Prn,C/(e)\,ce,"Coincy, II Mir 22, v. 21",,
137,21,3,qu,qu,PROCON,Sub,Sub,C/\,que,"Coincy, II Mir 22, v. 21",,
138,21,4,avinrent,avinrent,VER:simp:3:pl,Vfin,Vfin,/V\.'C/V\.C/e\,avenir,"Coincy, II Mir 22, v. 21",,
139,21,5,a,a,PRE,Pre,Pre,/V\,à,"Coincy, II Mir 22, v. 21",,
140,21,6,soissonz,soissonz,NPR:obj:masc:sg,N,N,C/V\.'C/V\,Soissons,"Coincy, II Mir 22, v. 21",</l>,
141,22,1,ou,ou,PROCON,Qux,Qux,/V\,où,"Coincy, II Mir 22, v. 22",,<l n=&quot;22&quot;>
142,22,2,me,me,PRO:pers:obj:1:sg:unb,Prn,Prn$$,C/(e)\,me,"Coincy, II Mir 22, v. 22",,
143,22,3,norri,norri,VER:simp:3:sg,Vfin,Vfin,C/V\.'C/V\,nourrir,"Coincy, II Mir 22, v. 22",,
144,22,4,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 22",,
145,22,5,ses,ses,DET:poss:obj:masc:pl,Det,Det,C/V\,son,"Coincy, II Mir 22, v. 22",,
146,22,6,poissonz,poissonz,NOM:obj:masc:pl,N,N,C/V\.'C/V\,poisson,"Coincy, II Mir 22, v. 22",</l>,
147,23,1,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 23",,<l n=&quot;23&quot;>
148,23,2,ses,ses,DET:poss:obj:masc:pl,Det,Det,C/V\,son,"Coincy, II Mir 22, v. 23",,
149,23,3,flaons,flaons,NOM:obj:masc:pl,N,N,C/(V)\.'/V\,flan,"Coincy, II Mir 22, v. 23",,
150,23,4,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 23",,
151,23,5,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 23",,
152,23,6,ses,ses,DET:poss:obj:femi:pl,Det,Det,C/V\,son,"Coincy, II Mir 22, v. 23",,
153,23,7,miches,miches,NOM:obj:femi:pl,N,N,'C/V\.C/e\,miche,"Coincy, II Mir 22, v. 23",</l>,
154,24,1,mes,mes,DET:poss:suj:masc:sg,Det,Det,C/V\,mon,"Coincy, II Mir 22, v. 24",,<l n=&quot;24&quot;>
155,24,2,sires,sires,NOM:suj:masc:sg,N,N,'C/V\.C/e\,sire,"Coincy, II Mir 22, v. 24",,
156,24,3,sains,sains,ADJ:suj:masc:sg,Adj,Adj,C/V\,saint,"Coincy, II Mir 22, v. 24",,
157,24,4,maars,maars,NPR:suj:masc:sg,N,N,C/(V)\.'/V\,Marc,"Coincy, II Mir 22, v. 24",,
158,24,5,li,li,DET:def:suj:masc:sg,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 24",,
159,24,6,riches,riches,ADJ:suj:masc:sg,Adj,Adj,'C/V\.C/e\,riche,"Coincy, II Mir 22, v. 24",</l>,
160,25,1,quant,quant,ADV,Sub,Sub,C/V\,quand,"Coincy, II Mir 22, v. 25",,<l n=&quot;25&quot;>
161,25,2,a,a,PRE,Pre,Pre,/V\,à,"Coincy, II Mir 22, v. 25",,
162,25,3,soissons,soissons,NPR:obj:masc:sg,N,N,C/V\.'C/V\,Soissons,"Coincy, II Mir 22, v. 25",,
163,25,4,tant,tant,DET:ind:suj:femi:pl,QIs,QIs,C/V\,tant,"Coincy, II Mir 22, v. 25",,
164,25,5,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 25",,
165,25,6,gens,gens,NOM:suj:femi:pl,N,N,C/V\,gent,"Coincy, II Mir 22, v. 25",,
166,25,7,vinrent,vinrent,VER:simp:3:pl,Vfin,Vfin,'C/V\.C/e\,venir,"Coincy, II Mir 22, v. 25",</l>,
167,26,1,as,as,PREDET:a:obj:masc:pl,Pre+Det,Pre+Det,/V\,à.le,"Coincy, II Mir 22, v. 26",,<l n=&quot;26&quot;>
168,26,2,granz,granz,ADJ:obj:masc:pl,Adj,Adj,C/V\,grand,"Coincy, II Mir 22, v. 26",,
169,26,3,miracles,miracles,NOM:obj:masc:pl,N,N,C/V\.'C/V\.C/e\,miracle,"Coincy, II Mir 22, v. 26",,
170,26,4,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 26",,
171,26,5,avinrent,avinrent,VER:simp:3:pl,Vfin,Vfin,/V\.'C/V\.C/e\,avenir,"Coincy, II Mir 22, v. 26",</l>,
172,27,1,au,au,PREDET:a:obj:masc:sg,Pre+Det,Pre+Det,/V\,à.le,"Coincy, II Mir 22, v. 27",,<l n=&quot;27&quot;>
173,27,2,saint,saint,ADJ:obj:masc:sg,Adj,Adj,C/V\,saint,"Coincy, II Mir 22, v. 27",,
174,27,3,soller,soller,NOM:obj:masc:sg,N,N,C/V\.'C/V\,soulier,"Coincy, II Mir 22, v. 27",,
175,27,4,la,la,DET:def:obj:femi:sg,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 27",,
176,27,5,bele,bele,ADJ:obj:femi:sg,Adj,Adj,'C/V\.C/(e)\,beau,"Coincy, II Mir 22, v. 27",,
177,27,6,dame,dame,NOM:obj:femi:sg,N,N,'C/V\.C/(e)\,dame,"Coincy, II Mir 22, v. 27",</l>,
178,28,1,de,de,PRE,Pre,Pre,C/(e)\,de,"Coincy, II Mir 22, v. 28",,<l n=&quot;28&quot;>
179,28,2,vaus,vaus,NPR:obj:masc:sg,N,N,C/V\,Vaux,"Coincy, II Mir 22, v. 28",,
180,28,3,une,une,DET:ndf:suj:femi:sg,QIs,QIs,'/V\.C/(e)\,un,"Coincy, II Mir 22, v. 28",,
181,28,4,mout,mout,ADV,QIs,QIs,C/V\,moult,"Coincy, II Mir 22, v. 28",,
182,28,5,povre,povre,ADJ:suj:femi:sg,Adj,Adj,'C/V\.C/(e)\,pauvre,"Coincy, II Mir 22, v. 28",,
183,28,6,fame,fame,NOM:suj:femi:sg,N,N,'C/V\.C/(e)\,femme,"Coincy, II Mir 22, v. 28",</l>,
184,29,1,i,i,PRO:clit,Prn,Prn$$,/V\,y,"Coincy, II Mir 22, v. 29",,<l n=&quot;29&quot;>
185,29,2,aporta,aporta,VER:simp:3:sg,Vfin,Vfin,/V\.C/V\.'C/V\,apporter,"Coincy, II Mir 22, v. 29",,
186,29,3,un,un,DET:ndf:obj:masc:sg,QIs,QIs,/V\,un,"Coincy, II Mir 22, v. 29",,
187,29,4,sien,sien,ADJ:poss:obj:masc:sg,Adj,Adj,C/V\,son,"Coincy, II Mir 22, v. 29",,
188,29,5,enfant,enfant,NOM:obj:masc:sg,N,N,/V\.'C/V\,enfant,"Coincy, II Mir 22, v. 29",</l>,
189,30,1,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 30",,<l n=&quot;30&quot;>
190,30,2,maladie,maladie,NOM:obj:femi:sg,N,N,C/V\.C/V\.'C/V\./(e)\,maladie,"Coincy, II Mir 22, v. 30",,
191,30,3,avoit,avoit,VER:impf:3:sg,Vfin,Vfin,/V\.'C/V\,avoir,"Coincy, II Mir 22, v. 30",,
192,30,4,si,si,PROCON,Adv,Adv,C/V\,si,"Coincy, II Mir 22, v. 30",,
193,30,5,grant,grant,ADJ:obj:femi:sg,Adj,Adj,C/V\,grand,"Coincy, II Mir 22, v. 30",</l>,
194,31,1,que,que,PROCON,Sub,Sub,C/(e)\,que,"Coincy, II Mir 22, v. 31",,<l n=&quot;31&quot;>
195,31,2,feuz,feuz,NOM:suj:masc:sg,N,N,C/V\,feu,"Coincy, II Mir 22, v. 31",,
196,31,3,d',d',PRE,Pre,Pre,C/\,de,"Coincy, II Mir 22, v. 31",,
197,31,4,enfer,enfer,NOM:obj:masc:sg,N,N,/V\.'C/V\,enfer,"Coincy, II Mir 22, v. 31",,
198,31,5,ses,ses,DET:poss:obj:masc:pl,Det,Det,C/V\,son,"Coincy, II Mir 22, v. 31",,
199,31,6,piez,piez,NOM:obj:masc:pl,N,N,C/V\,pied,"Coincy, II Mir 22, v. 31",,
200,31,7,ardoit,ardoit,VER:impf:3:sg,Vfin,Vfin,/V\.'C/V\,ardre,"Coincy, II Mir 22, v. 31",</l>,
201,32,1,cil,cil,DET:demo:suj:masc:sg,Dem,Dem,C/V\,cil,"Coincy, II Mir 22, v. 32",,<l n=&quot;32&quot;>
202,32,2,enfes,enfes,NOM:suj:masc:sg,N,N,'/V\.C/e\,enfant,"Coincy, II Mir 22, v. 32",,
203,32,3,les,les,DET:def:obj:masc:pl,Det,Det,C/V\,le,"Coincy, II Mir 22, v. 32",,
204,32,4,porcialz,porcialz,NOM:obj:masc:pl,N,N,C/V\.'C/V\,pourceau,"Coincy, II Mir 22, v. 32",,
205,32,5,gardoit,gardoit,VER:impf:3:sg,Vfin,Vfin,C/V\.'C/V\,garder,"Coincy, II Mir 22, v. 32",</l>,
206,33,1,en,en,PRO:clit,Pre,Pre,/V\,en,"Coincy, II Mir 22, v. 33",,<l n=&quot;33&quot;>
207,33,2,vax,vax,NPR:obj:masc:sg,N,N,C/V\,Vaux,"Coincy, II Mir 22, v. 33",,
208,33,3,qui,qui,PROCON,Qux,Qux,C/V\,qui,"Coincy, II Mir 22, v. 33",,
209,33,4,est,est,VER:pres:3:sg,Vfin,Vfin,/V\,être,"Coincy, II Mir 22, v. 33",,
210,33,5,soz,soz,PRE,PrA,PrA,C/V\,sous,"Coincy, II Mir 22, v. 33",,
211,33,6,gonfroicort,gonfroicort,NPR:obj:masc:sg,N,N,C/V\.C/V\.'C/V\,Confrécourt,"Coincy, II Mir 22, v. 33",</l>,
212,34,1,lés,lés,PRE,Pre,Pre,C/V\,lez,"Coincy, II Mir 22, v. 34",,<l n=&quot;34&quot;>
213,34,2,fontenoi,fontenoi,NPR:obj:masc:sg,N,N,C/V\.C/e\.'C/V\,Fontenoy,"Coincy, II Mir 22, v. 34",,
214,34,3,ou,ou,PROCON,Qux,Qux,/V\,où,"Coincy, II Mir 22, v. 34",,
215,34,4,aisne,aisne,NPR:suj:masc:sg,N,N,'/V\.C/(e)\,Aisne,"Coincy, II Mir 22, v. 34",,
