wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2074,Neroneux,neroneux,ADJ,623,N,N,,C/V\.C/V\.'C/V\,PROPN,Neronel,-10
2075,!,!,PON,623,Pnc,Pnc,,,PUNCT,!,9
2076,A,a,PRE,624,Pre,Pre,à,/V\,ADP,à,10
2077,cevalier,cevalier,NOM,624,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
2078,que,que,PROCON,624,Qux,Qux,que,C/(e)\,PRON,que,10
2079,je,je,PRO:pers,624,Prn,Prn$,je,C/(e)\,PRON,je,10
2080,abate,abate,VER,624,Vfin,Vfin,abbattre,/V\.'C/V\.C/(e)\,VERB,abbattre,10
2081,en,en,PRE,624,Pre,Pre,en,/V\,ADP,en,10
2082,tel,tel,ADJ,624,Adj,Adj,tel,C/V\,ADJ,tel,10
2083,maniere,maniere,NOM,624,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8
2084,en,en,PRE,624,Pre,Pre,en,/V\,ADP,en,10
2085,cestui,cestui,DET:demo,624,Dem,Dem,cist,C/V\.'C/V\,DET,cist,10
2086,point,point,NOM,625,N,N,,C/V\,NOUN,point,8
2087,ne,ne,PRO:clit,625,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2088,me,me,PRO:pers,625,Prn,Prn$$,me,C/(e)\,PRON,me,10
2089,combatroie,combatroie,VER,625,Vfin,Vfin,combattre,C/V\.C/V\.'C/V\./(e)\,VERB,combattre,10
2090,je,je,PRO:pers,625,Prn,Prn%,je,C/(e)\,PRON,je,10
2091,en,en,PRE,625,Pre,Pre,en,/V\,ADP,en,10
2092,nule,nule,DET:ind,625,QIs,QIs,nul,'C/V\.C/(e)\,DET,nul,10
2093,guise,guise,NOM,625,N,N,,'C/V\.C/(e)\,NOUN,guise,8
2094,.,.,PON,625,Pnc,Pnc,,,PUNCT,.,9
2095,La,la,DET:def,625,Det,Det,le,C/V\,DET,le,10
2096,coustume,coustume,NOM,625,N,N,,C/V\.'C/V\.C/(e)\,NOUN,coutume,9
2097,de,de,PRE,625,Pre,Pre,de,C/(e)\,ADP,de,10
2098,cest,cest,DET:demo,626,Dem,Dem,cist,C/V\,DET,cist,10
2099,pont,pont,NOM,626,N,N,,C/V\,NOUN,pont,8
2100,est,est,VER,626,Vfin,Vfin,être,/V\,VERB,être,10
2101,tele,tele,ADJ,626,Adj,Adj,tel,'C/V\.C/(e)\,ADJ,tel,10
2102,que,que,PROCON,626,Sub,Sub,que,C/(e)\,SCONJ,que,10
2103,s',s',PRO:pers,626,Sub,Sub,si3,C/\,SCONJ,si,10
2104,il,il,PRO:pers,626,Prn,Prn$,il,/V\,PRON,il,10
2105,avenoit,avenoit,VER,626,Vfin,Vfin,avenir,/V\.C/e\.'C/V\,VERB,avenir,10
2106,par,par,PRE,626,Pre,Pre,par,C/V\,ADP,par,10
2107,aucune,aucune,DET:ind,626,QIs,QIs,aucun,/V\.'C/V\.C/(e)\,DET,aucun,10
2108,aventure,aventure,NOM,626,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8
2109,que,que,PROCON,626,Sub,Sub,que,C/(e)\,SCONJ,que,10
2110,nous,nous,PRO:pers,627,Prn,Prn$,nous,C/V\,PRON,nous,10
2111,nous,nous,PRO:pers,627,Prn,Prn$$,nous,C/V\,PRON,nous,10
2112,entrabatissom,entrabatissom,VER,627,Vfin,Vfin,,/V\.C/e\.C/V\.C/V\.'C/V\,VERB,entrabattre,0
2113,ensamble,ensamble,ADV,627,Adv,Adv,ensemble,/V\.'C/V\.C/(e)\,ADV,ensemble,10
2114,",",",",PON,627,Pnc,Pnc,,,PUNCT,",",9
2115,dont,dont,PRO:invar,627,Adv,Adv,donc,C/V\,ADV,donc,10
2116,i,i,PRO:clit,627,Prn,Prn$$,y2,/V\,PRON,y,10
2117,seroit,seroit,VER,627,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
2118,la,la,DET:def,627,Det,Det,le,C/V\,DET,le,10
2119,bataille,bataille,NOM,628,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
2120,",",",",PON,628,Pnc,Pnc,,,PUNCT,",",9
2121,s',s',PRO:pers,628,Sub,Sub,si3,C/\,SCONJ,si,10
2122,il,il,PRO:pers,628,Prn,Prn$,il,/V\,PRON,il,10
2123,voloit,voloit,VER,628,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
2124,;,;,PON,628,Pnc,Pnc,,,PUNCT,;,9
2125,mais,mais,CON:coord,628,Crd,Crd,mais,C/V\,CCONJ,mais,10
2126,autrement,autrement,ADV,628,Adv,Adv,,/V\.C/e\.'C/V\,ADV,autrement,9
2127,",",",",PON,628,Pnc,Pnc,,,PUNCT,",",9
2128,non,non,NOM,628,NVP,NVP,non,C/V\,ADV,non,10
2129,",",",",PON,628,Pnc,Pnc,,,PUNCT,",",9
2130,che,che,PRO:invar,628,Prn,Prn,ce,C/(e)\,PRON,ce,10
2131,saciés,saciés,VER,628,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10
2132,.,.,PON,628,Pnc,Pnc,,,PUNCT,.,9
2133,»,»,PON:cit,628,Pnc,Pnc,,,PUNCT,»,9
2134,Quant,quant,ADV,629,Sub,Sub,quand,C/V\,SCONJ,quand,10
2135,li,li,DET:def,629,Det,Det,le,C/V\,DET,le,10
2136,doi,doi,ADJ:card,629,QIs,QIs,deux,C/V\,NUM,deux,10
2137,compaingnon,compaingnon,NOM,629,N,N,,C/V\.C/V\.'C/V\,NOUN,compagnon,9
2138,oent,oent,VER,629,Vfin,Vfin,ouïr,'/V\./e\,VERB,ouïr,10
2139,cest,cest,DET:demo,629,Dem,Dem,cist,C/V\,DET,cist,10
2140,parlement,parlement,NOM,629,N,N,,C/V\.C/e\.'C/V\,NOUN,parlement,9
2141,",",",",PON,629,Pnc,Pnc,,,PUNCT,",",9
2142,por,por,PRE,629,Pre,Pre,pour,C/V\,ADP,pour,10
2143,ce,ce,PRO:invar,629,Prn,Prn,ce,C/(e)\,PRON,ce,10
2144,k',k',PROCON,630,Sub,Sub,que,C/\,SCONJ,que,10
2145,il,il,PRO:pers,630,Prn,Prn$,il,/V\,PRON,il,10
2146,sevent,sevent,VER,630,Vfin,Vfin,savoir,'C/V\.C/e\,VERB,savoir,10
