wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
152,26,3,de,de,2626,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
153,26,4,guenelon,guenelon,2626,N,N,,7s,---,C/V\.C/e\.'C/V\,NOUN,ganelon,-10
154,26,5,:,:,2626,Pnc,Pnc,,7s,---,,PUNCT,:,9
155,27,1,autres,autres,2627,Adj,Adj,autre,7s,---,'/V\.C/e\,ADJ,autre,10
156,27,2,got,got,2627,Vfin,Vfin,jouir,7s,---,C/V\,VERB,jouir,10
157,27,3,dont,dont,2627,Qux,Qux,dont,7s,---,C/V\,PRON,dont,10
158,27,4,j',j',2627,Prn,Prn$,je,7s,---,C/\,PRON,je,10
159,27,5,ai,ai,2627,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
160,27,6,famine,famine,2627,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,famine,9
161,27,7,.,.,2627,Pnc,Pnc,,7s,---,,PUNCT,.,9
162,28,1,he,he,2628,Exc,Exc,,7s,---,C/V\,INTJ,hé,8
163,28,2,!,!,2628,Pnc,Pnc,,7s,---,,PUNCT,!,9
164,28,3,las,las,2628,Adj,Adj,las,7s,---,C/V\,ADJ,las,10
165,28,4,",",",",2628,Pnc,Pnc,,7s,---,,PUNCT,",",9
166,28,5,j',j',2628,Prn,Prn$,je,7s,---,C/\,PRON,je,10
167,28,6,ai,ai,2628,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
168,28,7,a,a,2628,Pre,Pre,à,7s,---,/V\,ADP,à,10
169,28,8,boune,boune,2628,Adj,Adj,bon,7s,---,'C/V\.C/(e)\,ADJ,bon,10
170,28,9,estrine,estrine,2628,N,N,,7s,---,/V\.'C/V\.C/(e)\,NOUN,étrenne,5
171,29,1,le,le,2629,Det,Det,le,7s,---,C/(e)\,DET,le,10
172,29,2,cunkiét,cunkiét,2629,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,conché,-10
173,29,3,du,du,2629,Pre+Det,Pre+Det,de.le,7s,---,C/V\,ADP.DET,de.le,10
174,29,4,baston,baston,2629,N,N,,7s,---,C/V\.'C/V\,NOUN,bâton,9
175,29,5,",",",",2629,Pnc,Pnc,,7s,---,,PUNCT,",",9
176,30,1,quant,quant,2630,Sub,Sub,quand,7s,---,C/V\,SCONJ,quand,10
177,30,2,je,je,2630,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
178,30,3,vous,vous,2630,Prn,Prn$$,vous,7s,---,C/V\,PRON,vous,10
179,30,4,di,di,2630,Vfin,Vfin,dire,7s,---,C/V\,VERB,dire,10
180,30,5,a,a,2630,Pre,Pre,à,7s,---,/V\,ADP,à,10
181,30,6,bandon,bandon,2630,N,N,,7s,---,C/V\.'C/V\,NOUN,bandon,9
182,31,1,de,de,2631,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
183,31,2,men,men,2631,Det,Det,mon,7s,---,C/V\,DET,mon,10
184,31,3,cuer,cuer,2631,N,N,,7s,---,C/V\,NOUN,coeur,3
185,31,4,tout,tout,2631,QIs,QIs,tout,7s,---,C/V\,DET,tout,10
186,31,5,le,le,2631,Det,Det,le,7s,---,C/(e)\,DET,le,10
187,31,6,couvine,couvine,2631,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,convine,9
188,32,1,pour,pour,2632,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
