wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2719,301,7,ne,ne,PRO:clit,301,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2720,301,8,fuissent,fuissent,VER:subi:3:pl,301,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
2721,301,9,turnét,turnét,VER:pper:masc:sg,301,Vpp,Vpp,tourner,C/V\.'C/V\,VERB,tourner,10
2722,302,1,sont,sont,VER:pres:3:pl,302,Vfin,Vfin,être,C/V\,VERB,être,10
2723,302,2,repairiét,repairiét,VER:pper:masc:sg,302,Vpp,Vpp,répairer,C/V\.C/V\.'C/V\,VERB,répairer,10
2724,302,3,a,a,PRE,302,Pre,Pre,à,/V\,ADP,à,10
2725,302,4,rome,rome,NPR:obj:masc:sg,302,N,N,,'C/V\.C/(e)\,NOUN,Rome,5
2726,302,5,tot,tot,PRO:ind:obj:masc:sg,302,QIs,QIs,tout,C/V\,ADV,tout,10
2727,302,6,confus,confus,ADJ:suj:masc:pl,302,Adj,Adj,,C/V\.'C/V\,ADJ,confus,8
2728,302,7,et,et,CON:coord,302,Crd,Crd,et,/V\,CCONJ,et,10
2729,302,8,lasseit,lasseit,VER:pper:masc:sg,302,Vpp,Vpp,lasser,C/V\.'C/V\,VERB,lasser,10
2730,303,1,content,content,VER:pres:3:pl,303,Vfin,Vfin,conter,C/V\.'C/V\,VERB,conter,10
2731,303,2,a,a,PRE,303,Pre,Pre,à,/V\,ADP,à,10
2732,303,3,lor,lor,DET:poss:obj:masc:sg,303,Det,Det,leur2,C/V\,DET,leur,10
2733,303,4,sanior,sanior,NOM:obj:masc:sg,303,N,N,,C/V\.'C/V\,NOUN,seigneur,0
2734,303,5,tot,tot,PRO:ind:obj:masc:sg,303,QIs,QIs,tout,C/V\,ADV,tout,10
2735,303,6,cum,cum,CON:subord,303,Sub,Sub,comme,C/V\,SCONJ,comme,10
2736,303,7,il,il,PRO:pers:suj:3:masc:pl,303,Prn,Prn$,il,/V\,PRON,il,10
2737,303,8,ont,ont,VER:pres:3:pl,303,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2738,303,9,aleit,aleit,VER:pper:masc:sg,303,Vpp,Vpp,aller,/V\.'C/V\,VERB,aller,10
2739,304,1,et,et,CON:coord,304,Crd,Crd,et,/V\,CCONJ,et,10
2740,304,2,cercie,cercie,VER:pper:masc:sg,304,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,chercher,0
2741,304,3,la,la,DET:def:obj:femi:sg,304,Det,Det,le,C/V\,DET,le,10
2742,304,4,terre,terre,NOM:obj:femi:sg,304,N,N,,'C/V\.C/(e)\,NOUN,terre,8
2743,304,5,et,et,CON:coord,304,Crd,Crd,et,/V\,CCONJ,et,10
2744,304,6,en,en,PRE,304,Pre,Pre,en,/V\,ADP,en,10
2745,304,7,lonc,lonc,ADJ:obj:masc:sg,304,Adj,Adj,long,C/V\,ADJ,long,10
2746,304,8,et,et,CON:coord,304,Crd,Crd,et,/V\,CCONJ,et,10
2747,304,9,en,en,PRE,304,Pre,Pre,en,/V\,ADP,en,10
2748,304,10,leit,leit,ADJ:obj:masc:sg,304,Adj,Adj,lé,C/V\,ADJ,lé,10
2749,305,1,frescik,frescik,CON:subord,305,PrA,PrA,frescique,C/V\.'C/V\,ADP|ADV,frescique,10
2750,305,2,en,en,PRE,305,Pre,Pre,en,/V\,ADP,en,10
2751,305,3,babilonie,babilonie,NPR:obj:femi:sg,305,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,Babylonie,2
2752,305,4,el,el,PREDET:en:obj:masc:sg,305,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
2753,305,5,regne,regne,NOM:obj:masc:sg,305,N,N,,'C/V\.C/(e)\,NOUN,règne,3
2754,305,6,desfaeit,desfaeit,VER:pper:masc:sg,305,Adj,Adj,,C/V\.C/(V)\.'/V\,ADJ,UNKNOWN,-10
2755,306,1,k,k,PROCON,306,Sub,Sub,que,C/\,SCONJ,que,10
2756,306,2,il,il,PRO:pers:suj:3:masc:sg:unb,306,Prn,Prn$,il,/V\,PRON,il,10
2757,306,3,n,n,PRO:clit,306,Neg,Neg$$,ne,C/\,ADV,ne,10
2758,306,4,i,i,PRO:clit,306,Prn,Prn$$,y2,/V\,PRON,y,10
2759,306,5,at,at,VER:pres:3:sg,306,Vfin,Vfin,avoir,/V\,VERB,avoir,10
2760,306,6,port,port,NOM:obj:masc:sg,306,N,N,,C/V\,NOUN,port,8
2761,306,7,de,de,PRE,306,Pre,Pre,de,C/(e)\,ADP,de,10
2762,306,8,meir,meir,NOM:obj:femi:sg,306,N,N,,C/V\,NOUN,maire,6
2763,306,9,ne,ne,PROCON,306,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
2764,306,10,pont,pont,NOM:obj:masc:sg,306,N,N,,C/V\,NOUN,pont,8
2765,306,11,sor,sor,PRE,306,PrA,PrA,sur,C/V\,ADP,sur,10
2766,306,12,flun,flun,NOM:obj:masc:sg,306,N,N,,C/V\,NOUN,flum,9
2767,306,13,leveit,leveit,VER:pper:masc:sg,306,Vpp,Vpp,lever,C/V\.'C/V\,VERB,lever,10
2768,307,1,n,n,PRO:clit,307,Neg,Neg$$,ne,C/\,ADV,ne,10
2769,307,2,en,en,PRO:clit,307,Prn,Prn$$,en2,/V\,PRON,en,10
2770,307,3,aient,aient,VER:subp:3:pl,307,Vfin,Vfin,avoir,'/V\./e\,VERB,avoir,10
2771,307,4,tot,tot,PRO:ind:obj:masc:sg,307,QIs,QIs,tout,C/V\,ADV,tout,10
2772,307,5,esquis,esquis,VER:pper:masc:sg,307,Vpp,Vpp,esquérir,/V\.'C/V\,VERB,esquérir,10
2773,307,6,solunc,solunc,PRE,307,PrA,PrA,selon,C/V\.'C/V\,ADP,selon,10
2774,307,7,lor,lor,DET:poss:obj:femi:sg,307,Det,Det,leur2,C/V\,DET,leur,10
2775,307,8,posteeit,posteeit,NOM:obj:femi:sg,307,N,N,,C/V\.C/(V)\.'/V\,NOUN,posté,-10
2776,308,1,ne,ne,PRO:clit,308,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2777,308,2,l,l,PRO:pers:obj:3:masc:sg:unb,308,Prn,Prn$$,le,C/\,PRON,le,10
2778,308,3,sevent,sevent,VER:pres:3:pl,308,Vfin,Vfin,savoir,'C/V\.C/e\,VERB,savoir,10
2779,308,4,mais,mais,CON:coord,308,Adv,Adv,mais,C/V\,ADV,mais,10
2780,308,5,u,u,PROCON,308,Qux,Qux,où,/V\,PRON,où,10
2781,308,6,querre,querre,VER:infi,308,Vinf,Vinf,quérir,'C/V\.C/(e)\,VERB,quérir,10
2782,308,7,tot,tot,PRO:ind:suj:masc:pl,308,QIs,QIs,tout,C/V\,ADV,tout,10
2783,308,8,en,en,PRO:clit,308,Prn,Prn$$,en2,/V\,PRON,en,10
2784,308,9,sunt,sunt,VER:pres:3:pl,308,Vfin,Vfin,être,C/V\,VERB,être,10
2785,308,10,despereit,despereit,VER:pper:masc:sg,308,Vpp,Vpp,,C/V\.C/e\.'C/V\,VERB,UNKNOWN,-10
