wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
32,6,6,tant,tant,ADV,6,QIs,QIs,tant,C/V\,ADV,tant,10
33,6,7,n,n,PRO:clit,6,Neg,Neg$$,ne,C/\,ADV,ne,10
34,6,8,iert,iert,VER:futu:3:sg,6,Vfin,Vfin,être,/V\,VERB,être,10
35,6,9,dure,dure,ADJ:suj:femi:sg,6,Adj,Adj,dur,'C/V\.C/(e)\,ADJ,dur,10
36,7,1,pour,pour,PRE,7,Pre,Pre,pour,C/V\,ADP,pour,10
37,7,2,quoi,quoi,PRO:invar,7,Qux,Qux,que,C/V\,PRON,que,10
38,7,3,il,il,PRO:pers:suj:3:masc:sg:unb,7,Prn,Prn$,il,/V\,PRON,il,10
39,7,4,ait,ait,VER:subp:3:sg,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10
40,7,5,entendement,entendement,NOM:obj:masc:sg,7,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,entendement,8
41,8,1,au,au,PREDET:a:obj:masc:sg,8,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
42,8,2,roi,roi,NOM:obj:masc:sg,8,N,N,,C/V\,NOUN,roi,8
43,8,3,del,del,PREDET:de:obj:masc:sg,8,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
44,8,4,ciel,ciel,NOM:obj:masc:sg,8,N,N,,C/V\,NOUN,ciel,8
45,8,5,omnipotent,omnipotent,ADJ:obj:masc:sg,8,Adj,Adj,,/V\.C/V\.C/V\.'C/V\,ADJ,omnipotent,9
46,9,1,la,la,DET:def:obj:femi:sg,9,Det,Det,le,C/V\,DET,le,10
47,9,2,lestreure,lestreure,NOM:obj:femi:sg,9,N,N,,C/V\.C/(V)\.'/V\.C/(e)\,NOUN,lestrure,-10
48,9,3,vous,vous,PRO:pers:2:pl,9,Prn,Prn$$,vous,C/V\,PRON,vous,10
49,9,4,ai,ai,VER:pres:1:sg,9,Vfin,Vfin,avoir,/V\,VERB,avoir,10
50,9,5,dite,dite,VER:pper:femi:sg,9,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
51,10,1,que,que,PROCON,10,Sub,Sub,que,C/(e)\,SCONJ,que,10
52,10,2,raconte,raconte,VER:pres:3:sg,10,Vfin,Vfin,raconter,C/V\.'C/V\.C/(e)\,VERB,raconter,10
53,10,3,l,l',DET:def:suj:masc:sg,10,Det,Det,le,C/\,DET,le,10
54,10,4,esvangelistre,esvangelistre,NOM:suj:masc:sg,10,N,N,,/V\.C/V\.C/e\.'C/V\.C/(e)\,NOUN,évangeliste,-10
55,11,1,mes,més,CON:subord,11,Crd,Crd,mais,C/V\,CCONJ,mais,10
56,11,2,ne,ne,PRO:clit,11,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
57,11,3,seusmes,seusmes,VER:simp:1:pl,11,Vfin,Vfin,savoir,C/(V)\.'/V\.C/e\,VERB,savoir,10
58,11,4,que,que,PROCON,11,Qux,Qux,que,C/(e)\,PRON,que,10
59,11,5,monta,monta,VER:simp:3:sg,11,Vfin,Vfin,monter,C/V\.'C/V\,VERB,monter,10
60,12,1,se,se,PROCON,12,Sub,Sub,si3,C/(e)\,SCONJ,si,10
61,12,2,bien,bien,ADV,12,Adv,Adv,bien,C/V\,ADV,bien,10
62,12,3,vous,vous,PRO:pers:2:pl,12,Prn,Prn$$,vous,C/V\,PRON,vous,10
63,12,4,plest,plest,VER:pres:3:sg,12,Vfin,Vfin,plaire,C/V\,VERB,plaire,10
64,12,5,si,si,PROCON,12,Adv,Adv,si4,C/V\,ADV,si,10
65,12,6,l,l',PRO:pers:obj:3:masc:sg:unb,12,Prn,Prn$$,le,C/\,PRON,le,10
66,12,7,orez,orez,VER:futu:2:pl,12,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
67,12,8,ja,ja,ADV,12,Adv,Adv,jà,C/V\,ADV,jà,10
68,13,1,la,la,DET:def:suj:femi:sg,13,Det,Det,le,C/V\,DET,le,10
