wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1101,omme,omme,NOM:suj:masc:sg,28,N,N,,'/V\.C/(e)\,NOUN,homme,9
1102,qui,qui,PROCON,28,Qux,Qux,qui,C/V\,PRON,qui,10
1103,a,a,VER:pres:3:sg,28,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1104,fait,fait,VER:pper:masc:sg,28,Vpp,Vpp,faire,C/V\,VERB,faire,10
1105,le,le,DET:def:obj:masc:sg,28,Det,Det,le,C/(e)\,DET,le,10
1106,pechie,pechié,NOM:obj:masc:sg,28,N,N,,C/V\.'C/V\,NOUN,péché,9
1107,mortel,mortel,ADJ:obj:masc:sg,28,Adj,Adj,,C/V\.'C/V\,ADJ,mortel,8
1108,meurt,meurt,VER:pres:3:sg,28,Vfin,Vfin,mourir,C/V\,VERB,mourir,10
1109,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1110,il,il,PRO:pers:suj:3:masc:sg:unb,28,Prn,Prn$,il,/V\,PRON,il,10
1111,ne,ne,PRO:clit,28,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1112,sceit,sceit,VER:pres:3:sg,28,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
1113,pas,pas,NOM:obj:masc:pl,28,Neg,Neg,pas,C/V\,ADV,pas,10
1114,ne,ne,PRO:clit,28,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1115,n,n,PRO:clit,28,Neg,Neg$$,ne,C/\,ADV,ne,10
1116,est,est,VER:pres:3:sg,28,Vfin,Vfin,être,/V\,VERB,être,10
1117,certeins,certeins,ADJ:suj:masc:sg,28,Adj,Adj,certain,C/V\.'C/V\,ADJ,certain,10
1118,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1119,il,il,PRO:pers:suj:3:masc:sg:unb,28,Prn,Prn$,il,/V\,PRON,il,10
1120,ait,ait,VER:subp:3:sg,28,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1121,eu,eu,VER:pper:masc:sg,28,Vpp,Vpp,avoir,/(V)\.'/V\,VERB,avoir,10
1122,repentance,repentance,NOM:obj:femi:sg,28,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,repentance,8
1123,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1124,dieu,dieu,NOM:suj:masc:sg,28,N,N,,C/V\,PROPN,Dieu,3
1125,li,li,PRO:pers:suj:3:masc:sg:bet,28,Prn,Prn$$,li,C/V\,PRON,li,10
1126,ait,ait,VER:subp:3:sg,28,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1127,pardonné,pardonné,VER:pper:masc:sg,28,Vpp,Vpp,pardonner,C/V\.C/V\.'C/V\,VERB,pardonner,10
1128,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1129,par,par,PRE,28,Pre,Pre,par,C/V\,ADP,par,10
1130,quoy,quoy,PRO:invar,28,Qux,Qux,que,C/V\,PRON,que,10
1131,grant,grant,ADJ:obj:femi:sg,28,Adj,Adj,grand,C/V\,ADJ,grand,10
1132,poour,poour,NOM:obj:femi:sg,28,N,N,,C/V\.'C/V\,NOUN,peur,8
1133,doit,doit,VER:pres:3:sg,28,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
1134,avoir,avoir,VER:infi,28,Vinf,Vinf,avoir,/V\.'C/V\,VERB,avoir,10
1135,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1136,celle,celle,DET:demo:suj:femi:sg,28,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
1137,mezelerie,mezelerie,NOM:suj:femi:sg,28,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,mésellerie,0
1138,li,li,PRO:pers:suj:3:masc:sg:bet,28,Prn,Prn$$,li,C/V\,PRON,li,10
1139,dure,dure,VER:subp:3:sg,28,Vfin,Vfin,durer,'C/V\.C/(e)\,VERB,durer,10
1140,tant,tant,ADV,28,QIs,QIs,tant,C/V\,ADV,tant,10
1141,comme,comme,CON:subord,28,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
1142,diex,diex,NOM:suj:masc:sg,28,N,N,,C/V\,NOUN,dieu,3
1143,yert,yert,VER:futu:3:sg,28,Vfin,Vfin,être,/V\,VERB,être,10
1144,en,en,PRO:clit,28,Pre,Pre,en,/V\,ADP,en,10
1145,paradis,paradis,NOM:obj:masc:sg,28,N,N,,C/V\.C/V\.'C/V\,NOUN,paradis,8
1146,.,.,PON,28,Pnc,Pnc,,,PUNCT,.,9
1147,si,si,PROCON,28,Adv,Adv,si4,C/V\,ADV,si,10
1148,vous,vous,PRO:pers:2:pl,28,Prn,Prn$$,vous,C/V\,PRON,vous,10
1149,pri,pri,VER:pres:1:sg,28,Vfin,Vfin,prier,C/V\,VERB,prier,10
1150,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1151,"""","""",PON:cit,28,Pnc,Pnc,,,PUNCT,"""",9
1152,fist,fist,VER:simp:3:sg,28,Vfin,Vfin,faire,C/V\,VERB,faire,10
1153,-,-,PON,28,Pnc,Pnc,,,PUNCT,-,9
1154,il,il,PRO:pers:suj:3:masc:sg:unb,28,Prn,Prn,il,/V\,PRON,il,10
