wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
126,22,5,per,per,22,PRE,Pre,Pre,par,C/V\,ADP,par,10
127,22,6,grant,grant,22,ADJ:obj:femi:sg,Adj,Adj,grand,C/V\,ADJ,grand,10
128,22,7,maistrise,maistrise,22,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,maîtrise,8
129,22,8,",",",",22,PON,Pnc,Pnc,,,PUNCT,",",9
130,23,1,la,la,23,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10
131,23,2,costume,costume,23,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,coutume,9
132,23,3,et,et,23,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
133,23,4,la,la,23,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10
134,23,5,bone,bone,23,ADJ:obj:femi:sg,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
135,23,6,vie,vie,23,NOM:obj:femi:sg,N,N,,'C/V\./(e)\,NOUN,vie,3
136,24,1,de,de,24,PRE,Pre,Pre,de,C/(e)\,ADP,de,10
137,24,2,l',l',24,DET:def:obj:femi:sg,Det,Det,le,C/\,DET,le,10
138,24,3,anciainne,anciainne,24,ADJ:obj:femi:sg,Adj,Adj,,/V\.C/{V}\.'/V\.C/(e)\,ADJ,ancien,0
139,24,4,chevalerie,chevalerie,24,NOM:obj:femi:sg,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,chevalerie,8
140,25,1,et,et,25,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
141,25,2,comant,comant,25,ADV,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
142,25,3,lon,lon,25,PRO:invar,Prn,Prn$,on,C/V\,PRON,on,10
143,25,4,doit,doit,25,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
144,25,5,sant,sant,25,NOM:obj:masc:sg,N,N,,C/V\,PROPN|NOUN,sentir,-1
145,25,6,doner,doner,25,VER:infi,Vinf,Vinf,donner,C/V\.'C/V\,VERB,donner,10
146,26,1,as,as,26,PREDET:a:obj:femi:pl,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
147,26,2,janz,janz,26,NOM:obj:femi:pl,N,N,,C/V\,NOUN,génant,-10
148,26,3,a,a,26,PRE,Pre,Pre,à,/V\,ADP,à,10
149,26,4,pie,pie,26,NOM:obj:masc:sg,N,N,,'C/V\./e\,NOUN,pied,3
150,26,5,",",",",26,PON,Pnc,Pnc,,,PUNCT,",",9
151,26,6,et,et,26,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
152,26,7,aux,aux,26,PRO:pers:acc:3:masc:pl:bet,Prn,Prn,eux,/V\,PRON,eux,10
153,26,8,ordoner,ordoner,26,VER:infi,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,ordonner,9
154,26,9,.,.,26,PON,Pnc,Pnc,,,PUNCT,.,9
155,27,1,li,li,27,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10
156,27,2,tiers,tiers,27,ADJ:ord:suj:masc:sg,Adj,Adj,tiers,C/V\,ADJ,tiers,10
157,27,3,livres,livres,27,NOM:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,livre,8
158,27,4,si,si,27,PROCON,Adv,Adv,si4,C/V\,ADV,si,10
159,27,5,nos,nos,27,PRO:pers:1:pl,Prn,Prn$$,nous,C/V\,PRON,nous,10
160,27,6,espont,espont,27,VER:pres:3:sg,Vfin,Vfin,espondre,/V\.'C/V\,VERB,espondre,10
161,27,7,",",",",27,PON,Pnc,Pnc,,,PUNCT,",",9
162,28,1,qui,qui,28,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10
163,28,2,point,point,28,NOM:obj:masc:sg,Neg,Neg,point2,C/V\,ADV,point,10
164,28,3,de,de,28,PRE,Pre,Pre,de,C/(e)\,ADP,de,10
165,28,4,fauble,fauble,28,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,fauble,-10
166,28,5,n,n,28,PRO:clit,Neg,Neg$$,ne,C/\,ADV,ne,10
167,28,6,i,i,28,PRO:clit,Prn,Prn$$,y2,/V\,PRON,y,10
168,28,7,apont,apont,28,VER:pres:3:sg,Vfin,Vfin,appondre,/V\.'C/V\,VERB,appondre,10
169,28,8,",",",",28,PON,Pnc,Pnc,,,PUNCT,",",9
170,29,1,las,las,29,DET:def:obj:masc:pl,Det,Det,le,C/V\,DET,le,10
171,29,2,ars,ars,29,NOM:obj:masc:pl,N,N,,/V\,NOUN,arc,3
172,29,3,",",",",29,PON,Pnc,Pnc,,,PUNCT,",",9
173,29,4,las,las,29,DET:def:obj:femi:pl,Det,Det,le,C/V\,DET,le,10
174,29,5,choses,choses,29,NOM:obj:femi:pl,N,N,,'C/V\.C/e\,NOUN,chose,8
175,29,6,covenaubles,covenaubles,29,ADJ:obj:femi:pl,Adj,Adj,,C/V\.C/e\.'C/V\.C/e\,ADJ,convenable,0
176,30,1,qui,qui,30,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10
177,30,2,sont,sont,30,VER:pres:3:pl,Vfin,Vfin,être,C/V\,VERB,être,10
178,30,3,bones,bones,30,ADJ:suj:femi:pl,Adj,Adj,bon,'C/V\.C/e\,ADJ,bon,10
179,30,4,et,et,30,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
