wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
175,28,1,maiz,maiz,628,Crd,Crd,mais,7s,---,C/V\,CCONJ,mais,10
176,28,2,pluz,pluz,628,Adv,Adv,plus,7s,---,C/V\,ADV,plus,10
177,28,3,m',m',628,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
178,28,4,a,a,628,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
179,28,5,joie,joie,628,N,N,,7s,---,'C/V\./(e)\,NOUN,joie,8
180,28,6,dounee,dounee,628,Vpp,Vpp,donner,7s,---,C/V\.'C/V\./e\,VERB,donner,10
181,29,1,que,que,629,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
182,29,2,li,li,629,Det,Det,le,7s,---,C/V\,DET,le,10
183,29,3,meemëz,meemëz,629,N,Adj,même,7s,---,C/(V)\.'/V\.C/e\,NOUN,même,10
184,29,4,doné,doné,629,Vpp,Vpp,donner,7s,---,C/V\.'C/V\,VERB,donner,10
185,30,1,et,et,630,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
186,30,2,ma,ma,630,Det,Det,mon,7s,---,C/V\,DET,mon,10
187,30,3,dame,dame,630,N,N,,7s,---,'C/V\.C/(e)\,NOUN,dame,8
188,30,4,pluz,pluz,630,Adv,Adv,plus,7s,---,C/V\,ADV,plus,10
189,30,5,biauté,biauté,630,N,N,,7s,---,C/V\.'C/V\,NOUN,beauté,9
190,30,6,.,.,630,Pnc,Pnc,,7s,---,,PUNCT,.,9
191,31,1,doucement,doucement,631,Adv,Adv,,7s,---,C/V\.C/e\.'C/V\,ADV,doucement,9
192,31,2,fu,fu,631,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
193,31,3,comperee,comperee,631,Vpp,Vpp,comparer,7s,---,C/V\.C/e\.'C/V\./e\,VERB,comparer,10
194,32,1,l',l',632,Det,Det,le,7s,---,C/\,DET,le,10
195,32,2,amours,amours,632,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
196,32,3,u,u,632,Qux,Qux,où,7s,---,/V\,PRON,où,10
197,32,4,j',j',632,Prn,Prn$,je,7s,---,C/\,PRON,je,10
198,32,5,ai,ai,632,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
199,32,6,tant,tant,632,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
200,32,7,pensé,pensé,632,Vpp,Vpp,penser,7s,---,C/V\.'C/V\,VERB,penser,10
201,32,8,.,.,632,Pnc,Pnc,,7s,---,,PUNCT,.,9
202,33,1,bien,bien,633,Adv,Adv,bien,7s,---,C/V\,ADV,bien,10
