wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1439,?,?,1027,Pnc,Pnc,,,PUNCT,?,9
1440,il,il,1027,Prn,Prn$,il,/V\,PRON,il,10
1441,est,est,1027,Vfin,Vfin,être,/V\,VERB,être,10
1442,sy,sy,1027,Adv,Adv,si4,C/V\,ADV,si,10
1443,bon,bon,1027,Adj,Adj,bon,C/V\,ADJ,bon,10
1444,filz,filz,1027,N,N,,C/V\,NOUN,fils,3
1445,!,!,1027,Pnc,Pnc,,,PUNCT,!,9
1446,»,»,1027,Pnc,Pnc,,,PUNCT,»,9
1447,Et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1448,endementiers,endementiers,1027,Adv,Adv,,/V\.C/e\.C/V\.'C/V\,ADV,endementiers,9
1449,que,que,1027,Sub,Sub,que,C/(e)\,SCONJ,que,10
1450,ces,ces,1027,Dem,Dem,cist,C/V\,DET,cist,10
1451,parolles,parolles,1027,N,N,,C/V\.'C/V\.C/e\,NOUN,parole,8
1452,estoient,estoient,1027,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
1453,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1454,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1455,en,en,1027,Pre,Pre,en,/V\,ADP,en,10
1456,sa,sa,1027,Det,Det,son4,C/V\,DET,son,10
1457,chambre,chambre,1027,N,N,,'C/V\.C/(e)\,NOUN,chambre,8
1458,entra,entra,1027,Vfin,Vfin,entrer,/V\.'C/V\,VERB,entrer,10
1459,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1460,Alors,alors,1027,Adv,Adv,alors,/V\.'C/V\,ADV,alors,10
1461,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1462,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1463,tous,tous,1027,QIs,QIs,tout,C/V\,DET,tout,10
1464,ses,ses,1027,Det,Det,son4,C/V\,DET,son,10
1465,gens,gens,1027,N,N,,C/V\,NOUN,gent,11
1466,:,:,1027,Pnc,Pnc,,,PUNCT,:,9
1467,«,«,1027,Pnc,Pnc,,,PUNCT,«,9
1468,Allez,allez,1027,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
1469,vous,vous,1027,Prn,Prn%%,vous,C/V\,PRON,vous,10
1470,en,en,1027,Prn,Prn,en2,/V\,PRON,en,10
1471,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
