wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1754,que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10
1755,nulz,nulz,10,QIs,QIs,nul,C/V\,PRON,nul,10
1756,ne,ne,10,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1757,peüst,peust,10,Vfin,Vfin,pouvoir2,C/(V)\.'/V\,VERB,pouvoir,10
1758,avoir,avoir,10,Vinf,Vinf,avoir,/V\.'C/V\,VERB,avoir,10
1759,greig_n_eur,greigneur,10,Adj,Adj,graindre,C/V\.'C/V\,ADJ,graindre,10
1760,de,de,10,Pre,Pre,de,C/(e)\,ADP,de,10
1761,lui,lui,10,Prn,Prn,lui,C/V\,PRON,lui,10
1762,;,;,10,Pnc,Pnc,,,PUNCT,;,9
1763,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1764,fu,fu,10,Vfin,Vfin,être,C/V\,VERB,être,10
1765,transmuee,transmuee,10,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\,VERB,transmuer,9
1766,toute,toute,10,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
1767,leur,leur,10,Det,Det,leur2,C/V\,DET,leur,10
1768,tristesse,tristesse,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,tristesse,9
1769,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1770,leur,leur,10,Det,Det,leur2,C/V\,DET,leur,10
1771,ennuy,ennuy,10,N,N,,/V\.'C/V\,NOUN,ennui,8
1772,en,en,10,Pre,Pre,en,/V\,ADP,en,10
1773,feste,feste,10,N,N,,'C/V\.C/(e)\,NOUN,fête,3
1774,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1775,en,en,10,Pre,Pre,en,/V\,ADP,en,10
1776,lesse,lesse,10,N,N,,'C/V\.C/(e)\,NOUN,lesse,5
1777,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1778,ne,ne,10,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1779,l',l',10,Det,Det,le,C/\,DET,le,10
1780,en,en,10,Prn,Prn$,on,/V\,PRON,on,10
1781,ne,ne,10,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1782,vous,vous,10,Prn,Prn$$,vous,C/V\,PRON,vous,10
1783,savroit,savroit,10,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10
1784,dire,dire,10,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10
1785,ne,ne,10,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1786,raconter,raconter,10,Vinf,Vinf,raconter,C/V\.C/V\.'C/V\,VERB,raconter,10
1787,le,le,10,Det,Det,le,C/(e)\,DET,le,10
1788,jeu,jeu,10,N,N,,C/V\,NOUN,jeu,8
1789,ne,ne,10,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1790,l',l',10,Det,Det,le,C/\,DET,le,10
1791,esbatement,esbatement,10,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,ébattement,9
1792,qui,qui,10,Qux,Qux,qui,C/V\,PRON,qui,10
1793,fu,fu,10,Vfin,Vfin,être,C/V\,VERB,être,10
1794,fait,fait,10,Vpp,Vpp,faire,C/V\,VERB,faire,10
1795,pour,pour,10,Pre,Pre,pour,C/V\,ADP,pour,10
1796,la,la,10,Det,Det,le,C/V\,DET,le,10
1797,nouvelle,nouvelle,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,nouvelle,3
1798,de,de,10,Pre,Pre,de,C/(e)\,ADP,de,10
1799,l',l',10,Det,Det,le,C/\,DET,le,10
1800,enfant,enfant,10,N,N,,/V\.'C/V\,NOUN,enfant,3
1801,.,.,10,Pnc,Pnc,,,PUNCT,.,9
1802,Et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1803,quant,quant,10,Sub,Sub,quand,C/V\,SCONJ,quand,10
1804,le,le,10,Det,Det,le,C/(e)\,DET,le,10
