wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
86,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
87,tenoit,tenoit,VER:impf:3:sg,5,152,Vfin,Vfin,tenir,C/V\.'C/V\,VERB,tenir,10
88,en,en,PRO:clit,5,152,Pre,Pre,en,/V\,ADP,en,10
89,sa,sa,DET:poss:obj:femi:sg,5,152,Det,Det,son4,C/V\,DET,son,10
90,main,main,NOM:obj:femi:sg,5,152,N,N,,C/V\,NOUN,main,8
91,de,de,PRE,5,152,Pre,Pre,de,C/(e)\,ADP,de,10
92,pie,pié,NOM:obj:masc:sg,5,152,N,N,,C/V\,NOUN,pied,3
93,et,et,CON:coord,5,152,Crd,Crd,et,/V\,CCONJ,et,10
94,demi,demi,ADJ:obj:masc:sg,5,152,Adj,Adj,demi,C/V\.'C/V\,ADJ,demi,10
95,de,de,PRE,5,152,Pre,Pre,de,C/(e)\,ADP,de,10
96,longueur,longueur,NOM:obj:femi:sg,5,152,N,N,,C/V\.'C/V\,NOUN,longueur,9
97,ou,ou,PROCON,5,152,Crd,Crd,ou,/V\,CCONJ,ou,10
98,environ,environ,ADV,5,152,PrA,PrA,environ,/V\.C/V\.'C/V\,ADV,environ,10
99,.,.,PON,5,152,Pnc,Pnc,,,PUNCT,.,9
100,et,et,CON:coord,5,153,Crd,Crd,et,/V\,CCONJ,et,10
101,si,si,PROCON,5,153,Adv,Adv,si4,C/V\,ADV,si,10
102,aloit,aloit,VER:impf:3:sg,5,153,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
103,la,la,DET:def:suj:femi:sg,5,153,Det,Det,le,C/V\,DET,le,10
104,dite,dite,VER:pper:femi:sg,5,153,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
105,amelot,amelot,NPR:suj:femi:sg,5,153,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
106,a,a,PRE,5,153,Pre,Pre,à,/V\,ADP,à,10
107,ses,ses,DET:poss:obj:masc:pl,5,153,Det,Det,son4,C/V\,DET,son,10
108,piez,piez,NOM:obj:masc:pl,5,153,N,N,,C/V\,NOUN,pied,3
109,par,par,PRE,5,153,Pre,Pre,par,C/V\,ADP,par,10
110,terre,terre,NOM:obj:femi:sg,5,153,N,N,,'C/V\.C/(e)\,NOUN,terre,8
111,et,et,CON:coord,5,153,Crd,Crd,et,/V\,CCONJ,et,10
112,non,non,ADV,5,153,Neg,Neg,ne,C/V\,ADV,ne,10
113,mie,mie,ADV,5,153,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
114,as,as,PREDET:a:obj:masc:pl,5,153,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
115,jenouz,jenouz,NOM:obj:masc:pl,5,153,N,N,,C/V\.'C/V\,NOUN,jenu,-10
116,",",",",PON,5,153,Pnc,Pnc,,,PUNCT,",",9
117,et,et,CON:coord,5,153,Crd,Crd,et,/V\,CCONJ,et,10
118,sembloit,sembloit,VER:impf:3:sg,5,153,Vfin,Vfin,sembler,C/V\.'C/V\,VERB,sembler,10
119,un,un,DET:ndf:suj:masc:sg,5,153,QIs,QIs,un,/V\,DET,un,10
120,mostre,mostre,NOM:suj:masc:sg,5,153,N,N,,'C/V\.C/(e)\,NOUN,montre,3
121,",",",",PON,5,153,Pnc,Pnc,,,PUNCT,",",9
122,si,si,PROCON,5,153,Adv,Adv,si4,C/V\,ADV,si,10
123,que,que,PROCON,5,153,Sub,Sub,que,C/(e)\,SCONJ,que,10
124,",",",",PON,5,153,Pnc,Pnc,,,PUNCT,",",9
125,quant,quant,ADV,5,153,Sub,Sub,quand,C/V\,SCONJ,quand,10
126,les,les,DET:def:suj:masc:pl,5,153,Det,Det,le,C/V\,DET,le,10
127,enfanz,enfanz,NOM:suj:masc:pl,5,153,N,N,,/V\.'C/V\,NOUN,enfant,8
128,la,la,PRO:pers:acc:3:femi:sg,5,153,Prn,Prn$$,le,C/V\,PRON,le,10
129,veoient,veoient,VER:impf:3:pl,5,153,Vfin,Vfin,voir,C/(V)\.'/V\./e\,VERB,voir,10
130,",",",",PON,5,153,Pnc,Pnc,,,PUNCT,",",9
131,il,il,PRO:pers:suj:3:masc:pl,5,153,Prn,Prn$,il,/V\,PRON,il,10
132,s,s,PROCON,5,153,Prn,Prn$$,se,C/\,PRON,se,10
133,enfuioient,enfuioient,VER:impf:3:pl,5,153,Vfin,Vfin,enfuir,/V\.C/V\.'C/V\./e\,VERB,enfuir,10
134,.,.,PON,5,153,Pnc,Pnc,,,PUNCT,.,9
135,et,et,CON:coord,5,154,Crd,Crd,et,/V\,CCONJ,et,10
136,quant,quant,ADV,5,154,Sub,Sub,quand,C/V\,SCONJ,quand,10
137,ele,ele,PRO:pers:suj:3:femi:sg,5,154,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
138,vouloit,vouloit,VER:impf:3:sg,5,154,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
139,regarder,regarder,VER:infi,5,154,Vinf,Vinf,regarder,C/V\.C/V\.'C/V\,VERB,regarder,10
140,le,le,DET:def:obj:masc:sg,5,154,Det,Det,le,C/(e)\,DET,le,10
141,ciel,ciel,NOM:obj:masc:sg,5,154,N,N,,C/V\,NOUN,ciel,8
142,ou,ou,PROCON,5,154,Crd,Crd,ou,/V\,CCONJ,ou,10
143,aucune,aucune,DET:ind:obj:femi:sg,5,154,QIs,QIs,aucun,/V\.'C/V\.C/(e)\,DET,aucun,10
144,persone,persone,NOM:obj:femi:sg,5,154,N,N,,C/V\.'C/V\.C/(e)\,NOUN,personne,8
145,quant,quant,ADV,5,154,Sub,Sub,quand,C/V\,SCONJ,quand,10
146,ele,ele,PRO:pers:suj:3:femi:sg,5,154,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
147,aloit,aloit,VER:impf:3:sg,5,154,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
148,",",",",PON,5,154,Pnc,Pnc,,,PUNCT,",",9
149,il,il,PRO:pers:suj:3:masc:sg:unb,5,154,Prn,Prn$,il,/V\,PRON,il,10
150,li,li,PRO:pers:suj:3:masc:sg:bet,5,154,Prn,Prn$$,li,C/V\,PRON,li,10
151,couvenoit,couvenoit,VER:impf:3:sg,5,154,Vfin,Vfin,convenir,C/V\.C/e\.'C/V\,VERB,convenir,10
152,tourner,tourner,VER:infi,5,154,Vinf,Vinf,tourner,C/V\.'C/V\,VERB,tourner,10
153,son,son,DET:poss:obj:masc:sg,5,154,Det,Det,son4,C/V\,DET,son,10
154,col,col,NOM:obj:masc:sg,5,154,N,N,,C/V\,NOUN,cou,3
155,de,de,PRE,5,154,Pre,Pre,de,C/(e)\,ADP,de,10
156,travers,travers,NOM:obj:masc:pl,5,154,N,N,,C/V\.'C/V\,NOUN,travers,8
157,pour,pour,PRE,5,154,Pre,Pre,pour,C/V\,ADP,pour,10
158,ce,ce,PRO:invar,5,154,Prn,Prn,ce,C/(e)\,PRON,ce,10
159,que,que,PROCON,5,154,Sub,Sub,que,C/(e)\,SCONJ,que,10
160,ele,ele,PRO:pers:suj:3:femi:sg,5,154,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
161,peust,peust,VER:subi:3:sg,5,154,Vfin,Vfin,pouvoir2,C/(V)\.'/V\,VERB,pouvoir,10
162,veoir,veoir,VER:infi,5,154,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10
163,les,les,DET:def:obj:femi:pl,5,154,Det,Det,le,C/V\,DET,le,10
164,choses,choses,NOM:obj:femi:pl,5,154,N,N,,'C/V\.C/e\,NOUN,chose,8
165,devant,devant,PRE,5,154,PrA,PrA,devant,C/V\.'C/V\,ADV,devant,10
166,dites,dites,VER:pper:femi:pl,5,154,Vpp,Vpp,dire,'C/V\.C/e\,VERB,dire,10
167,.,.,PON,5,154,Pnc,Pnc,,,PUNCT,.,9
168,et,et,CON:coord,5,155,Crd,Crd,et,/V\,CCONJ,et,10
169,quant,quant,ADV,5,155,Sub,Sub,quand,C/V\,SCONJ,quand,10
170,la,la,DET:def:suj:femi:sg,5,155,Det,Det,le,C/V\,DET,le,10
171,dite,dite,VER:pper:femi:sg,5,155,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
172,amelot,amelot,NPR:suj:femi:sg,5,155,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
173,vouloit,vouloit,VER:impf:3:sg,5,155,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
174,descendre,descendre,VER:infi,5,155,Vinf,Vinf,descendre,C/V\.'C/V\.C/(e)\,VERB,descendre,10
175,degrez,degrez,NOM:obj:masc:pl,5,155,N,N,,C/V\.'C/V\,NOUN,degré,9
176,",",",",PON,5,155,Pnc,Pnc,,,PUNCT,",",9
177,ele,ele,PRO:pers:suj:3:femi:sg,5,155,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
178,ne,ne,PRO:clit,5,155,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
179,pouoit,pouoit,VER:impf:3:sg,5,155,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
180,pour,pour,PRE,5,155,Pre,Pre,pour,C/V\,ADP,pour,10
181,sa,sa,DET:poss:obj:femi:sg,5,155,Det,Det,son4,C/V\,DET,son,10
182,courbete,courbete,NOM:obj:femi:sg,5,155,N,N,,C/V\.'C/V\.C/(e)\,NOUN,courbette,0
183,",",",",PON,5,155,Pnc,Pnc,,,PUNCT,",",9
184,ele,ele,PRO:pers:suj:3:femi:sg,5,155,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
185,les,les,PRO:pers:acc:3:masc:pl,5,155,Prn,Prn$$,le,C/V\,PRON,le,10
186,descendoit,descendoit,VER:impf:3:sg,5,155,Vfin,Vfin,descendre,C/V\.C/V\.'C/V\,VERB,descendre,10
187,en,en,PRO:clit,5,155,Pre,Pre,en,/V\,ADP,en,10
188,tourniant,tourniant,VER:ppre,5,155,Vprs,Vprs,tournoyer,C/V\.C/V\.'C/V\,VERB,tournoyer,10
189,soi,soi,PRO:pers:obj:3:masc:sg:bet,5,155,Prn,Prn,soi,C/V\,PRON,soi,10
190,par,par,PRE,5,155,Pre,Pre,par,C/V\,ADP,par,10
191,les,les,DET:def:obj:masc:pl,5,155,Det,Det,le,C/V\,DET,le,10
192,degrez,degrez,NOM:obj:masc:pl,5,155,N,N,,C/V\.'C/V\,NOUN,degré,9
193,.,.,PON,5,155,Pnc,Pnc,,,PUNCT,.,9
194,et,et,CON:coord,5,156,Crd,Crd,et,/V\,CCONJ,et,10
195,comme,comme,CON:subord,5,156,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
196,les,les,DET:def:suj:masc:pl,5,156,Det,Det,le,C/V\,DET,le,10
197,os,os,NOM:suj:masc:pl,5,156,N,N,,/V\,NOUN,os,3
198,du,du,PREDET:de:obj:masc:sg,5,156,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
199,benoiet,benoiet,ADJ:obj:masc:sg,5,156,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,UNKNOWN,-10
200,saint,saint,ADJ:obj:masc:sg,5,156,Adj,Adj,saint,C/V\,ADJ,saint,10
201,loys,loys,NPR:obj:masc:sg,5,156,N,N,,C/V\,NOUN,loi,3
202,fussent,fussent,VER:subi:3:pl,5,156,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
203,aportez,aportez,VER:pper:masc:pl,5,156,Vpp,Vpp,apporter,/V\.C/V\.'C/V\,VERB,apporter,10
204,a,a,PRE,5,156,Pre,Pre,à,/V\,ADP,à,10
205,saint,saint,ADJ:obj:masc:sg,5,156,Adj,Adj,saint,C/V\,ADJ,saint,10
206,denis,denis,NPR:obj:masc:sg,5,156,N,N,,C/V\.'C/V\,NOUN,Denis,2
207,et,et,CON:coord,5,156,Crd,Crd,et,/V\,CCONJ,et,10
208,les,les,DET:def:suj:masc:pl,5,156,Det,Det,le,C/V\,DET,le,10
209,malades,malades,ADJ:suj:masc:pl,5,156,Adj,Adj,,C/V\.'C/V\.C/e\,ADJ,malade,8
210,eussent,eussent,VER:subi:3:pl,5,156,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\,VERB,avoir,10
