wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
256,42,1,perrotin,perrotin,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
257,42,2,",",",",Pnc,Pnc,,,PUNCT,",",9
258,42,3,c',c',Prn,Prn,ce,C/\,PRON,ce,10
259,42,4,est,est,Vfin,Vfin,être,/V\,VERB,être,10
260,42,5,chose,chose,N,N,,'C/V\.C/(e)\,NOUN,chose,8
261,42,6,certaine,certaine,Adj,Adj,certain,C/V\.'C/V\.C/(e)\,ADJ,certain,10
262,42,7,;,;,Pnc,Pnc,,,PUNCT,;,9
263,43,1,certes,certes,Adv,Adv,certes,'C/V\.C/e\,ADV,certes,10
264,43,2,",",",",Pnc,Pnc,,,PUNCT,",",9
265,43,3,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
266,43,4,l',l',Prn,Prn$$,le,C/\,PRON,le,10
267,43,5,ains,ains,Vfin,Vfin,aimer,/V\,VERB,aimer,10
268,43,6,tant,tant,QIs,QIs,tant,C/V\,ADV,tant,10
269,43,7,que,que,Sub,Sub,que,C/(e)\,SCONJ,que,10
270,43,8,mon,mon,Det,Det,mon,C/V\,DET,mon,10
271,43,9,cuer,cuer,N,N,,C/V\,NOUN,coeur,3
272,44,1,ne,ne,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
273,44,2,puis,puis,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
274,44,3,d',d',Pre,Pre,de,C/\,ADP,de,10
275,44,4,elle,elle,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10
276,44,5,oster,oster,Vinf,Vinf,ôter,/V\.'C/V\,VERB,ôter,10
277,44,6,a,a,Pre,Pre,à,/V\,ADP,à,10
278,44,7,nul,nul,QIs,QIs,nul,C/V\,DET,nul,10
279,44,8,fuer,fuer,N,N,,C/V\,NOUN,fuer,8
280,44,9,",",",",Pnc,Pnc,,,PUNCT,",",9
281,45,1,et,et,Crd,Crd,et,/V\,CCONJ,et,10
282,45,2,si,si,Adv,Adv,si4,C/V\,ADV,si,10
283,45,3,ne,ne,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
284,45,4,puis,puis,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
285,45,5,avoir,avoir,Vinf,Vinf,avoir,/V\.'C/V\,VERB,avoir,10
286,45,6,sa,sa,Det,Det,son4,C/V\,DET,son,10
287,45,7,grace,grace,N,N,,'C/V\.C/(e)\,NOUN,grâce,8
288,46,1,pour,pour,Pre,Pre,pour,C/V\,ADP,pour,10
289,46,2,priere,priere,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prière,8
290,46,3,que,que,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10
291,46,4,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
292,46,5,li,li,Prn,Prn$$,li,C/V\,PRON,li,10
293,46,6,face,face,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10
294,46,7,:,:,Pnc,Pnc,,,PUNCT,:,9
295,47,1,tu,tu,Prn,Prn$,tu,C/V\,PRON,tu,10
296,47,2,t',t',Prn,Prn$$,te,C/\,PRON,te,10
297,47,3,en,en,Prn,Prn$$,en2,/V\,PRON,en,10
298,47,4,peuz,peuz,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
299,47,5,bien,bien,Adv,Adv,bien,C/V\,ADV,bien,10
300,47,6,appercevoir,appercevoir,Vinf,Vinf,apercevoir,/V\.C/V\.C/e\.'C/V\,VERB,apercevoir,10
301,47,7,.,.,Pnc,Pnc,,,PUNCT,.,9
