wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
302,48,1,nonpourquant,nonpourquant,Adv,Adv,nonpourquant,C/V\.C/V\.'C/V\,ADV,nonpourquant,10
303,48,2,vueil,vueil,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
304,48,3,j',j',Prn,Prn%,je,C/\,PRON,je,10
305,48,4,aler,aler,Vinf,Vinf,aller,/V\.'C/V\,VERB,aller,10
306,48,5,savoir,savoir,Vinf,Vinf,savoir,C/V\.'C/V\,VERB,savoir,10
307,49,1,se,se,Sub,Sub,si3,C/(e)\,SCONJ,si,10
308,49,2,je,je,Prn,Prn,je,C/(e)\,PRON,je,10
309,49,3,parler,parler,Vinf,Vinf,parler,C/V\.'C/V\,VERB,parler,10
310,49,4,a,a,Pre,Pre,à,/V\,ADP,à,10
311,49,5,lui,lui,Prn,Prn,lui,C/V\,PRON,lui,10
312,49,6,pourray,pourray,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
313,49,7,",",",",Pnc,Pnc,,,PUNCT,",",9
314,50,1,ne,ne,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
315,50,2,se,se,Sub,Sub,si3,C/(e)\,SCONJ,si,10
316,50,3,grace,grace,N,N,,'C/V\.C/(e)\,NOUN,grâce,8
317,50,4,en,en,Pre,Pre,en,/V\,ADP,en,10
318,50,5,lui,lui,Prn,Prn,lui,C/V\,PRON,lui,10
319,50,6,trouveray,trouveray,Vfin,Vfin,trouver,C/V\.C/e\.'C/V\,VERB,trouver,10
320,51,1,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
321,51,2,aie,aie,Vfin,Vfin,avoir,'/V\./(e)\,VERB,avoir,10
322,51,3,s',s',Det,Det,son4,C/\,DET,son,10
323,51,4,amour,amour,N,N,,/V\.'C/V\,NOUN,amour,8
324,51,5,.,.,Pnc,Pnc,,,PUNCT,.,9
325,52,1,prest,prest,Adj,Adj,,C/V\,ADJ,prêt,8
326,52,2,sui,sui,Vfin,Vfin,être,C/V\,VERB,être,10
327,52,3,",",",",Pnc,Pnc,,,PUNCT,",",9
328,52,4,sire,sire,N,N,,'C/V\.C/(e)\,NOUN,sire,11
329,52,5,;,;,Pnc,Pnc,,,PUNCT,;,9
330,52,6,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
331,52,7,sanz,sanz,Pre,Pre,sans,C/V\,ADP,sans,10
332,52,8,demour,demour,N,N,,C/V\.'C/V\,NOUN,demeur,3
333,53,1,ou,ou,Qux,Qux,où,/V\,PRON,où,10
334,53,2,vous,vous,Prn,Prn$$,vous,C/V\,PRON,vous,10
335,53,3,plaira,plaira,Vfin,Vfin,plaire,C/V\.'C/V\,VERB,plaire,10
336,53,4,.,.,Pnc,Pnc,,,PUNCT,.,9
337,54,1,perrotin,perrotin,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
338,54,2,",",",",Pnc,Pnc,,,PUNCT,",",9
339,54,3,par,par,Pre,Pre,par,C/V\,ADP,par,10
340,54,4,foy,foy,N,N,,C/V\,NOUN,foi,3
341,54,5,mal,mal,Adv,Adv,mal3,C/V\,ADV,mal,10
342,54,6,me,me,Prn,Prn$$,me,C/(e)\,PRON,me,10
343,54,7,va,va,Vfin,Vfin,aller,C/V\,VERB,aller,10
344,54,8,:,:,Pnc,Pnc,,,PUNCT,:,9
345,55,1,vez,vez,Vfin,Vfin,voir,C/V\,VERB,voir,10
346,55,2,la,la,Adv,Adv,là,C/V\,ADV,là,10
347,55,3,l',l',Det,Det,le,C/\,DET,le,10
348,55,4,abbesse,abbesse,N,N,,/V\.'C/V\.C/(e)\,NOUN,abbesse,9
349,55,5,et,et,Crd,Crd,et,/V\,CCONJ,et,10
350,55,6,la,la,Det,Det,le,C/V\,DET,le,10
351,55,7,prieuse,prieuse,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prieuse,3
