wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1678,264,4,serpent,serpent,NOM:suj:masc:sg,273,N,N,,C/V\.'C/V\,NOUN,serpent,9,,
1679,264,5,et,et,CON:coord,273,Crd,Crd,et,/V\,CCONJ,et,10,,
1680,264,6,guivre,guivre,NOM:suj:femi:sg,273,N,N,,'C/V\.C/(e)\,NOUN,guivre,9,,
1681,265,1,me,me,PRO:pers:obj:1:sg:unb,274,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
1682,265,2,menjue,menjue,VER:pres:3:sg,274,Vfin,Vfin,manger,C/V\.'C/V\./(e)\,VERB,manger,10,,
1683,265,3,le,le,DET:def:obj:masc:sg,274,Det,Det,le,C/(e)\,DET,le,10,,
1684,265,4,cuer,cuer,NOM:obj:masc:sg,274,N,N,,C/V\,NOUN,coeur,3,,
1685,265,5,el,el,PREDET:en:obj:masc:sg,274,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
1686,265,6,ventre,ventre,NOM:obj:masc:sg,274,N,N,,'C/V\.C/(e)\,NOUN,ventre,8,,
1687,265,7,;,;,PON,274,Pnc,Pnc,,,PUNCT,;,9,,
1688,266,1,quant,quant,ADV,275,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
1689,266,2,len,len,PRO:invar,275,Prn,Prn,on,C/V\,PRON,on,10,,
1690,266,3,en,en,PRE,275,Pre,Pre,en,/V\,ADP,en,10,,
1691,266,4,la,la,DET:def:obj:femi:sg,275,Det,Det,le,C/V\,DET,le,10,,
1692,266,5,meson,meson,NOM:obj:femi:sg,275,N,N,,C/V\.'C/V\,NOUN,maison,9,,
1693,266,6,dieu,dieu,NOM:obj:masc:sg,275,N,N,,C/V\,PROPN,Dieu,3,,
1694,266,7,entre,entre,VER:pres:3:sg,275,Vfin,Vfin,entrer,'/V\.C/(e)\,VERB,entrer,10,,
1695,267,1,por,por,PRE,276,Pre,Pre,pour,C/V\,ADP,pour,10,,
