wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
418,66,6,nobles,nobles,ADJ:suj:masc:sg,66,Adj,Adj,noble,'C/V\.C/e\,ADJ,noble,10,,
419,67,1,li,li,DET:def:suj:masc:sg,67,Det,Det,le,C/V\,DET,le,10,,
420,67,2,tiers,tiers,ADJ:ord:suj:masc:sg,67,Adj,Adj,tiers,C/V\,ADJ,tiers,10,,
421,67,3,ot,ot,VER:simp:3:sg,67,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
422,67,4,a,a,PRE,67,Pre,Pre,à,/V\,ADP,à,10,,
423,67,5,non,non,NOM:obj:masc:sg,67,N,N,,C/V\,NOUN,nom,8,,
424,67,6,lionniaus,lionniaus,NOM:suj:masc:sg,67,N,N,,C/V\.C/V\.'C/V\,NOUN,lionneau,0,,
425,68,1,li,li,DET:def:suj:masc:sg,68,Det,Det,le,C/V\,DET,le,10,,
426,68,2,maisnés,maisnés,NOM:suj:masc:sg,68,N,N,,C/V\.'C/V\,NOUN,moinsné,2,,
427,68,3,fu,fu,VER:simp:3:sg,68,Vfin,Vfin,être,C/V\,VERB,être,10,,
428,68,4,et,et,CON:coord,68,Crd,Crd,et,/V\,CCONJ,et,10,,
429,68,5,li,li,DET:def:suj:masc:sg,68,Det,Det,le,C/V\,DET,le,10,,
430,68,6,plus,plus,ADV,68,Adv,Adv,plus,C/V\,ADV,plus,10,,
431,68,7,biaus,biaus,ADJ:suj:masc:sg,68,Adj,Adj,beau,C/V\,ADJ,beau,10,,
432,69,1,chascun,chascun,PRO:ind:suj:masc:sg,69,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10,,
433,69,2,fu,fu,VER:simp:3:sg,69,Vfin,Vfin,être,C/V\,VERB,être,10,,
434,69,3,vestus,vestus,VER:pper:masc:pl,69,Vpp,Vpp,vêtir,C/V\.'C/V\,VERB,vêtir,10,,
435,69,4,endroit,endroit,PRE,69,PrA,PrA,endroit,/V\.'C/V\,ADP,endroit,10,,
436,69,5,soi,soi,PRO:pers:obj:3:masc:sg:bet,69,Prn,Prn,soi,C/V\,PRON,soi,10,,
437,70,1,si,si,PROCON,70,Adv,Adv,si4,C/V\,ADV,si,10,,
438,70,2,qu,qu,PROCON,70,Sub,Sub,que,C/\,SCONJ,que,10,,
439,70,3,il,il,PRO:pers:suj:3:masc:sg:unb,70,Prn,Prn$,il,/V\,PRON,il,10,,
440,70,4,affiert,affiert,VER:pres:3:sg,70,Vfin,Vfin,afférir,/V\.'C/V\,VERB,afférir,10,,
441,70,5,a,a,PRE,70,Pre,Pre,à,/V\,ADP,à,10,,
442,70,6,fil,fil,NOM:obj:masc:sg,70,N,N,,C/V\,NOUN,fils,3,,
443,70,7,de,de,PRE,70,Pre,Pre,de,C/(e)\,ADP,de,10,,
444,70,8,roy,roy,NOM:obj:masc:sg,70,N,N,,C/V\,NOUN,roi,8,,
445,71,1,entour,entour,ADV,71,PrA,PrA,entour,/V\.'C/V\,ADP,entour,10,,
446,71,2,eus,eus,PRO:pers:acc:3:masc:pl:bet,71,Prn,Prn,eux,/V\,PRON,eux,10,,
447,71,3,ot,ot,VER:simp:3:sg,71,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
448,71,4,grant,grant,ADJ:obj:femi:sg,71,Adj,Adj,grand,C/V\,ADJ,grand,10,,
449,71,5,baronnie,baronnie,NOM:obj:femi:sg,71,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,baronnie,3,,
450,72,1,qui,qui,PROCON,72,Qux,Qux,qui,C/V\,PRON,qui,10,,
451,72,2,leur,leur,PRO:pers:dat:3:pl,72,Prn,Prn$$,leur,C/V\,PRON,leur,10,,
452,72,3,tenoient,tenoient,VER:impf:3:pl,72,Vfin,Vfin,tenir,C/V\.'C/V\./e\,VERB,tenir,10,,
453,72,4,compaignie,compaignie,NOM:obj:femi:sg,72,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,,
454,73,1,renars,renars,NOM:suj:masc:sg,73,N,N,,C/V\.'C/V\,PROPN|NOUN,renard,8,,
455,73,2,li,li,DET:def:suj:masc:sg,73,Det,Det,le,C/V\,DET,le,10,,
456,73,3,houpiex,houpiex,NOM:suj:masc:sg,73,N,N,,C/V\.'C/V\,NOUN,houpeau,-10,goupil,DMF
457,73,4,i,i,PRO:clit,73,Prn,Prn$$,y2,/V\,PRON,y,10,,
458,73,5,estoit,estoit,VER:impf:3:sg,73,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10,,
459,74,1,qui,qui,PROCON,74,Qux,Qux,qui,C/V\,PRON,qui,10,,
460,74,2,ses,ses,DET:poss:obj:masc:pl,74,Det,Det,son4,C/V\,DET,son,10,,
461,74,3,.iii.,.iii.,ADJ:card,74,QIs,QIs,trois,C/V\,NUM,trois,10,,
462,74,4,fiex,fiex,NOM:obj:masc:pl,74,N,N,,C/V\,NOUN,fief,3,fils,
463,74,5,o,o,PRE,74,Pre,Pre,o,/V\,ADP,o,10,,
464,74,6,lui,lui,PRO:pers:obj:3:masc:sg:bet,74,Prn,Prn,lui,C/V\,PRON,lui,10,,
465,74,7,avoit,avoit,VER:impf:3:sg,74,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
466,75,1,malebranche,malebranche,NPR:obj:masc:sg,75,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,malébrance,-10,Malebranche,DMF
467,75,2,ot,ot,VER:simp:3:sg,75,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
468,75,3,non,non,NOM:obj:masc:sg,75,N,N,,C/V\,NOUN,nom,8,,
469,75,4,li,li,DET:def:suj:masc:sg,75,Det,Det,le,C/V\,DET,le,10,,
470,75,5,aisnés,aisnés,NOM:suj:masc:sg,75,Adj,Adj,,/V\.'C/V\,ADJ,aîné,8,,
471,76,1,plus,plus,ADV,76,Adv,Adv,plus,C/V\,ADV,plus,10,,
472,76,2,ert,ert,VER:impf:3:sg,76,Vfin,Vfin,être,/V\,VERB,être,10,,
473,76,3,cremus,cremus,VER:pper:masc:pl,76,Vpp,Vpp,craindre,C/V\.'C/V\,VERB,craindre,10,crémir,
474,76,4,ne,ne,PRO:clit,76,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
475,76,5,fust,fust,VER:subi:3:sg,76,Vfin,Vfin,être,C/V\,VERB,être,10,,
476,76,6,amés,amés,VER:pper:masc:pl,76,Vpp,Vpp,aimer,/V\.'C/V\,VERB,aimer,10,,
477,77,1,li,li,DET:def:suj:masc:sg,77,Det,Det,le,C/V\,DET,le,10,,
478,77,2,secons,secons,ADJ:ord:suj:masc:sg,77,Adj,Adj,,C/V\.'C/V\,ADJ,second,8,,
479,77,3,ot,ot,VER:simp:3:sg,77,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
480,77,4,non,non,NOM:obj:masc:sg,77,N,N,,C/V\,NOUN,nom,8,,
481,77,5,perchehaie,perchehaie,NPR:obj:masc:sg,77,N,N,,C/V\.C/e\.'C/V\./(e)\,NOUN,perchaiaie,-10,Perchehaie,DMF
482,78,1,qui,qui,PROCON,78,Qux,Qux,qui,C/V\,PRON,qui,10,,
483,78,2,en,en,PRE,78,Pre,Pre,en,/V\,ADP,en,10,,
484,78,3,nul,nul,DET:ind:obj:masc:sg,78,QIs,QIs,nul,C/V\,DET,nul,10,,
485,78,4,point,point,NOM:obj:masc:sg,78,N,N,,C/V\,NOUN,point,8,,
486,78,5,n,n,PRO:clit,78,Neg,Neg$$,ne,C/\,ADV,ne,10,,
487,78,6,avoit,avoit,VER:impf:3:sg,78,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
488,78,7,manaie,manaie,NOM:obj:femi:sg,78,N,N,,C/V\.'C/V\./(e)\,NOUN,manaie,9,,
489,79,1,ne,ne,PROCON,79,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,
490,79,2,pité,pité,NOM:obj:femi:sg,79,N,N,,C/V\.'C/V\,NOUN,pitié,8,,
491,79,3,de,de,PRE,79,Pre,Pre,de,C/(e)\,ADP,de,10,,
492,79,4,crasse,crasse,ADJ:obj:femi:sg,79,Adj,Adj,,'C/V\.C/(e)\,ADJ,cras,0,gras,
493,79,5,gueline,gueline,NOM:obj:femi:sg,79,N,N,,C/V\.'C/V\.C/(e)\,NOUN,géline,6,,
494,80,1,et,et,CON:coord,80,Crd,Crd,et,/V\,CCONJ,et,10,,
495,80,2,si,si,PROCON,80,Adv,Adv,si4,C/V\,ADV,si,10,,
496,80,3,i,i,PRO:clit,80,Prn,Prn$$,y2,/V\,PRON,y,10,,
497,80,4,fu,fu,VER:simp:3:sg,80,Vfin,Vfin,être,C/V\,VERB,être,10,,
498,80,5,dame,dame,NOM:suj:femi:sg,80,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
499,80,6,emmeline,emmeline,NPR:suj:femi:sg,80,N,N,,/V\.C/e\.'C/V\.C/(e)\,PROPN|NOUN,UNKNOWN,-10,Emmeline,
500,81,1,mere,mere,NOM:suj:femi:sg,81,N,N,,'C/V\.C/(e)\,NOUN,mère,3,,
501,81,2,as,as,PREDET:a:obj:masc:pl,81,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
502,81,3,enfans,enfans,NOM:obj:masc:pl,81,N,N,,/V\.'C/V\,NOUN,enfant,8,,
503,81,4,feme,feme,NOM:suj:femi:sg,81,N,N,,'C/V\.C/(e)\,NOUN,femme,3,,
504,81,5,renart,renart,NOM:obj:masc:sg,81,N,N,,C/V\.'C/V\,PROPN|NOUN,renard,8,,
505,82,1,ysengrins,ysengrins,NPR:suj:masc:sg,82,N,N,,/V\.C/V\.'C/V\,NOUN,isserin,-10,Ysengrin,DMF
506,82,2,li,li,DET:def:suj:masc:sg,82,Det,Det,le,C/V\,DET,le,10,,
507,82,3,leus,leus,NOM:suj:masc:sg,82,N,N,,C/V\,NOUN,lieu,3,loup,
508,82,4,d',d',PRE,82,Pre,Pre,de,C/\,ADP,de,10,,
509,82,5,autre,autre,ADJ:obj:femi:sg,82,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10,,
510,82,6,part,part,NOM:obj:femi:sg,82,N,N,,C/V\,NOUN,part,3,,
511,83,1,sist,sist,VER:simp:3:sg,83,Vfin,Vfin,seoir,C/V\,VERB,seoir,10,,
512,83,2,et,et,CON:coord,83,Crd,Crd,et,/V\,CCONJ,et,10,,
513,83,3,lés,lés,PRE,83,Pre,Pre,lez,C/V\,ADP,lez,10,,
514,83,4,lui,lui,PRO:pers:obj:3:masc:sg:bet,83,Prn,Prn,lui,C/V\,PRON,lui,10,,
515,83,5,dame,dame,NOM:suj:femi:sg,83,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
516,83,6,hersens,hersens,NPR:suj:femi:sg,83,N,N,,C/V\.'C/V\,NOUN,hersent,-10,Hersent,
517,84,1,et,et,CON:coord,84,Crd,Crd,et,/V\,CCONJ,et,10,,
