wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2881,477,1,et,et,CON:coord,489,Crd,Crd,et,/V\,CCONJ,et,10,,
2882,477,2,s,s,PROCON,489,Adv,Adv,si4,C/\,ADV,si,10,,
2883,477,3,est,est,VER:pres:3:sg,489,Vfin,Vfin,être,/V\,VERB,être,10,,
2884,477,4,gilles,gilles,NPR:suj:masc:sg,489,N,N,,'C/V\.C/e\,NOUN,guile,5,,
2885,477,5,de,de,PRE,489,Pre,Pre,de,C/(e)\,ADP,de,10,,
2886,477,6,bouvignies,bouvignies,NPR:obj:masc:sg,489,N,N,,C/V\.C/V\.'C/V\./e\,NOUN,bouvignie,-10,Bouvignies,Bouvignies – Wikipedia 
2887,478,1,chist,chist,PRO:demo:suj:masc:pl,490,Dem,Dem,cist,C/V\,PRON,cist,10,,
2888,478,2,noteront,noteront,VER:futu:3:pl,490,Vfin,Vfin,,C/V\.C/e\.'C/V\,VERB,noter,9,,
2889,478,3,par,par,PRE,490,Pre,Pre,par,C/V\,ADP,par,10,,
2890,478,4,aaties,aaties,NOM:obj:femi:pl,490,N,N,,/(V)\./V\.'C/V\./e\,NOUN,aatie,9,,
2891,479,1,ensanle,ensanle,ADV,491,Adv,Adv,ensemble,/V\.'C/V\.C/(e)\,ADV,ensemble,10,,
2892,479,2,plaideront,plaideront,VER:futu:3:pl,491,Vfin,Vfin,,C/V\.C/e\.'C/V\,VERB,plaider,9,,
2893,479,3,pour,pour,PRE,491,Pre,Pre,pour,C/V\,ADP,pour,10,,
2894,479,4,tous,tous,PRO:ind:obj:masc:pl,491,QIs,QIs,tout,C/V\,DET,tout,10,,
2895,480,1,enhenc,enhenc,EXC,492,Exc,Exc,,/V\.'C/V\,INTJ,enhenc,8,,
2896,480,2,maistre,maistre,NOM:suj:masc:sg,492,N,N,,'C/V\.C/(e)\,NOUN,maître,8,,
2897,480,3,henri,henri,NPR:suj:masc:sg,492,N,N,,C/V\.'C/V\,PROPN|NOUN,Henri,8,,
2898,480,4,et,et,CON:coord,492,Crd,Crd,et,/V\,CCONJ,et,10,,
2899,480,5,vous,vous,PRO:pers:2:pl,492,Prn,Prn,vous,C/V\,PRON,vous,10,,
2900,481,1,plus,plus,ADV,493,Adv,Adv,plus,C/V\,ADV,plus,10,,
2901,481,2,d',d,PRE,493,Pre,Pre,de,C/\,ADP,de,10,,
2902,481,3,une,une,DET:ndf:obj:femi:sg,493,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
2903,481,4,feme,feme,NOM:obj:femi:sg,493,N,N,,'C/V\.C/(e)\,NOUN,femme,3,,
2904,481,5,avés,avés,VER:pres:2:pl,493,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
2905,481,6,eue,eue,VER:pper:femi:sg,493,Vpp,Vpp,avoir,/(V)\.'/V\./(e)\,VERB,avoir,10,,
2906,482,1,et,et,CON:coord,494,Crd,Crd,et,/V\,CCONJ,et,10,,
2907,482,2,s,s,PROCON,494,Sub,Sub,si3,C/\,SCONJ,si,10,,
2908,482,3,avoir,avoir,VER:infi,494,Vinf,Vinf,avoir,/V\.'C/V\,VERB,avoir,10,,
2909,482,4,volés,volés,VER:pres:2:pl,494,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
2910,482,5,leur,leur,DET:poss:obj:femi:sg,494,Det,Det,leur2,C/V\,DET,leur,10,,
2911,482,6,aieue,aieue,NOM:obj:femi:sg,494,N,N,,/V\.'C/V\./(e)\,NOUN,aie,-10,aide,DMF
2912,483,1,metre,metre,VER:infi,495,Vinf,Vinf,mettre,'C/V\.C/(e)\,VERB,mettre,10,,
2913,483,2,vous,vous,PRO:pers:2:pl,495,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
2914,483,3,i,i,PRO:clit,495,Prn,Prn$$,y2,/V\,PRON,y,10,,
2915,483,4,couvient,couvient,VER:pres:3:sg,495,Vfin,Vfin,convenir,C/V\.'C/V\,VERB,convenir,10,,
2916,483,5,du,du,PREDET:de:obj:masc:sg,495,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
2917,483,6,voe,voe,PRO:poss:obj:masc:sg,495,Adj,Adj,votre,'C/V\./(e)\,ADJ,votre,10,,
2918,484,1,gillot,gillot,NPR:suj:masc:sg,496,N,N,,C/V\.'C/V\,PROPN|NOUN,Gillot,8,,
2919,484,2,me,me,PRO:pers:obj:1:sg:unb,496,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
2920,484,3,faites,faites,VER:pres:2:pl,496,Vfin,Vfin,faire,'C/V\.C/e\,VERB,faire,10,,
2921,484,4,vous,vous,PRO:pers:2:pl,496,Prn,Prn%,vous,C/V\,PRON,vous,10,,
2922,484,5,le,le,DET:def:obj:femi:sg,496,Det,Det,le,C/(e)\,DET,le,10,,
