wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2154,316,6,.,.,316,Pnc,Pnc,,,PUNCT,.,9,,
2155,317,1,suz,suz,317,PrA,PrA,sous,C/V\,ADP,sous,10,,
2156,317,2,ciel,ciel,317,N,N,,C/V\,NOUN,ciel,8,,
2157,317,3,n',n',317,Neg,Neg$$,ne,C/\,ADV,ne,10,,
2158,317,4,est,est,317,Vfin,Vfin,être,/V\,VERB,être,10,,
2159,317,5,icele,icele,317,Dem,Dem,cil,/V\.'C/V\.C/(e)\,DET,cil,10,,
2160,317,6,rien,rien,317,N,N,rien,C/V\,PROPN|NOUN,rien,10,,
2161,317,7,",",",",317,Pnc,Pnc,,,PUNCT,",",9,,
2162,318,1,fust,fust,318,Vfin,Vfin,être,C/V\,VERB,être,10,,
2163,318,2,ço,ço,318,Prn,Prn,ce,C/V\,PRON,ce,10,,
2164,318,3,mal,mal,318,Adj,Adj,mal2,C/V\,ADJ,mal,10,,
2165,318,4,u,u,318,Crd,Crd,ou,/V\,CCONJ,ou,10,,
2166,318,5,fust,fust,318,Vfin,Vfin,être,C/V\,VERB,être,10,,
2167,318,6,ço,ço,318,Prn,Prn,ce,C/V\,PRON,ce,10,,
2168,318,7,bien,bien,318,Adv,Adv,bien,C/V\,ADV,bien,10,,
2169,318,8,",",",",318,Pnc,Pnc,,,PUNCT,",",9,,
2170,319,1,que,que,319,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10,,
2171,319,2,pur,pur,319,Pre,Pre,pour,C/V\,ADP,pour,10,,
2172,319,3,vostre,vostre,319,Det,Det,votre,'C/V\.C/(e)\,DET,votre,10,,
2173,319,4,amur,amur,319,N,N,,/V\.'C/V\,NOUN,amour,8,,
2174,319,5,ne,ne,319,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2175,319,6,feisse,feisse,319,Vfin,Vfin,faire,C/(V)\.'/V\.C/(e)\,VERB,faire,10,,
2176,319,7,",",",",319,Pnc,Pnc,,,PUNCT,",",9,,
2177,320,1,pur,pur,320,Pre,Pre,pour,C/V\,ADP,pour,10,,
2178,320,2,la,la,320,Det,Det,le,C/V\,DET,le,10,,
2179,320,3,mort,mort,320,N,N,,C/V\,NOUN,mort,3,,
