wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
142,23,6,poant,poant,ADJ:obj:masc:sg,31,Adj,Adj,,C/V\.'C/V\,ADJ,pouvoir,-1,pouvoir2,DMF
143,24,1,s,s,PROCON,32,Prn,Prn$$,se,C/\,PRON,se,10,,
144,24,2,est,est,VER:pres:3:sg,32,Vfin,Vfin,être,/V\,VERB,être,10,,
145,24,3,escrié,escrié,VER:pper:masc:sg,32,Vpp,Vpp,écrier,/V\.C/V\.'C/V\,VERB,écrier,10,,
146,24,4,haut,haut,ADJ:obj:masc:sg,32,Adj,Adj,haut,C/V\,ADJ,haut,10,,
147,24,5,en,en,PRE,32,Pre,Pre,en,/V\,ADP,en,10,,
148,24,6,oant,oant,VER:ppre,32,Vprs,Vprs,ouïr,/V\.'C/V\,VERB,ouïr,10,,
149,25,1,"""","""",PON:cit,33,Pnc,Pnc,,,PUNCT,"""",9,,
150,25,2,ces,ces,DET:demo:suj:masc:pl,33,Dem,Dem,cist,C/V\,DET,cist,10,,
151,25,3,crestiens,crestiens,NOM:suj:masc:pl,33,Adj,Adj,,C/V\.C/{V}\.'/V\,ADJ,chrétien,8,,
152,25,4,sunt,sunt,VER:pres:3:pl,33,Vfin,Vfin,être,C/V\,VERB,être,10,,
153,25,5,nun,nun,ADV,33,Neg,Neg,ne,C/V\,ADV,ne,10,,
154,25,6,savant,savant,VER:ppre,33,Vprs,Vprs,savoir,C/V\.'C/V\,VERB,savoir,10,,
155,26,1,qui,qui,PROCON,34,Qux,Qux,qui,C/V\,PRON,qui,10,,
156,26,2,de,de,PRE,34,Pre,Pre,de,C/(e)\,ADP,de,10,,
157,26,3,juster,juster,VER:infi,34,Vinf,Vinf,,C/V\.'C/V\,VERB,jouter,3,,
158,26,4,me,me,PRO:pers:obj:1:sg:unb,34,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
159,26,5,vont,vont,VER:pres:3:pl,34,Vfin,Vfin,aller,C/V\,VERB,aller,10,,
160,26,6,hastant,hastant,VER:ppre,34,Vprs,Vprs,,C/V\.'C/V\,VERB,hâter,9,,
161,27,1,ne,ne,PRO:clit,35,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
162,27,2,voil,voil,VER:pres:1:sg,35,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,,
163,27,3,que,que,PROCON,35,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
164,27,4,ja,ja,ADV,35,Adv,Adv,jà,C/V\,ADV,jà,10,,
165,27,5,un,un,DET:ndf:suj:masc:sg,35,QIs,QIs,un,/V\,NUM,un,10,,
166,27,6,sul,sul,ADJ:suj:masc:sg,35,Adj,Adj,seul,C/V\,ADJ,seul,10,,
167,27,7,s,s,PROCON,35,Prn,Prn$$,se,C/\,PRON,se,10,,
168,27,8,en,en,PRO:clit,35,Prn,Prn$$,en2,/V\,PRON,en,10,,
169,27,9,vant,vant,VER:subp:3:sg,35,Vfin,Vfin,,C/V\,VERB,vendre,3,,
170,28,1,tuz,tuz,PRO:ind:suj:masc:pl,36,QIs,QIs,tout,C/V\,PRON,tout,10,,
171,28,2,serrunt,serrunt,VER:futu:3:pl,36,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
172,28,3,mort,mort,VER:pper:masc:sg,36,Vpp,Vpp,mourir,C/V\,VERB,mourir,10,,
173,28,4,u,u,PROCON,36,Crd,Crd,ou,/V\,CCONJ,ou,10,,
174,28,5,recreant,recreant,VER:ppre,36,Vprs,Vprs,recroire,C/V\.C/e\.'C/V\,VERB,recroire,10,,
175,28,6,"""","""",PON:cit,36,Pnc,Pnc,,,PUNCT,"""",9,,
176,29,1,quant,quant,ADV,37,Sub,Sub,quand,C/V\,SCONJ,quand,10,,
177,29,2,il,il,PRO:pers:suj:3:masc:sg:unb,37,Prn,Prn$,il,/V\,PRON,il,10,,
178,29,3,ot,ot,VER:simp:3:sg,37,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
179,29,4,morz,morz,VER:pper:masc:pl,37,Vpp,Vpp,mourir,C/V\,VERB,mourir,10,,
180,29,5,les,les,DET:def:obj:masc:pl,37,Det,Det,le,C/V\,DET,le,10,,
181,29,6,bons,bons,ADJ:obj:masc:pl,37,Adj,Adj,bon,C/V\,ADJ,bon,10,,
182,29,7,vassaus,vassaus,NOM:obj:masc:pl,37,N,N,,C/V\.'C/V\,NOUN,vassal,9,,
183,30,1,ariere,ariere,ADV,38,PrA,PrA,arrière,/V\.'C/V\.C/(e)\,ADV,arrière,10,,
184,30,2,enchaca,enchaca,VER:simp:3:sg,38,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,enchasser,0,,
185,30,3,les,les,DET:def:obj:masc:pl,38,Det,Det,le,C/V\,DET,le,10,,
186,30,4,chevaus,chevaus,NOM:obj:masc:pl,38,N,N,,C/V\.'C/V\,NOUN,cheval,8,,
187,31,1,puis,puis,ADV,39,PrA,PrA,puis,C/V\,ADV,puis,10,,
188,31,2,mist,mist,VER:simp:3:sg,39,Vfin,Vfin,mettre,C/V\,VERB,mettre,10,,
189,31,3,avant,avant,PRE,39,PrA,PrA,avant,/V\.'C/V\,ADP,avant,10,,
190,31,4,sun,sun,DET:poss:obj:masc:sg,39,Det,Det,son4,C/V\,DET,son,10,,
