wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
481,85,2,quant,quant,ADV,1825,cant_C,10,Sub,Sub,quand,,C/V\
482,85,3,Famius,famius,ADJ,1826,<unknown>,10,N,N,,s,C/V\.C/V\.'C/V\
483,85,4,ot,ot,VER,1827,avoir|öir_+IM|+I,10,Vfin,Vfin,avoir1|ouïr,,/V\
484,85,5,oÿ,oÿ,VER,1828,öir_+I,10,Vpp,Vpp,ouïr,,/V\.'C/V\
485,86,1,ne,ne,PRO:clit,1837,en2_S,10,Crd,Crd,ne2,,C/(e)\
486,86,2,saouler,saouler,VER,1838,saouler_M,10,Vinf,Vinf,,,C/(V)\./V\.'C/V\
487,86,3,de,de,PRE,1839,de_+S,10,Pre,Pre,de,,C/(e)\
488,86,4,joye,joye,NOM,1840,joie|joïe1|joïe2_+IT|+Td|+Td,10,N,N,,c,'C/V\./(e)\
489,86,5,faire,faire,VER,1841,faire_+MIT,10,Vinf,Vinf,faire,,'C/V\.C/(e)\
490,87,1,et,et,CON:coord,1843,et_S,10,Crd,Crd,et,,/V\
491,87,2,fist,fist,VER,1844,faire|feire|fere_+CMI|M|M,10,Vfin,Vfin,faire,,C/V\
492,87,3,querir,querir,VER,1845,querre_+T,10,Vinf,Vinf,quérir,,C/V\.'C/V\
493,87,4,quatre,quatre,ADJ:card,1846,catre_CIT,10,QIs,QIs,4,,'C/V\.C/(e)\
494,87,5,nourrices,nourrices,NOM,1847,<unknown>,10,N,N,,,C/V\.'C/V\.C/e\
495,88,1,de,de,PRE,1848,de_+S,10,Pre,Pre,de,,C/(e)\
496,88,2,grant,grant,ADJ,1849,grant_+CIT,10,Adj,Adj,grand,,C/V\
497,88,3,affaire,affaire,NOM,1850,afaire_G,10,N,N,,,/V\.'C/V\.C/(e)\
498,88,4,pour,pour,PRE,1851,por2_+S,10,Pre,Pre,pour,,C/V\
499,88,5,l',l',DET:def,1852,le_S,10,Det,Det,le,,C/\
500,88,6,enfant,enfant,NOM,1853,enfant_+CIT,10,N,N,,,/V\.'C/V\
501,89,1,elles,elles,PRO:pers,1863,il_S,10,Prn,Prn$,3p,s,'/V\.C/e\
502,89,2,savoient,savoient,VER,1864,savoir_+IM,10,Vfin,Vfin,savoir,,C/V\.'C/V\./e\
