wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
368,71,6,poissant,poissant,ADJ,1639,poissant_+IT,Adj,Adj,,104036,,C/V\.'C/V\
369,72,1,loyaulz,loyaulz,ADJ,1642,<unknown>,Adj,Adj,,104036,,C/V\.'C/V\
370,72,2,subgiez,subgiez,NOM,1643,<unknown>,N,N,,104036,,C/V\.'C/V\
371,72,3,",",",",PON,1644,",",Pnc,Pnc,,104036,,
372,72,4,obeissant,obeissant,VER,1645,obëir_+Md,Vprs,Vprs,,104036,,/V\.C/(V)\./V\.'C/V\
373,72,5,peuple,peuple,NOM,1646,pueple_+T,N,N,,104037,,'C/V\.C/(e)\
374,73,1,Mais,mais,CON:coord,1671,mais_S,Crd,Crd,mais1,104039,,C/V\
375,73,2,comme,comme,VER,1672,commer_M,Sub,Sub,comme,104039,,'C/V\.C/(e)\
376,73,3,il,il,PRO:pers,1673,il_S,Prn,Prn$,3p,104039,s,/V\
377,73,4,ne,ne,PRO:clit,1674,en2_S,Neg,Neg$$,ne1,104039,,C/(e)\
378,73,5,soit,soit,VER,1675,estre1|savoir_+I|+M,Vfin,Vfin,être1|ester,104039,,C/V\
379,73,6,aucun,aucun,PRO:ind,1676,aucun_S,QIs,QIs,aucun,104039,,/V\.'C/V\
380,73,7,bien,bien,ADV,1677,bien1|bien2|bien_+IT|C|I,N,N,bien,104039,,C/V\
381,74,1,est,est,VER,1682,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,104040,,/V\
382,74,2,que,que,PROCON,1683,que3_S,Sub,Sub,que,104040,,C/(e)\
383,74,3,je,je,PRO:pers,1684,je_S,Prn,Prn$,1ps,104040,s,C/(e)\
384,74,4,y,y,PRO:clit,1685,i2_S,Prn,Prn$$,y,104040,,/V\
385,74,5,vi,vi,VER,1686,vëoir_+IM,Vfin,Vfin,voir1,104040,,C/V\
386,74,6,de,de,PRE,1687,de_+S,Pre,Pre,de,104040,,C/(e)\
387,74,7,grans,grans,ADJ,1688,grant_+I,Adj,Adj,grand,104040,,C/V\
388,74,8,gastines,gastines,NIL,1689,gastine_G,N,N,,104040,,C/V\.'C/V\.C/e\
389,75,1,et,et,CON:coord,1691,et_S,Crd,Crd,et,104040,,/V\
390,75,2,procurees,procurees,VER,1692,<unknown>,Vpp,Vpp,,104040,,C/V\.C/V\.'C/V\./e\
391,75,3,par,par,PRE,1693,par_S,Pre,Pre,par1,104040,,C/V\
392,75,4,estranges,estranges,ADJ,1694,estrange_+I,Adj,Adj,,104040,,/V\.'C/V\.C/e\
393,76,1,QUE,que,PROCON,1720,que3_S,Sub,Sub,que,105001,,C/(e)\
