wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
337,67,5,et,et,CON:coord,1090,et_S,Crd,Crd,et,822,,/V\
338,67,6,verser,verser,VER,1091,verser1|verser2_+IT|+MT,Vinf,Vinf,,822,,C/V\.'C/V\
339,68,1,estaies,estaies,VER,1107,estre_M,N,N,,823,,/V\.'C/V\./e\
340,68,2,que,que,PROCON,1108,que3_S,Qux,Qux,que,823,c,C/(e)\
341,68,3,pour,pour,PRE,1109,por2_+S,Pre,Pre,pour,823,,C/V\
342,68,4,passer,passer,VER,1110,passer1|passer_+T|IM,Vinf,Vinf,passer,823,,C/V\.'C/V\
343,68,5,temps,temps,NOM,1111,tens_+CT,N,N,,824,c,C/V\
344,69,1,on,on,PRO:invar,1122,on_S,Prn,Prn$,on,824,s,/V\
345,69,2,avoit,avoit,VER,1123,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,824,,/V\.'C/V\
346,69,3,ça,ça,VER,1124,<unknown>,Adv,Adv,çà,824,,C/V\
347,69,4,et,et,CON:coord,1125,et_S,Crd,Crd,et,824,,/V\
348,69,5,la,la,DET:def,1126,le_S,Adv,Adv,là,824,,C/V\
349,69,6,assises,assises,NOM,1127,assise_*+T,Vpp,Vpp,asseoir,824,,/V\.'C/V\.C/e\
350,70,1,sembloit,sembloit,VER,1133,sembler_*+IMT,Vfin,Vfin,sembler,825,,C/V\.'C/V\
351,70,2,greigneur,greigneur,ADJ,1134,graignor_*+CI,Adj,Adj,graindre,825,a,C/V\.'C/V\
352,70,3,et,et,CON:coord,1135,et_S,Crd,Crd,et,825,,/V\
353,70,4,le,le,DET:def,1136,le_S,Det,Det,le,825,,C/(e)\
354,70,5,peril,peril,NOM,1137,peril_+IT,N,N,,825,,C/e\.'C/V\
355,71,1,de,de,PRE,1186,de_+S,Pre,Pre,de,829,,C/(e)\
356,71,2,fleurs,fleurs,NOM,1187,flor1|fläor_*+T|+T,N,N,,830,,C/V\
357,71,3,de,de,PRE,1188,de_+S,Pre,Pre,de,830,,C/(e)\
358,71,4,lis,lis,NOM,1189,lis_+IT,N,N,,830,,C/V\
