wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
228,36,4,de,de,PRE,1172,28,Pre,Pre,de,de,+CIST,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,76,C/(e)\
229,36,5,dieu,dieu,NOM:obj:masc:sg,1173,28,N,N,,dieu,+CIT,"[('PreN', ''), ('N', ''), ('PrePrn', '&')]",,NOM,76,C/V\
230,36,6,et,et,CON:coord,1174,28,Crd,Crd,et,et,ST,"[('PrePrn', '&'), ('Crd', ''), ('Pre', '')]",,CON:coord,76,/V\
231,36,7,de,de,PRE,1175,28,Pre,Pre,de,de,+CIST,"[('PrePrn', '&'), ('Pre', ''), ('Prn', '')]",,PRE,76,C/(e)\
232,36,8,moy,moy,PRO:pers:obj:1:sg:bet,1176,28,Prn,Prn,1ps,je,S,"[('SubVfin', 'c'), ('PreN', ''), ('PrePrnSubVfin', '')]",,PRO:pers,76,C/V\
233,37,1,que,que,PROCON,1196,28,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubPrnSubVfin', ''), ('Sub', ''), ('Prn', '')]",,PROCON,76,C/(e)\
234,37,2,ce,ce,PRO:invar,1197,28,Prn,Prn,ce1,ce1|ce,S|C,"[('SubPrnSubVfin', ''), ('Prn', ''), ('SubVfin', '')]",,PRO:invar,76,C/(e)\
235,37,3,que,que,PROCON,1198,28,Qux,Qux,que,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', ''), ('NGrp', 's')]",,PROCON,76,C/(e)\
236,37,4,le,le,DET:def:suj:masc:sg,1199,28,Det,Det,le,le,CST,"[('NGrp', 's'), ('Det', ''), ('N', '')]",,DET:def,76,C/(e)\
237,37,5,pechie,pechié,NOM:suj:masc:sg,1200,28,N,N,,pechié,*+I,"[('NGrp', 's'), ('N', ''), ('Adj', '')]",,NOM,76,C/V\.'C/V\
238,37,6,mortel,mortel,ADJ:suj:masc:sg,1201,28,Adj,Adj,,mortel,+IT,"[('SubVfin', ''), ('NGrp', 's'), ('Vfin', '')]",,ADJ,76,C/V\.'C/V\
239,38,1,car,car,CON:coord,1263,29,Crd,Crd,car,car,ST,"[('VfinGrp', '+'), ('Crd', ''), ('Prn', 's')]",,CON:coord,79,C/V\
240,38,2,vous,vous,PRO:pers:2:pl,1264,29,Prn,Prn$,2pp,ous2|vos1,T|S,"[('VfinGrp', '+'), ('Prn', 's'), ('Adv', '')]",s,PRO:pers,79,C/V\
241,38,3,ne,ne,PRO:clit,1265,29,Neg,Neg$$,ne1,en2|ne,S|C,"[('VfinGrp', '+'), ('Adv', ''), ('Vfin', '')]",,PRO:clit,79,C/(e)\
242,38,4,devez,devez,VER:pres:2:pl,1266,29,Vfin,Vfin,devoir2,devoir,+MI,"[('VfinGrp', '+'), ('Vfin', ''), ('Adv', '')]",,VER,79,C/V\.'C/V\
