wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
271,59,8,autre,autre,1598,519,Adj,Adj,autre,'/V\.C/(e)\
272,60,1,et,et,1607,520,Crd,Crd,et,/V\
273,60,2,",",",",1608,520,Pnc,Pnc,,
274,60,3,quant,quant,1609,520,Sub,Sub,quand,C/V\
275,60,4,il,il,1610,520,Prn,Prn$,il,/V\
276,60,5,a,a,1611,520,Vfin,Vfin,avoir,/V\
277,60,6,son,son,1612,520,Det,Det,son4,C/V\
278,60,7,poindre,poindre,1613,520,Vinf,Vinf,poindre,'C/V\.C/(e)\
279,61,1,n',n',1634,522,Neg,Neg$$,ne,C/\
280,61,2,avoit,avoit,1635,522,Vfin,Vfin,avoir,/V\.'C/V\
281,61,3,eü,eu,1636,522,Vpp,Vpp,avoir,/(V)\.'/V\
282,61,4,nul,nul,1637,522,QIs,QIs,nul,C/V\
283,61,5,mal,mal,1638,522,N,N,mal,C/V\
284,62,1,puis,puis,1663,524,PrA,PrA,puis,C/V\
285,62,2,dist,dist,1664,524,Vfin,Vfin,dire,C/V\
286,62,3,au,au,1665,524,Pre+Det,Pre+Det,à.le,/V\
287,62,4,cevalier,cevalier,1666,525,N,N,,C/V\.C/V\.'C/V\
288,63,1,et,et,1705,527,Crd,Crd,et,/V\
289,63,2,vous,vous,1706,527,Prn,Prn$,vous,C/V\
290,63,3,avés,avés,1707,528,Vfin,Vfin,avoir,/V\.'C/V\
291,63,4,talent,talent,1708,528,N,N,,C/V\.'C/V\
292,64,1,puis,puis,1741,531,PrA,PrA,puis,C/V\
293,64,2,que,que,1742,531,Sub,Sub,que,C/(e)\
294,64,3,je,je,1743,531,Prn,Prn,je,C/(e)\
295,64,4,abatu,abatu,1744,531,Vpp,Vpp,abbattre,/V\.C/V\.'C/V\
296,65,1,d',d',1820,602,Pre,Pre,de,C/\
297,65,2,Estraus,estraus,1821,602,N,N,,/V\.'C/V\
298,65,3,son,son,1822,603,Det,Det,son4,C/V\
