wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,synfunc
367,86,3,autre,autre,ADJ,1576,autre_CIId,8,Adj,
368,86,4,priere,priere,NOM,1577,priiere_+CI,8,N,
369,87,1,que,que,PROCON,1592,que3_S,9,Sub,c
370,87,2,vous,vous,PRO:pers,1593,vos1_S,9,Prn,s
371,87,3,avez,avez,VER,1594,avoir_+IM,9,Vfin,
372,87,4,oÿ,oÿ,VER,1595,öir_+I,9,Vpp,
373,88,1,longuement,longuement,ADV,1598,longement_I,9,Adv,
374,88,2,o,o,PRE,1599,o4_+S,9,Pre,
375,88,3,sa,sa,DET:poss,1600,son4_S,9,Det,
376,88,4,femme,femme,NOM,1601,feme_+CI,9,N,
377,89,1,remouvoir,remouvoir,VER,1660,<unknown>,9,Vinf,
378,89,2,en,en,PRE,1661,en1_+S,9,Pre,
379,89,3,son,son,DET:poss,1662,son4_S,9,Det,
380,89,4,ventre,ventre,NOM,1663,ventre1|ventre_+IT|I,9,N,
381,90,1,dont,dont,PRO:invar,1717,dont_S,9,Sub,
382,90,2,elle,elle,PRO:pers,1718,il_S,9,Prn,s
383,90,3,ot,ot,VER,1719,avoir|öir_+IM|+I,9,Vfin,
384,90,4,si,si,DET:poss,1720,son4_S,9,Adv,
385,90,5,grant,grant,ADJ,1721,grant_+CIT,9,Adj,
386,90,6,joye,joye,NOM,1722,joie|joïe1|joïe2_+IT|+Td|+Td,9,N,
387,91,1,Adonc,adonc,ADV,1734,adonc_+GIT,9,Adv,
388,91,2,manda,manda,VER,1735,mander_+IM,9,Vfin,
389,91,3,la,la,DET:def,1736,le_S,9,Det,
390,91,4,dame,dame,NOM,1737,dam|dame|dan2_+T|+CIT|+T,9,N,
391,92,1,Adont,adont,ADV,1748,adonc_+GT,10,Adv,
392,92,2,ot,ot,VER,1749,avoir|öir_+IM|+I,10,Vfin,
393,92,3,Famius,famius,ADJ,1750,<unknown>,10,N,s
394,93,1,et,et,CON:coord,1769,et_S,10,Crd,
395,93,2,leur,leur,DET:poss,1770,lor2_S,10,Det,
396,93,3,ennuy,ennuy,NOM,1771,enui_+I,10,N,
397,93,4,en,en,PRE,1772,en1_+S,10,Pre,
398,93,5,feste,feste,NOM,1773,fait2|feste|festre_+T|+ICT|+T,10,N,
399,94,1,ne,ne,PRO:clit,1785,en2_S,10,Crd,
400,94,2,raconter,raconter,VER,1786,raconter_+MT,10,Vinf,
401,94,3,le,le,PRO:pers,1787,il_S,10,Det,
402,94,4,jeu,jeu,VER,1788,jesir_+Z,10,N,
403,95,1,en,en,PRO:clit,1810,en2_S,10,Prn,
404,95,2,deüst,deust,VER,1811,devoir_+I,10,Vfin,
405,95,3,delivrer,delivrer,VER,1812,delivrer_+IT,10,Vinf,c
406,96,1,ot,ot,VER,1827,avoir|öir_+IM|+I,10,Vfin,
407,96,2,oÿ,oÿ,VER,1828,öir_+I,10,Vpp,
408,96,3,la,la,DET:def,1829,le_S,10,Det,
409,96,4,nouvelle,nouvelle,NOM,1830,novele_*+IT,10,N,
410,97,1,ne,ne,PRO:clit,1837,en2_S,10,Crd,
411,97,2,saouler,saouler,VER,1838,saouler_M,10,Vinf,
412,97,3,de,de,PRE,1839,de_+S,10,Pre,
413,97,4,joye,joye,NOM,1840,joie|joïe1|joïe2_+IT|+Td|+Td,10,N,c
414,98,1,garder,garder,VER,1854,garder_+MIT,10,Vinf,
