wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,NCA_line,synfunc,NCA_taggerpos,syllabified
585,100,7,homes,homes,NOM:obj:masc:pl,2041,37,N,N,,ome,+CI,367,,NOM,'/V\.C/e\
586,101,1,enterrez,enterrez,VER:pper:masc:pl,2047,37,Vpp,Vpp,,enterrer,+I,368,,VER,/V\.C/e\.'C/V\
587,101,2,fu,fu,VER:simp:3:sg,2048,37,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,368,,VER,C/V\
588,101,3,delez,delez,PRE,2049,37,PrA,PrA,delez,dalez,CIS,368,,PRE,C/V\.'C/V\
589,101,4,son,son,DET:poss:obj:masc:sg,2050,37,Det,Det,son4,son4|son,S|C,368,,DET:poss,C/V\
590,101,5,pere,pere,NOM:obj:masc:sg,2051,37,N,N,,paire|pere1|piere,+T|+T|+T,368,,NOM,'C/V\.C/(e)\
591,102,1,fu,fu,VER:simp:3:sg,2048,37,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,368,,VER,C/V\
592,102,2,delez,delez,PRE,2049,37,PrA,PrA,delez,dalez,CIS,368,,PRE,C/V\.'C/V\
593,102,3,son,son,DET:poss:obj:masc:sg,2050,37,Det,Det,son4,son4|son,S|C,368,,DET:poss,C/V\
594,102,4,pere,pere,NOM:obj:masc:sg,2051,37,N,N,,paire|pere1|piere,+T|+T|+T,368,,NOM,'C/V\.C/(e)\
595,102,5,au,au,PREDET:a:obj:masc:sg,2052,37,Pre+Det,Pre+Det,à+le,a+le|le,S|C,369,,PREDET:a,/V\
596,102,6,mostier,mostier,NOM:obj:masc:sg,2053,37,N,N,,mostier,+IT,369,,NOM,C/V\.'C/V\
597,103,1,la,la,DET:def:suj:femi:sg,2061,37,Det,Det,le,le,CST,370,,DET:def,C/V\
598,103,2,contesse,contesse,NOM:suj:femi:sg,2062,37,N,N,,contesse,+CIT,370,,NOM,C/V\.'C/V\.C/(e)\
599,103,3,remest,remest,VER:simp:3:sg,2063,37,Vfin,Vfin,remanoir,remanoir,+I,370,,VER,C/V\.'C/V\
600,103,4,sa,sa,DET:poss:suj:femi:sg,2064,37,Det,Det,son4,son4|son,S|C,371,,DET:poss,C/V\
601,103,5,feme,feme,NOM:suj:femi:sg,2065,37,N,N,,fame|feme|fiene,+T|+CIT|+T,371,,NOM,'C/V\.C/(e)\
602,104,1,de,de,PRE,2102,38,Pre,Pre,de,de,+CIST,379,,PRE,C/(e)\
603,104,2,monfort,monfort,NPR:obj:masc:sg,2103,38,N,N,,monfort,Z,379,,NPR,C/V\.'C/V\
604,104,3,joffrois,joffrois,NPR:suj:masc:sg,2104,38,N,N,,joffroi,C|Z,379,,NPR,C/V\.'C/V\
605,104,4,de,de,PRE,2105,38,Pre,Pre,de,de,+CIST,379,,PRE,C/(e)\
606,104,5,joenvile,joenvile,NPR:obj:masc:sg,2106,38,N,N,,UNKNOWN,,379,,NPR,C/V\.'C/V\.C/(e)\
607,105,1,qui,qui,PROCON,2130,38,Qux,Qux,qui,qui,CST,384,s,PROCON,C/V\
608,105,2,a,a,PRE,2131,38,Pre,Pre,à,a3|a,+T|CGIS,384,,PRE,/V\
609,105,3,la,la,DET:def:obj:femi:sg,2132,38,Det,Det,le,le,CST,384,,DET:def,C/V\
610,105,4,terre,terre,NOM:obj:femi:sg,2133,38,N,N,,terre,+CIT,384,,NOM,'C/V\.C/(e)\
611,105,5,d,d,PRE,2134,38,Pre,Pre,de,de,+CS,384,,PRE,C/\
612,105,6,outremer,outremer,ADV,2135,38,Adv,Adv,outremer,outremer,Z,384,,ADV,/V\.C/e\.'C/V\
613,106,1,alsi,alsi,ADV,2184,38,Adv,Adv,aussi,alsi,G,393,,ADV,/V\.'C/V\
614,106,2,com,com,CON:subord,2185,38,Sub,Sub,comme,come1,ST,394,,CON:subord,C/V\
615,106,3,nos,nos,PRO:pers:1:pl,2186,38,Prn,Prn$,1pp,nos1|nos|noz1,S|CI|T,394,s,PRO:pers,C/V\
616,106,4,feissiens,feissiens,VER:subi:1:pl,2187,38,Vfin,Vfin,faire,faire,+MMd,394,,VER,C/(V)\./V\.'C/V\
617,106,5,lui,lui,PRO:pers:obj:3:masc:sg:bet,2188,38,Prn,Prn,3p,il|loi1,CIST|S,394,,PRO:pers,C/V\
618,107,1,sachiez,sachiez,VER:impe:2:pl,2197,39,Vfin,Vfin,savoir,savoir,+IM,397,,VER,C/V\.'C/V\
619,107,2,que,que,PROCON,2198,39,Sub,Sub,que,que2|que3|que,T|S|C,398,,PROCON,C/(e)\
620,107,3,il,il,PRO:pers:suj:3:masc:sg:unb,2199,39,Prn,Prn$,3p,il,CIST,398,s,PRO:pers,/V\
621,107,4,peust,peust,VER:subi:3:sg,2200,39,Vfin,Vfin,pouvoir2,paistre|pöoir,+MMd|+Id,398,,VER,C/(V)\.'/V\
622,107,5,bien,bien,ADV,2201,39,Adv,Adv,bien,bien1|bien2|bien,+IT|C|I,398,,ADV,C/V\
623,107,6,mielx,mielx,ADV,2202,39,Adv,Adv,mieux,mieus,Z,399,,ADV,C/V\
624,107,7,faire,faire,VER:infi,2203,39,Vinf,Vinf,faire,faire,+MIT,399,,VER,'C/V\.C/(e)\
625,108,1,el,el,PREDET:en:obj:masc:sg,2243,40,Pre+Det,Pre+Det,en1+le,en1+le,S,406,,PREDET:en,/V\
626,108,2,servise,servise,NOM:obj:masc:sg,2244,40,N,N,,servise,+IT,407,,NOM,C/V\.'C/V\.C/(e)\
627,108,3,dieu,dieu,NOM:obj:masc:sg,2245,40,N,N,,dieu,+CIT,407,o,NOM,C/V\
628,108,4,de,de,PRE,2246,40,Pre,Pre,de,de,+CIST,407,,PRE,C/(e)\
629,108,5,la,la,DET:def:obj:femi:sg,2247,40,Det,Det,le,le,CST,407,,DET:def,C/V\
630,108,6,mort,mort,NOM:obj:femi:sg,2248,40,N,N,,mort,+CIT,407,,NOM,C/V\
631,109,1,de,de,PRE,2246,40,Pre,Pre,de,de,+CIST,407,,PRE,C/(e)\
632,109,2,la,la,DET:def:obj:femi:sg,2247,40,Det,Det,le,le,CST,407,,DET:def,C/V\
633,109,3,mort,mort,NOM:obj:femi:sg,2248,40,N,N,,mort,+CIT,407,,NOM,C/V\
634,109,4,le,le,DET:def:obj:masc:sg,2249,40,Det,Det,le,le,CST,407,,DET:def,C/(e)\
635,109,5,conte,conte,NOM:obj:masc:sg,2250,40,N,N,,conte1|conte2,+IT|+IT,408,,NOM,'C/V\.C/(e)\
636,109,6,thibaut,thibaut,NPR:obj:masc:sg,2251,40,N,N,,thibaut,Z,408,,NPR,C/V\.'C/V\
637,110,1,le,le,DET:def:obj:masc:sg,2249,40,Det,Det,le,le,CST,407,,DET:def,C/(e)\
638,110,2,conte,conte,NOM:obj:masc:sg,2250,40,N,N,,conte1|conte2,+IT|+IT,408,,NOM,'C/V\.C/(e)\
639,110,3,thibaut,thibaut,NPR:obj:masc:sg,2251,40,N,N,,thibaut,Z,408,,NPR,C/V\.'C/V\
640,110,4,de,de,PRE,2252,40,Pre,Pre,de,de,+CIST,408,,PRE,C/(e)\
641,110,5,campaigne,campaigne,NPR:obj:femi:sg,2253,40,N,N,,campaigne|champaigne,Z|Z,408,,NPR,C/V\.'C/V\.C/(e)\
642,111,1,del,del,PREDET:de:obj:masc:sg,2260,40,Pre+Det,Pre+Det,de+le,de+le,S,409,,PREDET:de,C/V\
643,111,2,mois,mois,NOM:obj:masc:sg,2261,40,N,N,,mes4|mois2|mois3|mois,+T|+IT|+T|+CIT,409,,NOM,C/V\
644,111,3,a,a,PRE,2262,40,Pre,Pre,à,a3|a,+T|CGIS,409,,PRE,/V\
645,111,4,seissons,seissons,NPR:obj:masc:sg,2263,40,N,N,,UNKNOWN,,410,,NPR,C/V\.'C/V\
646,111,5,por,por,PRE,2264,40,Pre,Pre,pour,por2|por,+IST|CI,410,,PRE,C/V\
647,111,6,savoir,savoir,VER:infi,2265,40,Vinf,Vinf,savoir,savoir,+MIT,410,,VER,C/V\.'C/V\
648,112,1,por,por,PRE,2264,40,Pre,Pre,pour,por2|por,+IST|CI,410,,PRE,C/V\
649,112,2,savoir,savoir,VER:infi,2265,40,Vinf,Vinf,savoir,savoir,+MIT,410,,VER,C/V\.'C/V\
650,112,3,que,que,PROCON,2266,40,Sub,Sub,que,que2|que3|que,T|S|C,410,,PROCON,C/(e)\
651,112,4,il,il,PRO:pers:suj:3:masc:pl,2267,40,Prn,Prn$,3p,il,CIST,410,s,PRO:pers,/V\
652,112,5,porroient,porroient,VER:cond:3:pl,2268,40,Vfin,Vfin,pouvoir2,pöoir,+I,411,,VER,C/V\.'C/V\./e\
653,112,6,faire,faire,VER:infi,2269,40,Vinf,Vinf,faire,faire,+MIT,411,c,VER,'C/V\.C/(e)\
654,113,1,enqui,enqui,ADV,2270,40,Adv,Adv,encui,encui|iqui,+CIT|+T,411,a,ADV,/V\.'C/V\
655,113,2,furent,furent,VER:simp:3:pl,2271,40,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,411,,VER,'C/V\.C/e\
656,113,3,li,li,DET:def:suj:masc:sg,2272,40,Det,Det,le,le,CST,411,,DET:def,C/V\
657,113,4,cuens,cuens,NOM:suj:masc:sg,2273,40,N,N,,conte1|conte,+IT|I,411,,NOM,C/V\
