wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
667,151,4,d',d',2390,813,Pre,Pre,de,C/\
668,151,5,Engleterre,engleterre,2391,813,N,N,,/V\.C/e\.'C/V\.C/(e)\
669,152,1,m',m',2394,813,Prn,Prn$$,me,C/\
670,152,2,a,a,2395,813,Vfin,Vfin,avoir,/V\
671,152,3,pris,pris,2396,813,Vpp,Vpp,prendre,C/V\
672,152,4,en,en,2397,813,Pre,Pre,en,/V\
673,152,5,trop,trop,2398,813,Adv,Adv,trop,C/V\
674,152,6,grant,grant,2399,813,Adj,Adj,grand,C/V\
675,152,7,haynne,haynne,2400,813,N,N,,'C/V\.C/(e)\
676,153,1,et,et,2401,814,Crd,Crd,et,/V\
677,153,2,se,se,2402,814,Adv,Adv,si4,C/(e)\
678,153,3,ne,ne,2403,814,Neg,Neg$$,ne,C/(e)\
679,153,4,scet,scet,2404,814,Vfin,Vfin,savoir,C/V\
680,153,5,pour,pour,2405,814,Pre,Pre,pour,C/V\
681,153,6,quoy,quoy,2406,814,Qux,Qux,que,C/V\
682,154,1,que,que,2434,816,Sub,Sub,que,C/(e)\
683,154,2,tout,tout,2435,816,QIs,QIs,tout,C/V\
684,154,3,che,che,2436,816,Prn,Prn,ce,C/(e)\
685,154,4,qu',qu',2437,816,Qux,Qux,que,C/\
686,154,5,il,il,2438,816,Prn,Prn$,il,/V\
687,154,6,voelt,voelt,2439,816,Vfin,Vfin,vouloir,C/V\
688,154,7,dire,dire,2440,816,Vinf,Vinf,dire,'C/V\.C/(e)\
689,155,1,et,et,2447,817,Crd,Crd,et,/V\
690,155,2,ja,ja,2448,817,Adv,Adv,jà,C/V\
691,155,3,ont,ont,2449,817,Vfin,Vfin,avoir,/V\
692,155,4,comparet,comparét,2450,817,Vpp,Vpp,,C/V\.C/V\.'C/V\
693,156,1,et,et,2454,817,Crd,Crd,et,/V\
694,156,2,seigneur,seigneur,2455,818,N,N,,C/V\.'C/V\
695,156,3,d',d',2456,818,Pre,Pre,de,C/\
696,156,4,Engleterre,engleterre,2457,818,N,N,,/V\.C/e\.'C/V\.C/(e)\
697,157,1,et,et,2484,820,Crd,Crd,et,/V\
698,157,2,par,par,2485,820,Pre,Pre,par,C/V\
699,157,3,especial,especial,2486,820,Adj,Adj,,/V\.C/V\.C/{V}\.'/V\
700,158,1,le,le,2487,820,Det,Det,le,C/(e)\
701,158,2,bon,bon,2488,820,Adj,Adj,bon,C/V\
702,158,3,comte,comte,2489,820,N,N,,'C/V\.C/(e)\
703,158,4,Thummas,thummas,2490,821,N,N,,C/V\.'C/V\
704,159,1,ce,ce,2495,821,Prn,Prn,ce,C/(e)\
705,159,2,fu,fu,2496,821,Vfin,Vfin,être,C/V\
706,159,3,trop,trop,2497,821,Adv,Adv,trop,C/V\
707,159,4,grans,grans,2498,821,Adj,Adj,grand,C/V\
708,159,5,dammaiges,dammaiges,2499,821,N,N,,C/V\.'C/V\.C/e\
709,160,1,car,car,2500,822,Crd,Crd,car,C/V\
710,160,2,il,il,2501,822,Prn,Prn$,il,/V\
