wd_id,line_id,linewd,word,lex_id,old_wd_id,page_id,syntag,syntag2,lemma,syllabified
456,102,4,pitié,pitié,2505,1032,N,N,,C/V\.'C/V\
457,103,1,luy,luy,2525,1032,Prn,Prn$$,lui,C/V\
458,103,2,vaulsist,vaulsist,2526,1032,Vfin,Vfin,valoir,C/V\.'C/V\
459,103,3,pardonner,pardonner,2527,1032,Vinf,Vinf,pardonner,C/V\.C/V\.'C/V\
460,104,1,feist,feist,2557,1032,Vfin,Vfin,faire,C/(V)\.'/V\
461,104,2,jamais,jamais,2558,1032,Adv,Adv,jamais,C/V\.'C/V\
462,104,3,tant,tant,2559,1032,QIs,QIs,tant,C/V\
463,104,4,de,de,2560,1032,Pre,Pre,de,C/(e)\
464,104,5,bien,bien,2561,1032,Adv,Adv,bien,C/V\
465,105,1,Et,et,2564,1032,Crd,Crd,et,/V\
466,105,2,si,si,2565,1032,Adv,Adv,si4,C/V\
467,105,3,fera,fera,2566,1032,Vfin,Vfin,faire,C/V\.'C/V\
468,105,4,",",",",2567,1032,Pnc,Pnc,,
469,105,5,madame,madame,2568,1032,N,N,,C/V\.'C/V\.C/(e)\
470,106,1,Or,or,2636,1032,Adv,Adv,or2,/V\
471,106,2,donques,donques,2637,1032,Adv,Adv,donc,'C/V\.C/e\
472,106,3,",",",",2638,1032,Pnc,Pnc,,
473,106,4,dist,dist,2639,1032,Vfin,Vfin,dire,C/V\
474,106,5,Madame,madame,2640,1032,N,N,,C/V\.'C/V\.C/(e)\
475,107,1,vous,vous,2642,1032,Prn,Prn$$,vous,C/V\
476,107,2,en,en,2643,1032,Prn,Prn$$,en2,/V\
477,107,3,allez,allez,2644,1032,Vfin,Vfin,aller,/V\.'C/V\
478,107,4,;,;,2645,1032,Pnc,Pnc,,
479,107,5,et,et,2646,1032,Crd,Crd,et,/V\
480,107,6,faictes,faictes,2647,1032,Vfin,Vfin,faire,'C/V\.C/e\
481,108,1,ou,ou,2668,1032,Qux,Qux,où,/V\
482,108,2,je,je,2669,1032,Prn,Prn$,je,C/(e)\
483,108,3,vous,vous,2670,1032,Prn,Prn$$,vous,C/V\
484,108,4,trouveray,trouveray,2671,1032,Vfin,Vfin,trouver,C/V\.C/e\.'C/V\
485,109,1,de,de,2688,1032,Pre,Pre,de,C/(e)\
486,109,2,Madame,madame,2689,1032,N,N,,C/V\.'C/V\.C/(e)\
487,109,3,congié,congié,2690,1032,N,N,,C/V\.'C/V\
488,110,1,congié,congié,2690,1032,N,N,,C/V\.'C/V\
489,110,2,",",",",2691,1032,Pnc,Pnc,,
490,110,3,et,et,2692,1032,Crd,Crd,et,/V\
491,110,4,puis,puis,2693,1032,PrA,PrA,puis,C/V\
492,110,5,des,des,2694,1032,Pre+Det,Pre+Det,de.le,C/V\
493,110,6,aultres,aultres,2695,1032,Adj,Adj,autre,'/V\.C/e\
494,111,1,de,de,2768,1033,Pre,Pre,de,C/(e)\
495,111,2,rire,rire,2769,1033,Vinf,Vinf,rire,'C/V\.C/(e)\
496,111,3,et,et,2770,1033,Crd,Crd,et,/V\
497,111,4,raisonner,raisonner,2771,1033,Vinf,Vinf,,C/V\.C/V\.'C/V\
498,112,1,en,en,2779,1033,Pre,Pre,en,/V\
499,112,2,son,son,2780,1033,Det,Det,son4,C/V\
500,112,3,logis,logis,2781,1033,N,N,,C/V\.'C/V\
501,112,4,;,;,2782,1033,Pnc,Pnc,,
502,112,5,et,et,2783,1033,Crd,Crd,et,/V\
503,112,6,tant,tant,2784,1033,QIs,QIs,tant,C/V\
504,113,1,peu,peu,2828,1033,N,N,peu,C/V\
505,113,2,a,a,2829,1033,Pre,Pre,à,/V\
506,113,3,peu,peu,2830,1033,N,N,peu,C/V\
507,113,4,sa,sa,2831,1033,Det,Det,son4,C/V\
508,113,5,promesse,promesse,2832,1033,N,N,,C/V\.'C/V\.C/(e)\
509,114,1,au,au,2868,1033,Pre+Det,Pre+Det,à.le,/V\
510,114,2,disner,disner,2869,1033,Vinf,Vinf,,C/V\.'C/V\
511,114,3,",",",",2870,1033,Pnc,Pnc,,
512,114,4,les,les,2871,1033,Det,Det,le,C/V\
513,114,5,deux,deux,2872,1033,QIs,QIs,deux,C/V\
514,114,6,dames,dames,2873,1033,N,N,,'C/V\.C/e\
515,115,1,les,les,2871,1033,Det,Det,le,C/V\
516,115,2,deux,deux,2872,1033,QIs,QIs,deux,C/V\
517,115,3,dames,dames,2873,1033,N,N,,'C/V\.C/e\
518,115,4,estans,estans,2874,1033,Vprs,Vprs,être,/V\.'C/V\
519,116,1,toutes,toutes,2886,1033,QIs,QIs,tout,'C/V\.C/e\
520,116,2,les,les,2887,1033,Det,Det,le,C/V\
521,116,3,aultres,aultres,2888,1033,Adj,Adj,autre,'/V\.C/e\
522,116,4,dames,dames,2889,1033,N,N,,'C/V\.C/e\
523,117,1,vous,vous,2925,1033,Prn,Prn$$,vous,C/V\
524,117,2,avons,avons,2926,1033,Vfin,Vfin,avoir,/V\.'C/V\
525,117,3,nous,nous,2927,1033,Prn,Prn%,nous,C/V\
526,117,4,perdu,perdu,2928,1033,Vpp,Vpp,perdre,C/V\.'C/V\
527,118,1,Vous,vous,2930,1033,Prn,Prn$,vous,C/V\
528,118,2,nous,nous,2931,1033,Prn,Prn$$,nous,C/V\
529,118,3,soulliez,soulliez,2932,1033,Vfin,Vfin,souloir,C/V\.'C/V\
530,118,4,servir,servir,2933,1033,Vinf,Vinf,servir,C/V\.'C/V\
531,119,1,et,et,2938,1033,Crd,Crd,et,/V\
532,119,2,ores,ores,2939,1033,Adv,Adv,or2,'/V\.C/e\
533,119,3,nous,nous,2940,1033,Prn,Prn$$,nous,C/V\
534,119,4,fuyez,fuyez,2941,1033,Vfin,Vfin,fuir,C/V\.'C/V\
535,120,1,dist,dist,2947,1033,Vfin,Vfin,dire,C/V\
536,120,2,il,il,2948,1033,Prn,Prn%,il,/V\
537,120,3,",",",",2949,1033,Pnc,Pnc,,
538,120,4,baissant,baissant,2950,1033,Vprs,Vprs,,C/V\.'C/V\
539,120,5,les,les,2951,1033,Det,Det,le,C/V\
540,120,6,yeulz,yeulz,2952,1033,N,N,,C/V\
