lex_id,syll_str,in_el,fin_el,ms,backwards dd
aguaiteras,vvsv,y,n,,
aguardé,vvv,y,n,,
agud,vv,y,n,,
aguillon,vvv,y,n,,
aguillonne,vvvs,y,y,,
aguilun,vvv,y,n,,
aguise,vvs,y,y,,
aguisié,vvv,y,n,,
agus,vv,y,n,,
agusé,vvv,y,n,,
agusié,vvv,y,n,,
aguyel,vvv,y,n,,
aguz,vv,y,n,,
ahan,vv,y,n,,
ahanee,vvvs,y,n,,
ahaneit,vvv,y,n,,
ahanz,vv,y,n,,
ahatise,vvvs,y,y,,
aherdre,vvs,y,y,,
ahers,vv,y,n,,
ahert,vv,y,n,,
aheura,vvv,y,n,,
aheure,vvs,y,y,befall,
ahi,vv,y,n,,
ahie,vvs,y,y,,
ahiers,vv,y,n,,
ahonter,vvv,y,n,,
ahonty,vvv,y,n,,
ahurnement,vvsv,y,n,,
ahurtanz,vvv,y,n,,
ai,v,y,n,,
aï,vv,y,n,=ait (help),
aiä,vs,y,y,,
aiam,vv,y,n,,
aiäs,vs,y,n,,
aidaisse,vvs,y,y,,
aidans,vv,y,n,,
aidant,vv,y,n,,
aidasse,vvs,y,y,,
aidast,vv,y,n,,
aide,vs,y,y,=help (vfn),
aidé,vv,y,n,,
aïde,dds,y,y,=help(nn),
aidéd,vv,y,n,,
aident,vs,y,n,,
aider,vv,y,n,,
aidera,vsv,y,n,,
aiderai,vsv,y,n,,
aiderés,vsv,y,n,,
aidez,vv,y,n,,
aidié,vv,y,n,,
aidier,vrr,y,n,*,
aidiez,vv,y,n,,
aidoient,vvs,y,n,,
aidont,vv,y,n,,
aidrai,vv,y,n,,
aidrons,vv,y,n,,
aie,vs,y,y,,
aïe,vvs,y,y,nn: help,
aiens,vv,y,n,,
aient,vs,y,n,,
aienz,v,y,n,=ainz,
aies,vs,y,n,,
aiés,vv,y,n,,
aiet,vs,y,y,,
aieue,vvs,y,y,,
aiez,vv,y,n,,
aighe,vs,y,y,,
aigle,vs,y,y,,
aiglentier,vvv,y,n,,
aigneal,vv,y,n,,
aigneas,vv,y,n,,
aigneax,vv,y,n,,
aignel,vv,y,n,,
aignelat,vsv,y,n,,
aigniaus,vv,y,n,,
aigre,vs,y,y,,
aigrement,vsv,y,n,,
aigres,vs,y,n,,
aigreur,vv,y,n,,
aigue,vs,y,y,,
aigues,vs,y,n,,
aiiés,vv,y,n,,
aikes,vs,y,n,,
aile,vs,y,y,,
aille,vs,y,y,,
aillent,vs,y,n,,
ailles,vs,y,n,,
ailleur,vv,y,n,,
ailleurs,vv,y,n,,
aillez,vv,y,n,,
ailliez,vv,y,n,,
aillors,vv,y,n,,
aillours,vv,y,n,,
aillurs,vv,y,n,,
ailurs,vv,y,n,,
aim,v,y,n,,
aima,vv,y,n,,
aime,vs,y,y,,
aiment,vs,y,n,,
aimer,vv,y,n,,
