"wd_id","line_id","linewd","lex_id","tag","TT lemma"
2095,318,2,"moult","ADV","mout_I"
2096,318,3,"nobles","ADJ","noble1|noble_+I|CI"
2097,318,4,"en","PRO:clit","en2_S"
2098,318,5,"est","VER","ester|estre1_+M|+I"
2099,318,6,"li","DET:def","le_S"
2100,318,7,"titles","NOM","title_*+T"
2101,318,8,":","PON",":"
2102,319,1,"se","PRO:invar","ce1_S"
2103,319,2,"nous","PRO:pers","nos1_S"
2104,319,3,"poons","VER","pöoir_+I"
2105,319,4,"avoir","VER","avoir_+MIT"
2106,319,5,"nos","PRO:pers","nos1_S"
2107,319,6,"vivres","VER","vivre1|vivre_*+IT|MI"
2108,320,1,"et","CON:coord","et_S"
2109,320,2,"nos","PRO:pers","nos1_S"
2110,320,3,"viestures","GDF","vesteure_G"
2111,320,4,"a","VER","avoir_+CMI"
2112,320,5,"delivres","ADJ","delivre_I"
2113,320,6,",","PON",","
2114,321,1,"nous","PRO:pers","nos1_S"
2115,321,2,"en","PRO:clit","en2_S"
2116,321,3,"devons","VER","devoir_+MI"
2117,321,4,"estre","VER","entr'estre|estre1_+M|+IT"
2118,321,5,"content","VER","contendre|conter_+M|+I"
2119,321,6,";","PON",";"
2120,322,1,"car","CON:coord","car_S"
2121,322,2,"che","PRO:invar","ce1_S"
2122,322,3,"sont","VER","estre1|estre_+I|CMI"
2123,322,4,"choses","NOM","chose_+CI"
2124,322,5,"la","ADV","là_+IIdTd"
2125,322,6,"on","PRO:invar","on_S"
2126,322,7,"tent","VER","tendre|tenir|tenoir_MI|M|M"
2127,322,8,",","PON",","
2128,323,1,"mais","CON:coord","mais_S"
2129,323,2,"ne","PRO:clit","en2_S"
2130,323,3,"souffist","VER","souffir|souffire|suffire_M|M|M"
2131,323,4,"pas","NOM","pas|past2_+IT|+T"
2132,323,5,"a","PRE","a_S"
2133,323,6,"cescun","PRO:ind","chascun_S"
2134,323,7,",","PON",","
2135,324,1,"et","CON:coord","et_S"
2136,324,2,"pau","ADV","poi_Z"
2137,324,3,"voit","VER","aler|vëoir_+M|+I"
2138,324,4,"on","PRO:invar","on_S"
2139,324,5,"des","PREDET:de","de+le_S"
2140,324,6,"gens","NOM","gent1|giens_+I|+T"
2141,324,7,"nesun","DET:ind","nesun_S"
2142,325,1,"qui","PROCON","qui_S"
2143,325,2,"ne","PRO:clit","en2_S"
2144,325,3,"tengnent","VER","<unknown>"
2145,325,4,"as","PREDET:a","a+le_S"
2146,325,5,"grans","ADJ","grant_+I"
2147,325,6,"estas","NOM","esta_*+T"
2148,326,1,"et","CON:coord","et_S"
2149,326,2,"qui","PROCON","qui_S"
2150,326,3,"font","VER","faire|fondre_+MI|+MI"
2151,326,4,"des","PREDET:de","de+le_S"
2152,326,5,"avoirs","VER","avoir_*+MIT"
2153,326,6,"les","DET:def","le_S"
2154,326,7,"tas","NOM","tas_+IT"
2155,326,8,",","PON",","
2156,327,1,"de","PRE","de_+S"
2157,327,2,"rikaices","NOM","<unknown>"
2158,327,3,"et","CON:coord","et_S"
2159,327,4,"de","PRE","de_+S"
2160,327,5,"deniers","NOM","denier_+CI"
2161,327,6,",","PON",","
2162,328,1,"et","CON:coord","et_S"
2163,328,2,"voelt","VER","voloir_+I"
2164,328,3,"cescuns","PRO:ind","chascun_S"
2165,328,4,"iestre","VER","estre1|issir_+T|+M"
2166,328,5,"pleniers","ADJ","plenier1|plenier2_*+T|+IT"
2167,329,1,"d'","PRE","de_+S"
